id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	109	8	Observable.java	ambArray	len	int	NAME	0	2	NO_USE	1
0	109	8	Observable.java	ambArray	sources	ObservableSource<? extends T>	PARAM_AS	1	0	NO_USE	0
0	109	8	Observable.java	ambArray	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
1	112	8	Observable.java	ambArray	len	int	NAME	0	2	NO_USE	1
1	112	8	Observable.java	ambArray	sources	ObservableSource<? extends T>	PARAM_AS	1	0	ARR_USE	0
1	112	8	Observable.java	ambArray	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
2	329	8	Observable.java	combineLatest	sources	ObservableSource<? extends T>[]	PARAM_AS	1	1	NO_USE	1
2	329	8	Observable.java	combineLatest	combiner	Function<? super Object[],? extends R>	PARAM_AS	1	0	NO_USE	0
2	329	8	Observable.java	combineLatest	bufferSize	int	PARAM_AS	1	0	NO_USE	0
2	329	8	Observable.java	combineLatest	THIS	Observable	UNKNOWN_AS	0	1	CLALLER_USE	1
3	897	8	Observable.java	combineLatestDelayError	sources	ObservableSource<? extends T>[]	PARAM_AS	1	1	NO_USE	1
3	897	8	Observable.java	combineLatestDelayError	combiner	Function<? super Object[],? extends R>	PARAM_AS	1	0	NO_USE	0
3	897	8	Observable.java	combineLatestDelayError	bufferSize	int	PARAM_AS	1	0	NO_USE	0
3	897	8	Observable.java	combineLatestDelayError	THIS	Observable	UNKNOWN_AS	0	1	CLALLER_USE	1
4	1179	8	Observable.java	concatArray	sources	ObservableSource<? extends T>	PARAM_AS	1	2	OTHER_USE	1
4	1179	8	Observable.java	concatArray	THIS	Observable	UNKNOWN_AS	0	2	CLALLER_USE	1
5	1182	8	Observable.java	concatArray	sources	ObservableSource<? extends T>	PARAM_AS	1	2	ARR_USE	1
5	1182	8	Observable.java	concatArray	THIS	Observable	UNKNOWN_AS	0	2	CLALLER_USE	1
6	1206	8	Observable.java	concatArrayDelayError	sources	ObservableSource<? extends T>	PARAM_AS	1	2	OTHER_USE	1
6	1206	8	Observable.java	concatArrayDelayError	THIS	Observable	UNKNOWN_AS	0	2	CLALLER_USE	1
7	1209	8	Observable.java	concatArrayDelayError	sources	ObservableSource<? extends T>	PARAM_AS	1	2	ARR_USE	1
7	1209	8	Observable.java	concatArrayDelayError	THIS	Observable	UNKNOWN_AS	0	2	CLALLER_USE	1
8	1609	8	Observable.java	fromArray	items	T	PARAM_AS	1	2	OTHER_USE	1
8	1609	8	Observable.java	fromArray	THIS	Observable	UNKNOWN_AS	0	2	CLALLER_USE	1
9	1612	8	Observable.java	fromArray	items	T	PARAM_AS	1	2	ARR_USE	1
9	1612	8	Observable.java	fromArray	THIS	Observable	UNKNOWN_AS	0	2	CLALLER_USE	1
10	2124	8	Observable.java	intervalRange	start	long	PARAM_AS	1	1	NO_USE	0
10	2124	8	Observable.java	intervalRange	count	long	PARAM_AS	1	2	+	1
10	2124	8	Observable.java	intervalRange	initialDelay	long	PARAM_AS	1	0	NO_USE	0
10	2124	8	Observable.java	intervalRange	period	long	PARAM_AS	1	0	NO_USE	0
10	2124	8	Observable.java	intervalRange	unit	TimeUnit	PARAM_AS	1	0	NO_USE	0
10	2124	8	Observable.java	intervalRange	scheduler	Scheduler	PARAM_AS	1	0	NO_USE	0
10	2124	8	Observable.java	intervalRange	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
11	2128	8	Observable.java	intervalRange	start	long	PARAM_AS	1	1	NO_USE	0
11	2128	8	Observable.java	intervalRange	count	long	PARAM_AS	1	2	NO_USE	1
11	2128	8	Observable.java	intervalRange	initialDelay	long	PARAM_AS	1	0	PARAM_USE	0
11	2128	8	Observable.java	intervalRange	period	long	PARAM_AS	1	0	NO_USE	0
11	2128	8	Observable.java	intervalRange	unit	TimeUnit	PARAM_AS	1	0	PARAM_USE	0
11	2128	8	Observable.java	intervalRange	scheduler	Scheduler	PARAM_AS	1	0	PARAM_USE	0
11	2128	8	Observable.java	intervalRange	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
12	2133	8	Observable.java	intervalRange	end	long	+	0	1	NO_USE	1
12	2133	8	Observable.java	intervalRange	start	long	PARAM_AS	1	1	NO_USE	1
12	2133	8	Observable.java	intervalRange	count	long	PARAM_AS	1	2	NO_USE	0
12	2133	8	Observable.java	intervalRange	initialDelay	long	PARAM_AS	1	0	NO_USE	0
12	2133	8	Observable.java	intervalRange	period	long	PARAM_AS	1	0	NO_USE	0
12	2133	8	Observable.java	intervalRange	unit	TimeUnit	PARAM_AS	1	0	NO_USE	0
12	2133	8	Observable.java	intervalRange	scheduler	Scheduler	PARAM_AS	1	0	NO_USE	0
12	2133	8	Observable.java	intervalRange	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
13	3246	8	Observable.java	range	start	int	PARAM_AS	1	1	NO_USE	0
13	3246	8	Observable.java	range	count	int	PARAM_AS	1	4	+	1
13	3246	8	Observable.java	range	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
14	3249	8	Observable.java	range	start	int	PARAM_AS	1	1	NO_USE	0
14	3249	8	Observable.java	range	count	int	PARAM_AS	1	4	NO_USE	1
14	3249	8	Observable.java	range	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
15	3252	8	Observable.java	range	start	int	PARAM_AS	1	1	PARAM_USE	0
15	3252	8	Observable.java	range	count	int	PARAM_AS	1	4	NO_USE	1
15	3252	8	Observable.java	range	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
16	3255	8	Observable.java	range	start	int	PARAM_AS	1	1	NO_USE	1
16	3255	8	Observable.java	range	count	int	PARAM_AS	1	4	NO_USE	1
16	3255	8	Observable.java	range	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
17	3283	8	Observable.java	rangeLong	start	long	PARAM_AS	1	1	NO_USE	0
17	3283	8	Observable.java	rangeLong	count	long	PARAM_AS	1	3	+	1
17	3283	8	Observable.java	rangeLong	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
18	3287	8	Observable.java	rangeLong	start	long	PARAM_AS	1	1	NO_USE	0
18	3287	8	Observable.java	rangeLong	count	long	PARAM_AS	1	3	NO_USE	1
18	3287	8	Observable.java	rangeLong	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
19	3291	8	Observable.java	rangeLong	start	long	PARAM_AS	1	1	PARAM_USE	0
19	3291	8	Observable.java	rangeLong	count	long	PARAM_AS	1	3	NO_USE	1
19	3291	8	Observable.java	rangeLong	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
20	3296	8	Observable.java	rangeLong	end	long	+	0	1	NO_USE	1
20	3296	8	Observable.java	rangeLong	start	long	PARAM_AS	1	1	NO_USE	1
20	3296	8	Observable.java	rangeLong	count	long	PARAM_AS	1	3	NO_USE	0
20	3296	8	Observable.java	rangeLong	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
21	3631	8	Observable.java	unsafeCreate	onSubscribe	ObservableSource<T>	PARAM_AS	1	1	NO_USE	1
21	3631	8	Observable.java	unsafeCreate	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
22	3718	8	Observable.java	wrap	source	ObservableSource<T>	PARAM_AS	1	1	OTHER_USE	1
22	3718	8	Observable.java	wrap	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
23	4563	8	Observable.java	zipArray	zipper	Function<? super Object[],? extends R>	PARAM_AS	1	0	NO_USE	0
23	4563	8	Observable.java	zipArray	delayError	boolean	PARAM_AS	1	0	NO_USE	0
23	4563	8	Observable.java	zipArray	bufferSize	int	PARAM_AS	1	0	NO_USE	0
23	4563	8	Observable.java	zipArray	sources	ObservableSource<? extends T>	PARAM_AS	1	1	NO_USE	1
23	4563	8	Observable.java	zipArray	THIS	Observable	UNKNOWN_AS	0	1	CLALLER_USE	1
24	4730	8	Observable.java	blockingFirst	s	BlockingFirstObserver<T>	CLASS_INSTANCE_CREATION	0	0	NO_USE	0
24	4730	8	Observable.java	blockingFirst	v	T	blockingGet()	0	1	RET_USE	1
24	4730	8	Observable.java	blockingFirst	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
25	4859	8	Observable.java	blockingLast	s	BlockingLastObserver<T>	CLASS_INSTANCE_CREATION	0	0	NO_USE	0
25	4859	8	Observable.java	blockingLast	v	T	blockingGet()	0	1	RET_USE	1
25	4859	8	Observable.java	blockingLast	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
26	4973	8	Observable.java	blockingSingle	v	T	blockingGet()	0	1	NO_USE	1
26	4973	8	Observable.java	blockingSingle	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
27	5981	8	Observable.java	concatMap	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	PARAM_USE	0
27	5981	8	Observable.java	concatMap	prefetch	int	PARAM_AS	1	0	NO_USE	0
27	5981	8	Observable.java	concatMap	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
28	5984	12	Observable.java	concatMap	v	T	call()	0	1	NO_USE	1
28	5984	12	Observable.java	concatMap	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	NO_USE	0
28	5984	12	Observable.java	concatMap	prefetch	int	PARAM_AS	1	0	NO_USE	0
28	5984	12	Observable.java	concatMap	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
29	6039	8	Observable.java	concatMapDelayError	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	PARAM_USE	0
29	6039	8	Observable.java	concatMapDelayError	prefetch	int	PARAM_AS	1	0	NO_USE	0
29	6039	8	Observable.java	concatMapDelayError	tillTheEnd	boolean	PARAM_AS	1	0	NO_USE	0
