id	line	column	filename	methodname	varname	vartype	else	return	right
6825	209	8	AbstractBlock.java	setMargin	margin	RectangleInsets	0	IllegalArgumentException	$ == null
6826	251	8	AbstractBlock.java	setFrame	frame	BlockFrame	0	IllegalArgumentException	$ == null
6827	277	8	AbstractBlock.java	setPadding	padding	RectangleInsets	0	IllegalArgumentException	$ == null
6828	365	8	AbstractBlock.java	setBounds	bounds	Rectangle2D	0	IllegalArgumentException	$ == null
6829	416	8	AbstractBlock.java	toContentConstraint	c	RectangleConstraint	0	IllegalArgumentException	$ == null
6830	419	8	AbstractBlock.java	toContentConstraint	c	RectangleConstraint	0	RET	$.equals(RectangleConstraint.NONE)
6831	437	8	AbstractBlock.java	trimToContentWidth	r	Range	0	RET	$ == null
6832	442	8	AbstractBlock.java	trimToContentWidth	r	Range	0	DEF	$.getLowerBound() > 0.0
6833	445	8	AbstractBlock.java	trimToContentWidth	r	Range	0	DEF	$.getUpperBound() < Double.POSITIVE_INFINITY
6834	452	8	AbstractBlock.java	trimToContentHeight	r	Range	0	RET	$ == null
6835	457	8	AbstractBlock.java	trimToContentHeight	r	Range	0	DEF	$.getLowerBound() > 0.0
6836	460	8	AbstractBlock.java	trimToContentHeight	r	Range	0	DEF	$.getUpperBound() < Double.POSITIVE_INFINITY
6837	556	8	AbstractBlock.java	equals	THIS	AbstractBlock	0	RET	obj == $
6837	556	8	AbstractBlock.java	equals	obj	Object	0	RET	$ == this
6838	559	8	AbstractBlock.java	equals	obj	Object	0	RET	$ instanceof AbstractBlock
6839	563	8	AbstractBlock.java	equals	THIS	AbstractBlock	0	RET	ObjectUtilities.equal($.id, that.$.id)
6839	563	8	AbstractBlock.java	equals	that	AbstractBlock	0	RET	ObjectUtilities.equal(this.id, $.id)
6840	566	8	AbstractBlock.java	equals	THIS	AbstractBlock	0	RET	$.frame.equals(that.$.frame)
6840	566	8	AbstractBlock.java	equals	that	AbstractBlock	0	RET	this.frame.equals($.frame)
6841	569	8	AbstractBlock.java	equals	THIS	AbstractBlock	0	RET	$.bounds.equals(that.$.bounds)
6841	569	8	AbstractBlock.java	equals	that	AbstractBlock	0	RET	this.bounds.equals($.bounds)
6842	572	8	AbstractBlock.java	equals	THIS	AbstractBlock	0	RET	$.margin.equals(that.$.margin)
6842	572	8	AbstractBlock.java	equals	that	AbstractBlock	0	RET	this.margin.equals($.margin)
6843	575	8	AbstractBlock.java	equals	THIS	AbstractBlock	0	RET	$.padding.equals(that.$.padding)
6843	575	8	AbstractBlock.java	equals	that	AbstractBlock	0	RET	this.padding.equals($.padding)
6844	578	8	AbstractBlock.java	equals	THIS	AbstractBlock	0	RET	$.height != that.$.height
6844	578	8	AbstractBlock.java	equals	that	AbstractBlock	0	RET	this.height != $.height
6845	581	8	AbstractBlock.java	equals	THIS	AbstractBlock	0	RET	$.width != that.$.width
6845	581	8	AbstractBlock.java	equals	that	AbstractBlock	0	RET	this.width != $.width
6846	598	8	AbstractBlock.java	clone	THIS	AbstractBlock	0	DEF	$.frame instanceof PublicCloneable
2238	124	8	AbstractCategoryItemLabelGenerator.java	AbstractCategoryItemLabelGenerator	labelFormat	String	0	IllegalArgumentException	$ == null
2239	127	8	AbstractCategoryItemLabelGenerator.java	AbstractCategoryItemLabelGenerator	formatter	NumberFormat	0	IllegalArgumentException	$ == null
2240	130	8	AbstractCategoryItemLabelGenerator.java	AbstractCategoryItemLabelGenerator	percentFormatter	NumberFormat	0	IllegalArgumentException	$ == null
2241	150	8	AbstractCategoryItemLabelGenerator.java	AbstractCategoryItemLabelGenerator	labelFormat	String	0	IllegalArgumentException	$ == null
2242	153	8	AbstractCategoryItemLabelGenerator.java	AbstractCategoryItemLabelGenerator	formatter	DateFormat	0	IllegalArgumentException	$ == null
2243	225	8	AbstractCategoryItemLabelGenerator.java	generateLabelString	dataset	CategoryDataset	0	IllegalArgumentException	$ == null
2244	251	8	AbstractCategoryItemLabelGenerator.java	createItemArray	value	Number	1	DEF	$ != null
2245	252	12	AbstractCategoryItemLabelGenerator.java	createItemArray	THIS	AbstractCategoryItemLabelGenerator	1	DEF	$.numberFormat != null
2246	255	17	AbstractCategoryItemLabelGenerator.java	createItemArray	THIS	AbstractCategoryItemLabelGenerator	0	DEF	$.dateFormat != null
2247	262	8	AbstractCategoryItemLabelGenerator.java	createItemArray	value	Number	0	DEF	$ != null
2248	279	8	AbstractCategoryItemLabelGenerator.java	equals	THIS	AbstractCategoryItemLabelGenerator	0	RET	obj == $
2248	279	8	AbstractCategoryItemLabelGenerator.java	equals	obj	Object	0	RET	$ == this
2249	282	8	AbstractCategoryItemLabelGenerator.java	equals	obj	Object	0	RET	$ instanceof AbstractCategoryItemLabelGenerator
2250	288	8	AbstractCategoryItemLabelGenerator.java	equals	THIS	AbstractCategoryItemLabelGenerator	0	RET	$.labelFormat.equals(that.$.labelFormat)
2250	288	8	AbstractCategoryItemLabelGenerator.java	equals	that	AbstractCategoryItemLabelGenerator	0	RET	this.labelFormat.equals($.labelFormat)
2251	291	8	AbstractCategoryItemLabelGenerator.java	equals	THIS	AbstractCategoryItemLabelGenerator	0	RET	ObjectUtilities.equal($.dateFormat, that.$.dateFormat)
2251	291	8	AbstractCategoryItemLabelGenerator.java	equals	that	AbstractCategoryItemLabelGenerator	0	RET	ObjectUtilities.equal(this.dateFormat, $.dateFormat)
2252	294	8	AbstractCategoryItemLabelGenerator.java	equals	THIS	AbstractCategoryItemLabelGenerator	0	RET	ObjectUtilities.equal($.numberFormat, that.$.numberFormat)
2252	294	8	AbstractCategoryItemLabelGenerator.java	equals	that	AbstractCategoryItemLabelGenerator	0	RET	ObjectUtilities.equal(this.numberFormat, $.numberFormat)
2253	325	8	AbstractCategoryItemLabelGenerator.java	clone	THIS	AbstractCategoryItemLabelGenerator	0	DEF	$.numberFormat != null
2254	328	8	AbstractCategoryItemLabelGenerator.java	clone	THIS	AbstractCategoryItemLabelGenerator	0	DEF	$.dateFormat != null
8725	287	8	AbstractCategoryItemRenderer.java	setPlot	plot	CategoryPlot	0	IllegalArgumentException	$ == null
8726	313	8	AbstractCategoryItemRenderer.java	getItemLabelGenerator	generator	CategoryItemLabelGenerator	0	DEF	$ == null
8727	362	8	AbstractCategoryItemRenderer.java	setSeriesItemLabelGenerator	notify	boolean	0	DEF	$
8728	405	8	AbstractCategoryItemRenderer.java	setBaseItemLabelGenerator	notify	boolean	0	DEF	$
8729	430	8	AbstractCategoryItemRenderer.java	getToolTipGenerator	result	CategoryToolTipGenerator	0	DEF	$ == null
8730	480	8	AbstractCategoryItemRenderer.java	setSeriesToolTipGenerator	notify	boolean	0	DEF	$
8731	522	8	AbstractCategoryItemRenderer.java	setBaseToolTipGenerator	notify	boolean	0	DEF	$
8732	544	8	AbstractCategoryItemRenderer.java	getURLGenerator	generator	CategoryURLGenerator	0	DEF	$ == null
8733	592	8	AbstractCategoryItemRenderer.java	setSeriesURLGenerator	notify	boolean	0	DEF	$
8734	632	8	AbstractCategoryItemRenderer.java	setBaseURLGenerator	notify	boolean	0	DEF	$
8735	662	8	AbstractCategoryItemRenderer.java	addAnnotation	annotation	CategoryAnnotation	0	IllegalArgumentException	$ == null
8736	665	8	AbstractCategoryItemRenderer.java	addAnnotation	layer	Layer	1	DEF	$.equals(Layer.FOREGROUND)
8737	669	13	AbstractCategoryItemRenderer.java	addAnnotation	layer	Layer	1	DEF	$.equals(Layer.BACKGROUND)
8738	730	8	AbstractCategoryItemRenderer.java	setLegendItemLabelGenerator	generator	CategorySeriesLabelGenerator	0	IllegalArgumentException	$ == null
8739	846	8	AbstractCategoryItemRenderer.java	initialise	data	CategoryDataset	1	DEF	$ != null
10972	857	8	AbstractCategoryItemRenderer.java	initialise	THIS	AbstractCategoryItemRenderer	0	NIL-FOR	row < $.rowCount
10972	857	8	AbstractCategoryItemRenderer.java	initialise	row	int	0	NIL-FOR	$ < this.rowCount
8740	858	12	AbstractCategoryItemRenderer.java	initialise	THIS	AbstractCategoryItemRenderer	0	DEF	$.isSeriesVisible(row)
8740	858	12	AbstractCategoryItemRenderer.java	initialise	row	int	0	DEF	isSeriesVisible($)
8741	897	8	AbstractCategoryItemRenderer.java	findRangeBounds	dataset	CategoryDataset	0	RET	$ == null
8742	900	8	AbstractCategoryItemRenderer.java	findRangeBounds	THIS	AbstractCategoryItemRenderer	1	RET	$.getDataBoundsIncludesVisibleSeriesOnly()
10973	903	12	AbstractCategoryItemRenderer.java	findRangeBounds	s	int	0	NIL-FOR	$ < seriesCount
10973	903	12	AbstractCategoryItemRenderer.java	findRangeBounds	seriesCount	int	0	NIL-FOR	s < $
8743	904	16	AbstractCategoryItemRenderer.java	findRangeBounds	THIS	AbstractCategoryItemRenderer	0	DEF	$.isSeriesVisible(s)
8743	904	16	AbstractCategoryItemRenderer.java	findRangeBounds	s	int	0	DEF	isSeriesVisible($)
8744	994	8	AbstractCategoryItemRenderer.java	drawDomainLine	paint	Paint	0	IllegalArgumentException	$ == null
8745	997	8	AbstractCategoryItemRenderer.java	drawDomainLine	stroke	Stroke	0	IllegalArgumentException	$ == null
8746	1003	8	AbstractCategoryItemRenderer.java	drawDomainLine	orientation	PlotOrientation	1	DEF	$ == PlotOrientation.HORIZONTAL
8747	1007	13	AbstractCategoryItemRenderer.java	drawDomainLine	orientation	PlotOrientation	0	DEF	$ == PlotOrientation.VERTICAL
8748	1038	8	AbstractCategoryItemRenderer.java	drawRangeLine	range	Range	0	RET	$.contains(value)
8748	1038	8	AbstractCategoryItemRenderer.java	drawRangeLine	value	double	0	RET	range.contains($)
8749	1045	8	AbstractCategoryItemRenderer.java	drawRangeLine	orientation	PlotOrientation	1	DEF	$ == PlotOrientation.HORIZONTAL
8750	1049	13	AbstractCategoryItemRenderer.java	drawRangeLine	orientation	PlotOrientation	0	DEF	$ == PlotOrientation.VERTICAL
8751	1081	8	AbstractCategoryItemRenderer.java	drawDomainMarker	columnIndex	int	0	RET	$ < 0
