id	line	column	filename	methodname	varname	vartype	else	return	right
748	39	8	AbstractCompiler.java	compile	matcher	Matcher	1	DEF	$.find()
749	46	8	AbstractCompiler.java	compile	matcher	Matcher	1	DEF	$.find()
750	55	12	AbstractCompiler.java	compile	code	String	0	IllegalStateException	$.endsWith("}")
588	34	8	ActivateComparator.java	compare	o1	Object	0	RET	$ == null
588	34	8	ActivateComparator.java	compare	o2	Object	0	RET	$ == null
589	37	8	ActivateComparator.java	compare	o1	Object	0	RET	$ == null
590	40	8	ActivateComparator.java	compare	o2	Object	0	RET	$ == null
591	43	8	ActivateComparator.java	compare	o1	Object	0	RET	$.equals(o2)
591	43	8	ActivateComparator.java	compare	o2	Object	0	RET	o1.equals($)
592	48	8	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	a2.after().length > 0
592	48	8	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	a1.after().length > 0
592	48	8	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	a2.before().length > 0
592	48	8	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	a1.before().length > 0
592	48	8	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	o1.getClass().getInterfaces().length > 0
592	48	8	ActivateComparator.java	compare	a1	Activate	0	RET	$.after().length > 0
592	48	8	ActivateComparator.java	compare	a1	Activate	0	RET	$.before().length > 0
592	48	8	ActivateComparator.java	compare	a2	Activate	0	RET	$.after().length > 0
592	48	8	ActivateComparator.java	compare	a2	Activate	0	RET	$.before().length > 0
592	48	8	ActivateComparator.java	compare	o1	Object	0	RET	$.getClass().getInterfaces()[0].isAnnotationPresent(SPI.class)
592	48	8	ActivateComparator.java	compare	o1	Object	0	RET	$.getClass().getInterfaces().length > 0
593	53	12	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	a1.before().length > 0
593	53	12	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	a1.after().length > 0
593	53	12	ActivateComparator.java	compare	a1	Activate	0	RET	$.before().length > 0
593	53	12	ActivateComparator.java	compare	a1	Activate	0	RET	$.after().length > 0
594	56	20	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	$.before.equals(n2)
594	56	20	ActivateComparator.java	compare	n2	String	0	RET	before.equals($)
595	61	20	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	$.after.equals(n2)
595	61	20	ActivateComparator.java	compare	n2	String	0	RET	after.equals($)
596	66	12	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	a2.before().length > 0
596	66	12	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	a2.after().length > 0
596	66	12	ActivateComparator.java	compare	a2	Activate	0	RET	$.before().length > 0
596	66	12	ActivateComparator.java	compare	a2	Activate	0	RET	$.after().length > 0
597	69	20	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	$.before.equals(n1)
597	69	20	ActivateComparator.java	compare	n1	String	0	RET	before.equals($)
598	74	20	ActivateComparator.java	compare	THIS	ActivateComparator	0	RET	$.after.equals(n1)
598	74	20	ActivateComparator.java	compare	n1	String	0	RET	after.equals($)
762	41	8	AdaptiveCompiler.java	compile	name	String	1	DEF	$.length() > 0
762	41	8	AdaptiveCompiler.java	compile	name	String	1	DEF	$ != null
483	48	12	AdaptiveExtensionFactory.java	getExtension	extension	T	0	RET	$ != null
959	27	8	Assert.java	notNull	obj	Object	0	IllegalArgumentException	$ == null
1195	44	12	AtomicPositiveInteger.java	getAndIncrement	THIS	AtomicPositiveInteger	0	RET	$.i.compareAndSet(current, next)
1195	44	12	AtomicPositiveInteger.java	getAndIncrement	current	int	0	RET	i.compareAndSet($, next)
1195	44	12	AtomicPositiveInteger.java	getAndIncrement	next	int	0	RET	i.compareAndSet(current, $)
1196	54	12	AtomicPositiveInteger.java	getAndDecrement	THIS	AtomicPositiveInteger	0	RET	$.i.compareAndSet(current, next)
1196	54	12	AtomicPositiveInteger.java	getAndDecrement	current	int	0	RET	i.compareAndSet($, next)
1196	54	12	AtomicPositiveInteger.java	getAndDecrement	next	int	0	RET	i.compareAndSet(current, $)
1197	64	12	AtomicPositiveInteger.java	incrementAndGet	THIS	AtomicPositiveInteger	0	RET	$.i.compareAndSet(current, next)
1197	64	12	AtomicPositiveInteger.java	incrementAndGet	current	int	0	RET	i.compareAndSet($, next)
1197	64	12	AtomicPositiveInteger.java	incrementAndGet	next	int	0	RET	i.compareAndSet(current, $)
1198	74	12	AtomicPositiveInteger.java	decrementAndGet	THIS	AtomicPositiveInteger	0	RET	$.i.compareAndSet(current, next)
1198	74	12	AtomicPositiveInteger.java	decrementAndGet	current	int	0	RET	i.compareAndSet($, next)
1198	74	12	AtomicPositiveInteger.java	decrementAndGet	next	int	0	RET	i.compareAndSet(current, $)
