id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	74	12	Version.java	getVersion	version	String	getImplementationVersion()	0	4	NO_USE	1
0	74	12	Version.java	getVersion	cls	Class<?>	PARAM_AS	1	0	CLALLER_USE	0
0	74	12	Version.java	getVersion	defaultVersion	String	PARAM_AS	1	0	NO_USE	0
0	74	12	Version.java	getVersion	THIS	Version	UNKNOWN_AS	0	0	NO_USE	0
1	77	12	Version.java	getVersion	version	String	getSpecificationVersion()	0	4	NO_USE	1
1	77	12	Version.java	getVersion	cls	Class<?>	PARAM_AS	1	0	CLALLER_USE	0
1	77	12	Version.java	getVersion	defaultVersion	String	PARAM_AS	1	0	OTHER_USE	0
1	77	12	Version.java	getVersion	THIS	Version	UNKNOWN_AS	0	0	FIELD_USE	0
2	80	16	Version.java	getVersion	codeSource	CodeSource	getCodeSource()	0	1	CLALLER_USE	1
2	80	16	Version.java	getVersion	version	String	getSpecificationVersion()	0	4	NO_USE	0
2	80	16	Version.java	getVersion	cls	Class<?>	PARAM_AS	1	0	CLALLER_USE	0
2	80	16	Version.java	getVersion	defaultVersion	String	PARAM_AS	1	0	OTHER_USE	0
2	80	16	Version.java	getVersion	THIS	Version	UNKNOWN_AS	0	0	FIELD_USE	0
3	85	20	Version.java	getVersion	file	String	getFile()	0	3	CLALLER_USE	1
3	85	20	Version.java	getVersion	codeSource	CodeSource	getCodeSource()	0	1	NO_USE	0
3	85	20	Version.java	getVersion	version	String	getSpecificationVersion()	0	4	NO_USE	0
3	85	20	Version.java	getVersion	cls	Class<?>	PARAM_AS	1	0	NO_USE	0
3	85	20	Version.java	getVersion	defaultVersion	String	PARAM_AS	1	0	NO_USE	0
3	85	20	Version.java	getVersion	THIS	Version	UNKNOWN_AS	0	0	NO_USE	0
4	88	24	Version.java	getVersion	i	int	lastIndexOf()	0	3	+	1
4	88	24	Version.java	getVersion	file	String	substring()	0	3	CLALLER_USE	0
4	88	24	Version.java	getVersion	codeSource	CodeSource	getCodeSource()	0	1	NO_USE	0
4	88	24	Version.java	getVersion	version	String	getSpecificationVersion()	0	4	NO_USE	0
4	88	24	Version.java	getVersion	cls	Class<?>	PARAM_AS	1	0	NO_USE	0
4	88	24	Version.java	getVersion	defaultVersion	String	PARAM_AS	1	0	NO_USE	0
4	88	24	Version.java	getVersion	THIS	Version	UNKNOWN_AS	0	0	NO_USE	0
5	92	24	Version.java	getVersion	i	int	indexOf()	0	3	+	1
5	92	24	Version.java	getVersion	file	String	substring()	0	3	CLALLER_USE	0
5	92	24	Version.java	getVersion	codeSource	CodeSource	getCodeSource()	0	1	NO_USE	0
5	92	24	Version.java	getVersion	version	String	getSpecificationVersion()	0	4	NO_USE	0
5	92	24	Version.java	getVersion	cls	Class<?>	PARAM_AS	1	0	NO_USE	0
5	92	24	Version.java	getVersion	defaultVersion	String	PARAM_AS	1	0	NO_USE	0
5	92	24	Version.java	getVersion	THIS	Version	UNKNOWN_AS	0	0	NO_USE	0
