id	line	column	filename	methodname	varname	vartype	else	return	right
1425	88	4	AbstractBaseGraph.java	degree	THIS	AbstractBaseGraph	1	RET	$.isDirected()
608	137	4	AbstractBiMap.java	putInBothMaps	THIS	AbstractBiMap	0	RET	Objects.equal(value, $.get(key))
608	137	4	AbstractBiMap.java	putInBothMaps	containedKey	boolean	0	RET	$
608	137	4	AbstractBiMap.java	putInBothMaps	key	K	0	RET	Objects.equal(value, get($))
608	137	4	AbstractBiMap.java	putInBothMaps	value	V	0	RET	Objects.equal($, get(key))
609	140	4	AbstractBiMap.java	putInBothMaps	force	boolean	1	DEF	$
610	151	4	AbstractBiMap.java	updateInverseMap	containedKey	boolean	0	DEF	$
58167	189	4	AbstractBiMap.java	replaceAll	itr	Iterator<Entry<K,V>>	0	NIL-WHILE	$.hasNext()
611	194	6	AbstractBiMap.java	replaceAll	conflict	K	0	DEF	$ != null
612	201	4	AbstractBiMap.java	replaceAll	broken	Entry<K,V>	0	IllegalArgumentException	$ != null
58143	54	4	AbstractByteHasher.java	update	i	int	0	NIL-FOR	$ < off + len
58143	54	4	AbstractByteHasher.java	update	off	int	0	NIL-FOR	i < $ + len
58143	54	4	AbstractByteHasher.java	update	len	int	0	NIL-FOR	i < off + $
1618	66	6	AbstractCache.java	getAllPresent	THIS	AbstractCache	0	DEF	result.containsKey($.key)
1618	66	6	AbstractCache.java	getAllPresent	result	Map<K,V>	0	DEF	$.containsKey(key)
1619	70	8	AbstractCache.java	getAllPresent	value	V	0	DEF	$ != null
97	96	4	AbstractCatchingFuture.java	run	THIS	AbstractCatchingFuture	0	RET	localInputFuture == null | localExceptionType == null | localFallback == null | $.isCancelled()
97	96	4	AbstractCatchingFuture.java	run	localInputFuture	ListenableFuture<? extends V>	0	RET	$ == null | localExceptionType == null | localFallback == null | isCancelled()
97	96	4	AbstractCatchingFuture.java	run	localExceptionType	Class<X>	0	RET	localInputFuture == null | $ == null | localFallback == null | isCancelled()
97	96	4	AbstractCatchingFuture.java	run	localFallback	F	0	RET	localInputFuture == null | localExceptionType == null | $ == null | isCancelled()
98	117	4	AbstractCatchingFuture.java	run	throwable	Throwable	0	RET	$ == null
99	122	4	AbstractCatchingFuture.java	run	THIS	AbstractCatchingFuture	0	RET	$.isInstanceOfThrowableClass(throwable, localExceptionType)
99	122	4	AbstractCatchingFuture.java	run	localExceptionType	Class<X>	0	RET	isInstanceOfThrowableClass(throwable, $)
99	122	4	AbstractCatchingFuture.java	run	throwable	Throwable	0	RET	isInstanceOfThrowableClass($, localExceptionType)
58148	49	4	AbstractCompositeHashFunction.java	newHasher	THIS	AbstractCompositeHashFunction	0	NIL-FOR	i < hashers.$.length
58148	49	4	AbstractCompositeHashFunction.java	newHasher	i	int	0	NIL-FOR	$ < hashers.length
58148	49	4	AbstractCompositeHashFunction.java	newHasher	hashers	Hasher[]	0	NIL-FOR	i < $.length
1333	107	4	AbstractDirectedNetworkConnections.java	removeInEdge	isSelfLoop	boolean	0	DEF	$
1334	122	4	AbstractDirectedNetworkConnections.java	addInEdge	isSelfLoop	boolean	0	DEF	$
131	209	6	AbstractFuture.java	removeWaiter	curr	Waiter	0	RET	$ == Waiter.TOMBSTONE
58074	213	6	AbstractFuture.java	removeWaiter	curr	Waiter	0	NIL-WHILE	$ != null
132	215	8	AbstractFuture.java	removeWaiter	THIS	AbstractFuture	1	DEF	curr.$.thread != null
132	215	8	AbstractFuture.java	removeWaiter	curr	Waiter	1	DEF	$.thread != null
133	217	15	AbstractFuture.java	removeWaiter	pred	Waiter	1	DEF	$ != null
134	219	10	AbstractFuture.java	removeWaiter	THIS	AbstractFuture	0	DEF	pred.$.thread == null
134	219	10	AbstractFuture.java	removeWaiter	pred	Waiter	0	DEF	$.thread == null
135	222	15	AbstractFuture.java	removeWaiter	curr	Waiter	0	DEF	ATOMIC_HELPER.casWaiters(this, $, succ)
135	222	15	AbstractFuture.java	removeWaiter	succ	Waiter	0	DEF	ATOMIC_HELPER.casWaiters(this, curr, $)
137	379	4	AbstractFuture.java	get	localValue	Object	0	RET	$ instanceof SetFuture
137	379	4	AbstractFuture.java	get	localValue	Object	0	RET	$ != null & !($ instanceof SetFuture)
138	385	4	AbstractFuture.java	get	remainingNanos	long	0	InterruptedException:RET	$ >= SPIN_THRESHOLD_NANOS
139	387	6	AbstractFuture.java	get	oldHead	Waiter	0	InterruptedException:RET	$ != Waiter.TOMBSTONE
58075	389	8	AbstractFuture.java	get	oldHead	Waiter	0	NIL-DOWHILE	$ != Waiter.TOMBSTONE
140	391	10	AbstractFuture.java	get	node	Waiter	0	InterruptedException:RET	ATOMIC_HELPER.casWaiters(this, oldHead, $)
140	391	10	AbstractFuture.java	get	oldHead	Waiter	0	InterruptedException:RET	ATOMIC_HELPER.casWaiters(this, $, node)
142	403	14	AbstractFuture.java	get	localValue	Object	0	RET	$ instanceof SetFuture
142	403	14	AbstractFuture.java	get	localValue	Object	0	RET	$ != null & !($ instanceof SetFuture)
143	409	14	AbstractFuture.java	get	remainingNanos	long	0	DEF	$ < SPIN_THRESHOLD_NANOS
58076	425	4	AbstractFuture.java	get	remainingNanos	long	0	NIL-WHILE	$ > 0
144	427	6	AbstractFuture.java	get	localValue	Object	0	RET	$ instanceof SetFuture
144	427	6	AbstractFuture.java	get	localValue	Object	0	RET	$ != null & !($ instanceof SetFuture)
147	461	4	AbstractFuture.java	get	localValue	Object	0	RET	$ instanceof SetFuture
147	461	4	AbstractFuture.java	get	localValue	Object	0	RET	$ != null & !($ instanceof SetFuture)
148	465	4	AbstractFuture.java	get	oldHead	Waiter	0	InterruptedException:RET	$ != Waiter.TOMBSTONE
58077	467	6	AbstractFuture.java	get	oldHead	Waiter	0	NIL-DOWHILE	$ != Waiter.TOMBSTONE
149	469	8	AbstractFuture.java	get	node	Waiter	0	InterruptedException:RET	ATOMIC_HELPER.casWaiters(this, oldHead, $)
