id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	190	6	AtomicDoubleArray.java	getAndAdd	current	long	get()	0	1	NO_USE	1
0	190	6	AtomicDoubleArray.java	getAndAdd	currentVal	double	longBitsToDouble()	0	0	RET_USE	0
0	190	6	AtomicDoubleArray.java	getAndAdd	nextVal	double	+	0	0	NO_USE	0
0	190	6	AtomicDoubleArray.java	getAndAdd	next	long	doubleToRawLongBits()	0	1	NO_USE	1
0	190	6	AtomicDoubleArray.java	getAndAdd	i	int	PARAM_AS	1	1	NO_USE	1
0	190	6	AtomicDoubleArray.java	getAndAdd	delta	double	PARAM_AS	1	0	NO_USE	0
0	190	6	AtomicDoubleArray.java	getAndAdd	THIS	AtomicDoubleArray	UNKNOWN_AS	0	1	NO_USE	1
1	210	6	AtomicDoubleArray.java	addAndGet	current	long	get()	0	1	NO_USE	1
1	210	6	AtomicDoubleArray.java	addAndGet	currentVal	double	longBitsToDouble()	0	0	NO_USE	0
1	210	6	AtomicDoubleArray.java	addAndGet	nextVal	double	+	0	0	RET_USE	0
1	210	6	AtomicDoubleArray.java	addAndGet	next	long	doubleToRawLongBits()	0	1	NO_USE	1
1	210	6	AtomicDoubleArray.java	addAndGet	i	int	PARAM_AS	1	1	NO_USE	1
1	210	6	AtomicDoubleArray.java	addAndGet	delta	double	PARAM_AS	1	0	NO_USE	0
1	210	6	AtomicDoubleArray.java	addAndGet	THIS	AtomicDoubleArray	UNKNOWN_AS	0	1	NO_USE	1
2	222	4	AtomicDoubleArray.java	toString	iMax	int	-	0	2	NO_USE	1
2	222	4	AtomicDoubleArray.java	toString	THIS	AtomicDoubleArray	UNKNOWN_AS	0	0	NO_USE	0
3	231	6	AtomicDoubleArray.java	toString	i	int	0	0	1	NO_USE	1
3	231	6	AtomicDoubleArray.java	toString	iMax	int	-	0	2	NO_USE	1
3	231	6	AtomicDoubleArray.java	toString	b	StringBuilder	CLASS_INSTANCE_CREATION	0	0	CLALLER_USE	0
3	231	6	AtomicDoubleArray.java	toString	THIS	AtomicDoubleArray	UNKNOWN_AS	0	0	NO_USE	0
4	136	4	TimeoutFuture.java	afterDone	localTimer	Future<?>	NAME	0	1	CLALLER_USE	1
4	136	4	TimeoutFuture.java	afterDone	THIS	TimeoutFuture	UNKNOWN_AS	0	0	NO_USE	0
5	403	4	Monitor.java	enter	timeoutNanos	long	toSafeNanos()	0	0	NO_USE	0
5	403	4	Monitor.java	enter	lock	ReentrantLock	FIELD_ACCESS	0	1	NO_USE	1
5	403	4	Monitor.java	enter	time	long	PARAM_AS	1	0	NO_USE	0
5	403	4	Monitor.java	enter	unit	TimeUnit	PARAM_AS	1	0	NO_USE	0
5	403	4	Monitor.java	enter	THIS	Monitor	UNKNOWN_AS	0	1	NO_USE	1
6	418	6	Monitor.java	enter	timeoutNanos	long	toSafeNanos()	0	0	NO_USE	0
6	418	6	Monitor.java	enter	lock	ReentrantLock	FIELD_ACCESS	0	1	NO_USE	0
6	418	6	Monitor.java	enter	interrupted	boolean	LITERAL	0	0	NO_USE	1
6	418	6	Monitor.java	enter	time	long	PARAM_AS	1	0	NO_USE	0
6	418	6	Monitor.java	enter	unit	TimeUnit	PARAM_AS	1	0	NO_USE	0
6	418	6	Monitor.java	enter	THIS	Monitor	UNKNOWN_AS	0	1	NO_USE	0
7	451	4	Monitor.java	enterWhen	guard	Guard	PARAM_AS	1	2	NO_USE	1
7	451	4	Monitor.java	enterWhen	THIS	Monitor	UNKNOWN_AS	0	2	NO_USE	1
8	460	6	Monitor.java	enterWhen	lock	ReentrantLock	FIELD_ACCESS	0	0	NO_USE	0
8	460	6	Monitor.java	enterWhen	signalBeforeWaiting	boolean	isHeldByCurrentThread()	0	0	PARAM_USE	0
8	460	6	Monitor.java	enterWhen	satisfied	boolean	LITERAL	0	1	NO_USE	0
8	460	6	Monitor.java	enterWhen	guard	Guard	PARAM_AS	1	2	PARAM_USE	1
8	460	6	Monitor.java	enterWhen	THIS	Monitor	UNKNOWN_AS	0	2	CLALLER_USE	0
9	465	6	Monitor.java	enterWhen	lock	ReentrantLock	FIELD_ACCESS	0	0	NO_USE	0
9	465	6	Monitor.java	enterWhen	signalBeforeWaiting	boolean	isHeldByCurrentThread()	0	0	NO_USE	0
9	465	6	Monitor.java	enterWhen	satisfied	boolean	LITERAL	0	1	NO_USE	1
9	465	6	Monitor.java	enterWhen	guard	Guard	PARAM_AS	1	2	NO_USE	0
9	465	6	Monitor.java	enterWhen	THIS	Monitor	UNKNOWN_AS	0	2	CLALLER_USE	0
10	475	4	Monitor.java	enterWhenUninterruptibly	guard	Guard	PARAM_AS	1	2	NO_USE	1
10	475	4	Monitor.java	enterWhenUninterruptibly	THIS	Monitor	UNKNOWN_AS	0	2	NO_USE	1
11	484	6	Monitor.java	enterWhenUninterruptibly	lock	ReentrantLock	FIELD_ACCESS	0	0	NO_USE	0
11	484	6	Monitor.java	enterWhenUninterruptibly	signalBeforeWaiting	boolean	isHeldByCurrentThread()	0	0	PARAM_USE	0
11	484	6	Monitor.java	enterWhenUninterruptibly	satisfied	boolean	LITERAL	0	1	NO_USE	0
11	484	6	Monitor.java	enterWhenUninterruptibly	guard	Guard	PARAM_AS	1	2	PARAM_USE	1
11	484	6	Monitor.java	enterWhenUninterruptibly	THIS	Monitor	UNKNOWN_AS	0	2	CLALLER_USE	0
12	489	6	Monitor.java	enterWhenUninterruptibly	lock	ReentrantLock	FIELD_ACCESS	0	0	NO_USE	0
12	489	6	Monitor.java	enterWhenUninterruptibly	signalBeforeWaiting	boolean	isHeldByCurrentThread()	0	0	NO_USE	0
12	489	6	Monitor.java	enterWhenUninterruptibly	satisfied	boolean	LITERAL	0	1	NO_USE	1
12	489	6	Monitor.java	enterWhenUninterruptibly	guard	Guard	PARAM_AS	1	2	NO_USE	0
12	489	6	Monitor.java	enterWhenUninterruptibly	THIS	Monitor	UNKNOWN_AS	0	2	CLALLER_USE	0
13	505	4	Monitor.java	enterWhen	timeoutNanos	long	toSafeNanos()	0	0	NO_USE	0
13	505	4	Monitor.java	enterWhen	guard	Guard	PARAM_AS	1	1	NO_USE	1
13	505	4	Monitor.java	enterWhen	time	long	PARAM_AS	1	1	NO_USE	0
13	505	4	Monitor.java	enterWhen	unit	TimeUnit	PARAM_AS	1	1	NO_USE	0
13	505	4	Monitor.java	enterWhen	THIS	Monitor	UNKNOWN_AS	0	3	NO_USE	1
14	514	6	Monitor.java	enterWhen	timeoutNanos	long	toSafeNanos()	0	0	NO_USE	0
14	514	6	Monitor.java	enterWhen	lock	ReentrantLock	FIELD_ACCESS	0	2	CLALLER_USE	0
14	514	6	Monitor.java	enterWhen	reentrant	boolean	isHeldByCurrentThread()	0	1	NO_USE	0
14	514	6	Monitor.java	enterWhen	startTime	long	0L	0	0	NO_USE	0
14	514	6	Monitor.java	enterWhen	guard	Guard	PARAM_AS	1	1	NO_USE	0
