id	line	column	filename	methodname	varname	vartype	else	return	right
5478	113	8	AWTEvent.java	getAccessControlContext	THIS	AWTEvent	0	SecurityException	$.acc == null
5479	288	8	AWTEvent.java	get_InputEvent_CanAccessSystemClipboard	THIS	AWTEvent	0	RET	$.inputEvent_CanAccessSystemClipboard_Field == null
5480	363	8	AWTEvent.java	setSource	THIS	AWTEvent	0	RET	$.source == newSource
5480	363	8	AWTEvent.java	setSource	newSource	Object	0	RET	source == $
5481	368	8	AWTEvent.java	setSource	newSource	Object	0	DEF	$ instanceof Component
69708	370	12	AWTEvent.java	setSource	THIS	AWTEvent	0	NIL-WHILE	comp.$.peer instanceof LightweightPeer
69708	370	12	AWTEvent.java	setSource	THIS	AWTEvent	0	NIL-WHILE	comp.$.peer != null
69708	370	12	AWTEvent.java	setSource	comp	Component	0	NIL-WHILE	$.peer instanceof LightweightPeer
69708	370	12	AWTEvent.java	setSource	comp	Component	0	NIL-WHILE	$ != null
69708	370	12	AWTEvent.java	setSource	comp	Component	0	NIL-WHILE	$.peer != null
5482	378	12	AWTEvent.java	setSource	comp	Component	0	DEF	$ != null
5483	380	16	AWTEvent.java	setSource	peer	ComponentPeer	0	DEF	$ != null
5484	401	8	AWTEvent.java	toString	THIS	AWTEvent	1	DEF	$.source instanceof Component
5485	403	15	AWTEvent.java	toString	THIS	AWTEvent	0	DEF	$.source instanceof MenuComponent
5486	471	14	AWTEvent.java	convertToOld	ke	KeyEvent	0	DEF	$.isActionKey()
5487	476	14	AWTEvent.java	convertToOld	keyCode	int	0	RET	$ == KeyEvent.VK_CONTROL
5487	476	14	AWTEvent.java	convertToOld	keyCode	int	0	RET	$ == KeyEvent.VK_SHIFT
5487	476	14	AWTEvent.java	convertToOld	keyCode	int	0	RET	$ == KeyEvent.VK_ALT
5488	512	14	AWTEvent.java	convertToOld	src	Object	0	RET	$ instanceof Frame
5488	512	14	AWTEvent.java	convertToOld	src	Object	0	RET	$ instanceof Dialog
5489	521	14	AWTEvent.java	convertToOld	src	Object	1	DEF	$ instanceof Button
5490	523	21	AWTEvent.java	convertToOld	src	Object	1	DEF	$ instanceof MenuItem
5491	533	14	AWTEvent.java	convertToOld	src	Object	1	DEF	$ instanceof List
5492	539	18	AWTEvent.java	convertToOld	src	Object	1	DEF	$ instanceof Choice
5493	564	18	AWTEvent.java	convertToOld	aje	AdjustmentEvent	1	DEF	$.getValueIsAdjusting()
5494	590	8	AWTEvent.java	copyPrivateDataInto	that	AWTEvent	0	DEF	$ instanceof InputEvent
5495	592	12	AWTEvent.java	copyPrivateDataInto	field	Field	0	DEF	$ != null
5496	597	20	AWTEvent.java	copyPrivateDataInto	THIS	AWTEvent	0	DEF	$.log.isLoggable(PlatformLogger.FINE)
5498	609	12	AWTEvent.java	dispatched	field	Field	0	DEF	$ != null
5499	613	20	AWTEvent.java	dispatched	THIS	AWTEvent	0	DEF	$.log.isLoggable(PlatformLogger.FINE)
9974	143	8	AWTEventMulticaster.java	remove	THIS	AWTEventMulticaster	0	RET	oldl == $.a
9974	143	8	AWTEventMulticaster.java	remove	oldl	EventListener	0	RET	$ == a
9975	144	8	AWTEventMulticaster.java	remove	THIS	AWTEventMulticaster	0	RET	oldl == $.b
9975	144	8	AWTEventMulticaster.java	remove	oldl	EventListener	0	RET	$ == b
9976	147	8	AWTEventMulticaster.java	remove	THIS	AWTEventMulticaster	0	RET	a2 == $.a
9976	147	8	AWTEventMulticaster.java	remove	THIS	AWTEventMulticaster	0	RET	b2 == $.b
9976	147	8	AWTEventMulticaster.java	remove	a2	EventListener	0	RET	$ == a
9976	147	8	AWTEventMulticaster.java	remove	b2	EventListener	0	RET	$ == b
9977	889	8	AWTEventMulticaster.java	addInternal	a	EventListener	0	RET	$ == null
9978	890	8	AWTEventMulticaster.java	addInternal	b	EventListener	0	RET	$ == null
9979	906	8	AWTEventMulticaster.java	removeInternal	l	EventListener	1	RET	$ == oldl
9979	906	8	AWTEventMulticaster.java	removeInternal	l	EventListener	1	RET	$ == null
9979	906	8	AWTEventMulticaster.java	removeInternal	oldl	EventListener	1	RET	l == $
9980	908	15	AWTEventMulticaster.java	removeInternal	l	EventListener	1	RET	$ instanceof AWTEventMulticaster
9981	920	8	AWTEventMulticaster.java	saveInternal	THIS	AWTEventMulticaster	1	DEF	$.a instanceof AWTEventMulticaster
9982	923	13	AWTEventMulticaster.java	saveInternal	THIS	AWTEventMulticaster	0	DEF	$.a instanceof Serializable
9983	928	8	AWTEventMulticaster.java	saveInternal	THIS	AWTEventMulticaster	1	DEF	$.b instanceof AWTEventMulticaster
9984	931	13	AWTEventMulticaster.java	saveInternal	THIS	AWTEventMulticaster	0	DEF	$.b instanceof Serializable
9985	938	6	AWTEventMulticaster.java	save	l	EventListener	1	RET	$ == null
9986	941	11	AWTEventMulticaster.java	save	l	EventListener	1	DEF	$ instanceof AWTEventMulticaster
9987	944	11	AWTEventMulticaster.java	save	l	EventListener	0	DEF	$ instanceof Serializable
9988	957	8	AWTEventMulticaster.java	getListenerCount	l	EventListener	1	RET	$ instanceof AWTEventMulticaster
9989	976	8	AWTEventMulticaster.java	populateListenerArray	l	EventListener	1	RET	$ instanceof AWTEventMulticaster
9990	981	13	AWTEventMulticaster.java	populateListenerArray	a	EventListener[]	1	RET	$.getClass().getComponentType().isInstance(l)
9990	981	13	AWTEventMulticaster.java	populateListenerArray	l	EventListener	1	RET	a.getClass().getComponentType().isInstance($)
9991	1023	8	AWTEventMulticaster.java	getListeners	listenerType	Class<T>	0	NullPointerException	$ == null
4758	91	8	AWTKeyStroke.java	getAWTKeyStrokeClass	clazz	Class	0	DEF	$ == null
4759	182	8	AWTKeyStroke.java	registerSubclass	subclass	Class<?>	0	IllegalArgumentException	$ == null
4760	188	12	AWTKeyStroke.java	registerSubclass	keyStrokeClass	Class	0	RET	$ != null
4760	188	12	AWTKeyStroke.java	registerSubclass	keyStrokeClass	Class	0	RET	$.equals(subclass)
4760	188	12	AWTKeyStroke.java	registerSubclass	subclass	Class<?>	0	RET	keyStrokeClass.equals($)
4761	193	8	AWTKeyStroke.java	registerSubclass	subclass	Class<?>	0	ClassCastException	AWTKeyStroke.class.isAssignableFrom($)
4762	201	8	AWTKeyStroke.java	registerSubclass	ctor	Constructor	0	IllegalArgumentException	$ == null
4763	206	12	AWTKeyStroke.java	registerSubclass	stroke	AWTKeyStroke	0	IllegalArgumentException	$ == null
4764	258	8	AWTKeyStroke.java	getCachedStroke	cache	Map	0	DEF	$ == null
4765	263	8	AWTKeyStroke.java	getCachedStroke	cacheKey	AWTKeyStroke	0	DEF	$ == null
4766	282	8	AWTKeyStroke.java	getCachedStroke	stroke	AWTKeyStroke	0	DEF	$ == null
4767	341	8	AWTKeyStroke.java	getAWTKeyStroke	keyChar	Character	0	IllegalArgumentException	$ == null
4768	504	8	AWTKeyStroke.java	getAWTKeyStroke	s	String	0	IllegalArgumentException	$ == null
4769	518	12	AWTKeyStroke.java	getAWTKeyStroke	THIS	AWTKeyStroke	0	DEF	$.modifierKeywords == null
69568	551	8	AWTKeyStroke.java	getAWTKeyStroke	i	int	0	NIL-FOR	$ <= count
69568	551	8	AWTKeyStroke.java	getAWTKeyStroke	count	int	0	NIL-FOR	i <= $
4770	554	12	AWTKeyStroke.java	getAWTKeyStroke	typed	boolean	0	IllegalArgumentException:RET	$
4771	555	16	AWTKeyStroke.java	getAWTKeyStroke	token	String	0	IllegalArgumentException	$.length() != 1
4771	555	16	AWTKeyStroke.java	getAWTKeyStroke	i	int	0	IllegalArgumentException	$ != count
4771	555	16	AWTKeyStroke.java	getAWTKeyStroke	count	int	0	IllegalArgumentException	i != $
4772	562	12	AWTKeyStroke.java	getAWTKeyStroke	i	int	0	IllegalArgumentException:RET	$ == count
4772	562	12	AWTKeyStroke.java	getAWTKeyStroke	released	boolean	0	IllegalArgumentException:RET	$
4772	562	12	AWTKeyStroke.java	getAWTKeyStroke	pressed	boolean	0	IllegalArgumentException:RET	$
4772	562	12	AWTKeyStroke.java	getAWTKeyStroke	count	int	0	IllegalArgumentException:RET	i == $
4773	563	16	AWTKeyStroke.java	getAWTKeyStroke	i	int	0	IllegalArgumentException	$ != count
4773	563	16	AWTKeyStroke.java	getAWTKeyStroke	count	int	0	IllegalArgumentException	i != $
4774	574	12	AWTKeyStroke.java	getAWTKeyStroke	token	String	0	DEF	$.equals("released")
4775	578	12	AWTKeyStroke.java	getAWTKeyStroke	token	String	0	DEF	$.equals("pressed")
4776	582	12	AWTKeyStroke.java	getAWTKeyStroke	token	String	0	DEF	$.equals("typed")
4777	588	12	AWTKeyStroke.java	getAWTKeyStroke	tokenMask	Integer	1	DEF	$ != null
4778	599	8	AWTKeyStroke.java	getVKCollection	THIS	AWTKeyStroke	0	DEF	$.vks == null
4779	615	8	AWTKeyStroke.java	getVKValue	value	Integer	0	IllegalArgumentException	$ == null
4780	685	8	AWTKeyStroke.java	getKeyEventType	THIS	AWTKeyStroke	1	RET	$.keyCode == KeyEvent.VK_UNDEFINED
4781	712	8	AWTKeyStroke.java	equals	anObject	Object	0	RET	$ instanceof AWTKeyStroke
4782	731	8	AWTKeyStroke.java	toString	THIS	AWTKeyStroke	1	RET	$.keyCode == KeyEvent.VK_UNDEFINED
4783	743	8	AWTKeyStroke.java	getModifiersText	modifiers	int	0	DEF	($ & InputEvent.SHIFT_DOWN_MASK) != 0
4784	746	8	AWTKeyStroke.java	getModifiersText	modifiers	int	0	DEF	($ & InputEvent.CTRL_DOWN_MASK) != 0
4785	749	8	AWTKeyStroke.java	getModifiersText	modifiers	int	0	DEF	($ & InputEvent.META_DOWN_MASK) != 0
4786	752	8	AWTKeyStroke.java	getModifiersText	modifiers	int	0	DEF	($ & InputEvent.ALT_DOWN_MASK) != 0
4787	755	8	AWTKeyStroke.java	getModifiersText	modifiers	int	0	DEF	($ & InputEvent.ALT_GRAPH_DOWN_MASK) != 0
4788	758	8	AWTKeyStroke.java	getModifiersText	THIS	AWTKeyStroke	0	DEF	(modifiers & InputEvent.$.BUTTON1_DOWN_MASK) != 0
4788	758	8	AWTKeyStroke.java	getModifiersText	modifiers	int	0	DEF	($ & InputEvent.BUTTON1_DOWN_MASK) != 0
4789	761	8	AWTKeyStroke.java	getModifiersText	THIS	AWTKeyStroke	0	DEF	(modifiers & InputEvent.$.BUTTON2_DOWN_MASK) != 0
4789	761	8	AWTKeyStroke.java	getModifiersText	modifiers	int	0	DEF	($ & InputEvent.BUTTON2_DOWN_MASK) != 0
4790	764	8	AWTKeyStroke.java	getModifiersText	THIS	AWTKeyStroke	0	DEF	(modifiers & InputEvent.$.BUTTON3_DOWN_MASK) != 0
4790	764	8	AWTKeyStroke.java	getModifiersText	modifiers	int	0	DEF	($ & InputEvent.BUTTON3_DOWN_MASK) != 0
4791	775	8	AWTKeyStroke.java	getVKText	name	String	0	RET	$ != null
69569	782	8	AWTKeyStroke.java	getVKText	THIS	AWTKeyStroke	0	NIL-FOR	i < fields.$.length
69569	782	8	AWTKeyStroke.java	getVKText	i	int	0	NIL-FOR	$ < fields.length
69569	782	8	AWTKeyStroke.java	getVKText	fields	Field[]	0	NIL-FOR	i < $.length
4792	784	16	AWTKeyStroke.java	getVKText	i	int	0	RET	fields[$].getName().startsWith("VK_")
4792	784	16	AWTKeyStroke.java	getVKText	i	int	0	RET	fields[$].getType() == Integer.TYPE
4792	784	16	AWTKeyStroke.java	getVKText	i	int	0	RET	fields[$].getModifiers() == expected_modifiers
4792	784	16	AWTKeyStroke.java	getVKText	i	int	0	RET	fields[$].getInt(KeyEvent.class) == keyCode
4792	784	16	AWTKeyStroke.java	getVKText	expected_modifiers	int	0	RET	fields[i].getModifiers() == $
4792	784	16	AWTKeyStroke.java	getVKText	fields	Field[]	0	RET	$[i].getName().startsWith("VK_")
4792	784	16	AWTKeyStroke.java	getVKText	fields	Field[]	0	RET	$[i].getType() == Integer.TYPE
4792	784	16	AWTKeyStroke.java	getVKText	fields	Field[]	0	RET	$[i].getModifiers() == expected_modifiers
4792	784	16	AWTKeyStroke.java	getVKText	fields	Field[]	0	RET	$[i].getInt(KeyEvent.class) == keyCode
4792	784	16	AWTKeyStroke.java	getVKText	keyCode	int	0	RET	fields[i].getInt(KeyEvent.class) == $
4793	808	12	AWTKeyStroke.java	readResolve	THIS	AWTKeyStroke	0	RET	$.getClass().equals($.getAWTKeyStrokeClass())
4794	816	8	AWTKeyStroke.java	mapOldModifiers	modifiers	int	0	DEF	($ & InputEvent.SHIFT_MASK) != 0
4795	819	8	AWTKeyStroke.java	mapOldModifiers	modifiers	int	0	DEF	($ & InputEvent.ALT_MASK) != 0
4796	822	8	AWTKeyStroke.java	mapOldModifiers	modifiers	int	0	DEF	($ & InputEvent.ALT_GRAPH_MASK) != 0
4797	825	8	AWTKeyStroke.java	mapOldModifiers	modifiers	int	0	DEF	($ & InputEvent.CTRL_MASK) != 0
4798	828	8	AWTKeyStroke.java	mapOldModifiers	modifiers	int	0	DEF	($ & InputEvent.META_MASK) != 0
4799	845	8	AWTKeyStroke.java	mapNewModifiers	modifiers	int	0	DEF	($ & InputEvent.SHIFT_DOWN_MASK) != 0
4800	848	8	AWTKeyStroke.java	mapNewModifiers	modifiers	int	0	DEF	($ & InputEvent.ALT_DOWN_MASK) != 0
4801	851	8	AWTKeyStroke.java	mapNewModifiers	modifiers	int	0	DEF	($ & InputEvent.ALT_GRAPH_DOWN_MASK) != 0
4802	854	8	AWTKeyStroke.java	mapNewModifiers	modifiers	int	0	DEF	($ & InputEvent.CTRL_DOWN_MASK) != 0
4803	857	8	AWTKeyStroke.java	mapNewModifiers	modifiers	int	0	DEF	($ & InputEvent.META_DOWN_MASK) != 0
530	100	8	AbstractCollection.java	contains	o	Object	1	RET	$==null
68670	101	12	AbstractCollection.java	contains	it	Iterator<E>	0	NIL-WHILE	$.hasNext()
531	102	16	AbstractCollection.java	contains	it	Iterator<E>	0	RET	$.next()==null
68671	105	12	AbstractCollection.java	contains	it	Iterator<E>	0	NIL-WHILE	$.hasNext()
532	106	16	AbstractCollection.java	contains	it	Iterator<E>	0	RET	o.equals($.next())
532	106	16	AbstractCollection.java	contains	o	Object	0	RET	$.equals(it.next())
68672	138	8	AbstractCollection.java	toArray	THIS	AbstractCollection	0	NIL-FOR	i < r.$.length
