PiePlot.java	setLabelFont	font	Font	0	IllegalArgumentException	$ == null
Axis.java	setTickLabelFont	font	Font	0	IllegalArgumentException	$ == null
ThermometerPlot.java	getCurrentPaint	NORMAL	int	1	DEF	inSubrange($, value)
Variance.java	evaluate	begin	int	0	DEF	test(values, $, length)
EigenDecompositionImpl.java	computeShiftIncrement	dMin1	double	1	RET	$ == dN1
CalendarConverter.java	getChronology	cutover	long	1	RET	$ == Long.MAX_VALUE
XYStepAreaRenderer.java	drawItem	orientation	PlotOrientation	0	DEF	$ == PlotOrientation.HORIZONTAL
Gamma.java	invGamma1pm1	x	double	1	DEF	$ > 0.5
FastMath.java	rint	d	double	0	RET	$ > 0.5
PanHandler.java	mouseDragged	dx	double	0	RET	$ == 0.0
PiePlot.java	lookupSectionOutlineStroke	ds	DrawingSupplier	1	DEF	$ != null
UnivariateRealSolverUtils.java	bracket	initial	double	0	IllegalArgumentException	$ > upperBound
ArrayRealVector.java	isInfinite	this	THIS	0	RET	$.isNaN()
DefaultPlotEditor.java	updatePlotProperties	plot	Plot	0	DEF	$ instanceof XYPlot
ISODateTimeFormat.java	basicDateTimeNoMillis	bdtx	DateTimeFormatter	0	RET	$ == null
XYPlot.java	addRangeMarker	layer	Layer	1	DEF	$ == Layer.FOREGROUND
MathUtils.java	subAndCheck	s	long	0	ArithmeticException	$ > Integer.MAX_VALUE
GammaDistribution.java	density	x	double	0	RET	$ < 0
AbstractIntegerDistribution.java	solveInverseCumulativeProbability	pm	double	1	DEF	$ >= p
BicubicSplineInterpolatingFunction.java	value	i	int	0	OutOfRangeException	$ == -1
ClusteredXYBarRenderer.java	drawItem	pass	int	0	DEF	$ == 1
FastFourierTransformer.java	transformInPlace	dataRI	double[][]	0	DimensionMismatchException	$.length != 2
XYBarRenderer.java	getLegendItem	xyplot	XYPlot	0	DEF	$ != null
FastMath.java	pow	x	double	0	RET	$ == Double.POSITIVE_INFINITY
DateAxis.java	refreshTicksVertical	minorTickTime	long	0	DEF	$ > 0
XYStepRenderer.java	drawItem	orientation	PlotOrientation	1	DEF	$ == PlotOrientation.HORIZONTAL
BigFraction.java	BigFraction	sign	long	0	DEF	$ != 0
RealMatrixImpl.java	setSubMatrix	data	double[][]	1	DEF	$ == null
MethodUtils.java	invokeExactStaticMethod	args	Object[]	0	DEF	$ == null
RandomDataImpl.java	reSeed	rand	RandomGenerator	0	DEF	$ == null
GaussianParametersGuesser.java	compare	p2	WeightedObservedPoint	0	RET	$ == null
ResizableDoubleArray.java	setNumElements	i	int	0	DEF	$ < 0
SimpleRegression.java	getMeanSquareError	n	long	0	RET	$ < 3
CombinedRangeXYPlot.java	clone	rangeAxis	ValueAxis	0	DEF	$ != null
TimeSeriesCollection.java	getDomainLowerBound	r	Range	0	DEF	$ != null
BicubicSplineInterpolator.java	interpolate	fval	double[][]	0	NoDataException	$.length == 0
StringUtils.java	endsWith	suffix	CharSequence	0	RET	$ == null
XYPlot.java	drawRangeTickBands	bandPaint	Paint	0	DEF	$ != null
PeriodFormatterBuilder.java	calculatePrintedLength	before	PeriodPrinter	0	DEF	$.countFieldsToPrint(period, 1, locale) > 0
EventState.java	evaluateStep	cause	Throwable	1	DEF	$ != null
ValueAxis.java	setDefaultAutoRange	range	Range	0	IllegalArgumentException	$ == null
Sum.java	evaluate	values	double[]	0	DEF	test($, begin, length, true)
DefaultMultiValueCategoryDataset.java	getValue	l	List	0	DEF	$ != null
MeterPlot.java	setTickLabelFormat	format	NumberFormat	0	IllegalArgumentException	$ == null
AdamsMoultonIntegrator.java	integrate	y	double[]	0	DEF	$ != y0
BooleanUtils.java	xor	trueCount	int	1	DEF	$ < 1
StringUtils.java	indexOfAny	search	CharSequence	0	DEF	$ == null
SerialUtilities.java	writeAttributedString	stream	ObjectOutputStream	0	IllegalArgumentException	$ == null
BaseSecantSolver.java	doSolve	f1	double	0	RET	$ == 0.0
ChartFactory.java	createBarChart3D	orientation	PlotOrientation	0	DEF	$ == PlotOrientation.HORIZONTAL
Fraction.java	Fraction	q2	long	0	FractionConversionException	$ > overflow
DatasetUtilities.java	findStackedRangeBounds	positive	double	0	DEF	$ > maximum
BlockFieldMatrix.java	getRowMatrix	jWidth	int	1	DEF	$ > available
DateTimeFormatterBuilder.java	printTo	buf	StringBuffer	1	DEF	$ != null
SimpleRegression.java	regress	variablesToInclude	int[]	0	MathIllegalArgumentException	$ == null
DialPlot.java	getPointerIndex	pointer	DialPointer	0	IllegalArgumentException	$ == null
HighLowRenderer.java	drawItem	orientation	PlotOrientation	1	DEF	$ == PlotOrientation.HORIZONTAL
AbstractSimplex.java	getPoint	index	int	0	OutOfRangeException	$ < 0
DateTimeZone.java	getMillisKeepLocal	newZone	DateTimeZone	0	DEF	$ == null
TaskSeriesCollection.java	getStartValue	task	Task	0	DEF	$ != null
FastMath.java	cos	xa	double	0	RET	$ != xa
DateTimeFormatterBuilder.java	parseInto	count	int	1	DEF	$ == 0
CenterArrangement.java	arrange	h	LengthConstraintType	0	RuntimeException	$ == LengthConstraintType.RANGE
GraggBulirschStoerIntegrator.java	integrate	targetIter	int	0	DEF	$ > 1
BarRenderer.java	drawItem	generator	CategoryItemLabelGenerator	0	DEF	$ != null
BarRenderer3D.java	drawDomainGridline	orientation	PlotOrientation	1	DEF	$ == PlotOrientation.HORIZONTAL
CategoryPlot.java	calculateRangeAxisSpace	yAxis	Axis	0	DEF	$ != null
BOBYQAOptimizer.java	altmov	iflag	int	1	DEF	$ == 0
GanttRenderer.java	drawTask	stroke	Stroke	0	DEF	$ != null
DateTimeFormatterBuilder.java	parseInto	c	char	0	DEF	$ == '+'
LocalDateTime.java	withPeriodAdded	period	ReadablePeriod	0	RET	$ == null
OpenIntToFieldHashMap.java	findInsertionIndex	index	int	1	RET	states[$] == FREE
GJChronology.java	getDifference	subtrahendInstant	long	0	RET	$ >= iCutover
ArrayUtils.java	toPrimitive	array	Short[]	0	RET	$.length == 0
