id	line	column	filename	methodname	varname	vartype	else	return	right
1048	53	12	AggregateTranslator.java	translate	consumed	int	0	RET	$ != 0
1384	177	8	ArrayUtils.java	toString	array	Object	0	RET	$ == null
1385	225	8	ArrayUtils.java	toMap	array	Object[]	0	RET	$ == null
50349	229	8	ArrayUtils.java	toMap	THIS	ArrayUtils	0	NIL-FOR	i < array.$.length
50349	229	8	ArrayUtils.java	toMap	i	int	0	NIL-FOR	$ < array.length
50349	229	8	ArrayUtils.java	toMap	array	Object[]	0	NIL-FOR	i < $.length
1386	231	12	ArrayUtils.java	toMap	object	Object	1	DEF	$ instanceof Map.Entry<?, ?>
1387	234	19	ArrayUtils.java	toMap	object	Object	1	IllegalArgumentException	$ instanceof Object[]
1388	236	16	ArrayUtils.java	toMap	THIS	ArrayUtils	0	IllegalArgumentException	entry.$.length < 2
1388	236	16	ArrayUtils.java	toMap	entry	Object[]	0	IllegalArgumentException	$.length < 2
1389	311	8	ArrayUtils.java	clone	array	T[]	0	RET	$ == null
1390	327	8	ArrayUtils.java	clone	array	long[]	0	RET	$ == null
1391	343	8	ArrayUtils.java	clone	array	int[]	0	RET	$ == null
1392	359	8	ArrayUtils.java	clone	array	short[]	0	RET	$ == null
1393	375	8	ArrayUtils.java	clone	array	char[]	0	RET	$ == null
1394	391	8	ArrayUtils.java	clone	array	byte[]	0	RET	$ == null
1395	407	8	ArrayUtils.java	clone	array	double[]	0	RET	$ == null
1396	423	8	ArrayUtils.java	clone	array	float[]	0	RET	$ == null
1397	439	8	ArrayUtils.java	clone	array	boolean[]	0	RET	$ == null
1398	460	8	ArrayUtils.java	nullToEmpty	array	Object[]	1	RET	$ == null
1399	462	15	ArrayUtils.java	nullToEmpty	THIS	ArrayUtils	0	RET	array.$.length == 0
1399	462	15	ArrayUtils.java	nullToEmpty	array	Object[]	0	RET	$.length == 0
1400	481	8	ArrayUtils.java	nullToEmpty	array	String[]	1	RET	$ == null
1401	483	15	ArrayUtils.java	nullToEmpty	THIS	ArrayUtils	0	RET	array.$.length == 0
1401	483	15	ArrayUtils.java	nullToEmpty	array	String[]	0	RET	$.length == 0
1402	502	8	ArrayUtils.java	nullToEmpty	array	long[]	0	RET	$ == null
1403	505	8	ArrayUtils.java	nullToEmpty	THIS	ArrayUtils	0	RET	array.$.length == 0
1403	505	8	ArrayUtils.java	nullToEmpty	array	long[]	0	RET	$.length == 0
1404	524	8	ArrayUtils.java	nullToEmpty	array	int[]	1	RET	$ == null
1405	526	15	ArrayUtils.java	nullToEmpty	THIS	ArrayUtils	0	RET	array.$.length == 0
