id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	123	8	AnnotationUtils.java	equals	a1	Annotation	PARAM_AS	1	2	NO_USE	1
0	123	8	AnnotationUtils.java	equals	a2	Annotation	PARAM_AS	1	2	NO_USE	1
0	123	8	AnnotationUtils.java	equals	THIS	AnnotationUtils	UNKNOWN_AS	0	3	NO_USE	0
1	126	8	AnnotationUtils.java	equals	a1	Annotation	PARAM_AS	1	2	NO_USE	1
1	126	8	AnnotationUtils.java	equals	a2	Annotation	PARAM_AS	1	2	NO_USE	1
1	126	8	AnnotationUtils.java	equals	THIS	AnnotationUtils	UNKNOWN_AS	0	3	NO_USE	0
2	133	8	AnnotationUtils.java	equals	type	Class<? extends Annotation>	annotationType()	0	1	NO_USE	1
2	133	8	AnnotationUtils.java	equals	type2	Class<? extends Annotation>	annotationType()	0	1	NO_USE	1
2	133	8	AnnotationUtils.java	equals	a1	Annotation	PARAM_AS	1	2	NO_USE	0
2	133	8	AnnotationUtils.java	equals	a2	Annotation	PARAM_AS	1	2	NO_USE	0
2	133	8	AnnotationUtils.java	equals	THIS	AnnotationUtils	UNKNOWN_AS	0	3	NO_USE	0
3	138	16	AnnotationUtils.java	equals	type	Class<? extends Annotation>	annotationType()	0	1	NO_USE	0
3	138	16	AnnotationUtils.java	equals	type2	Class<? extends Annotation>	annotationType()	0	1	NO_USE	0
3	138	16	AnnotationUtils.java	equals	a1	Annotation	PARAM_AS	1	2	PARAM_USE	0
3	138	16	AnnotationUtils.java	equals	a2	Annotation	PARAM_AS	1	2	PARAM_USE	0
3	138	16	AnnotationUtils.java	equals	THIS	AnnotationUtils	UNKNOWN_AS	0	3	CLALLER_USE	1
4	142	20	AnnotationUtils.java	equals	v1	Object	invoke()	0	1	NO_USE	1
4	142	20	AnnotationUtils.java	equals	v2	Object	invoke()	0	1	NO_USE	1
4	142	20	AnnotationUtils.java	equals	type	Class<? extends Annotation>	annotationType()	0	1	NO_USE	0
4	142	20	AnnotationUtils.java	equals	type2	Class<? extends Annotation>	annotationType()	0	1	NO_USE	0
4	142	20	AnnotationUtils.java	equals	a1	Annotation	PARAM_AS	1	2	NO_USE	0
4	142	20	AnnotationUtils.java	equals	a2	Annotation	PARAM_AS	1	2	NO_USE	0
4	142	20	AnnotationUtils.java	equals	THIS	AnnotationUtils	UNKNOWN_AS	0	3	NO_USE	1
5	173	16	AnnotationUtils.java	hashCode	value	Object	invoke()	0	1	NO_USE	1
5	173	16	AnnotationUtils.java	hashCode	result	int	0	0	0	NO_USE	0
5	173	16	AnnotationUtils.java	hashCode	type	Class<? extends Annotation>	annotationType()	0	0	NO_USE	0
5	173	16	AnnotationUtils.java	hashCode	a	Annotation	PARAM_AS	1	0	NO_USE	0
5	173	16	AnnotationUtils.java	hashCode	THIS	AnnotationUtils	UNKNOWN_AS	0	0	NO_USE	0
6	198	12	AnnotationUtils.java	toString	builder	ToStringBuilder	CLASS_INSTANCE_CREATION	0	0	NO_USE	0
6	198	12	AnnotationUtils.java	toString	a	Annotation	PARAM_AS	1	0	NO_USE	0
6	198	12	AnnotationUtils.java	toString	THIS	AnnotationUtils	UNKNOWN_AS	0	1	NO_USE	1
7	224	8	AnnotationUtils.java	isValidAnnotationMemberType	type	Class<?>	PARAM_AS	1	2	NO_USE	1
7	224	8	AnnotationUtils.java	isValidAnnotationMemberType	THIS	AnnotationUtils	UNKNOWN_AS	0	0	NO_USE	0
8	227	8	AnnotationUtils.java	isValidAnnotationMemberType	type	Class<?>	PARAM_AS	1	2	CLALLER_USE	1
8	227	8	AnnotationUtils.java	isValidAnnotationMemberType	THIS	AnnotationUtils	UNKNOWN_AS	0	0	NO_USE	0
9	244	8	AnnotationUtils.java	hashMember	part1	int	*	0	0	^	0
9	244	8	AnnotationUtils.java	hashMember	name	String	PARAM_AS	1	0	NO_USE	0
9	244	8	AnnotationUtils.java	hashMember	value	Object	PARAM_AS	1	2	CLALLER_USE	1
9	244	8	AnnotationUtils.java	hashMember	THIS	AnnotationUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
10	247	8	AnnotationUtils.java	hashMember	part1	int	*	0	0	^	0
10	247	8	AnnotationUtils.java	hashMember	name	String	PARAM_AS	1	0	NO_USE	0
10	247	8	AnnotationUtils.java	hashMember	value	Object	PARAM_AS	1	2	OTHER_USE	1
10	247	8	AnnotationUtils.java	hashMember	THIS	AnnotationUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
11	264	8	AnnotationUtils.java	memberEquals	type	Class<?>	PARAM_AS	1	2	NO_USE	0
11	264	8	AnnotationUtils.java	memberEquals	o1	Object	PARAM_AS	1	2	NO_USE	1
11	264	8	AnnotationUtils.java	memberEquals	o2	Object	PARAM_AS	1	2	NO_USE	1
11	264	8	AnnotationUtils.java	memberEquals	THIS	AnnotationUtils	UNKNOWN_AS	0	0	NO_USE	0
12	267	8	AnnotationUtils.java	memberEquals	type	Class<?>	PARAM_AS	1	2	NO_USE	0
12	267	8	AnnotationUtils.java	memberEquals	o1	Object	PARAM_AS	1	2	NO_USE	1
12	267	8	AnnotationUtils.java	memberEquals	o2	Object	PARAM_AS	1	2	NO_USE	1
12	267	8	AnnotationUtils.java	memberEquals	THIS	AnnotationUtils	UNKNOWN_AS	0	0	NO_USE	0
13	270	8	AnnotationUtils.java	memberEquals	type	Class<?>	PARAM_AS	1	2	CLALLER_USE	1
13	270	8	AnnotationUtils.java	memberEquals	o1	Object	PARAM_AS	1	2	PARAM_USE	0
13	270	8	AnnotationUtils.java	memberEquals	o2	Object	PARAM_AS	1	2	PARAM_USE	0
13	270	8	AnnotationUtils.java	memberEquals	THIS	AnnotationUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
14	273	8	AnnotationUtils.java	memberEquals	type	Class<?>	PARAM_AS	1	2	NO_USE	1
14	273	8	AnnotationUtils.java	memberEquals	o1	Object	PARAM_AS	1	2	OTHER_USE	0
14	273	8	AnnotationUtils.java	memberEquals	o2	Object	PARAM_AS	1	2	OTHER_USE	0
14	273	8	AnnotationUtils.java	memberEquals	THIS	AnnotationUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
15	288	8	AnnotationUtils.java	arrayMemberEquals	componentType	Class<?>	PARAM_AS	1	9	NO_USE	1
15	288	8	AnnotationUtils.java	arrayMemberEquals	o1	Object	PARAM_AS	1	0	OTHER_USE	0
15	288	8	AnnotationUtils.java	arrayMemberEquals	o2	Object	PARAM_AS	1	0	OTHER_USE	0
15	288	8	AnnotationUtils.java	arrayMemberEquals	THIS	AnnotationUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
16	291	8	AnnotationUtils.java	arrayMemberEquals	componentType	Class<?>	PARAM_AS	1	9	NO_USE	1
16	291	8	AnnotationUtils.java	arrayMemberEquals	o1	Object	PARAM_AS	1	0	OTHER_USE	0
16	291	8	AnnotationUtils.java	arrayMemberEquals	o2	Object	PARAM_AS	1	0	OTHER_USE	0
