id	line	column	filename	methodname	varname	vartype	else	return	right
41	57	4	HahaHelper.java	threadName	nameField	Object	0	RET	$ == null
56559	68	4	HahaHelper.java	extendsThread	parentClass	ClassObj	0	NIL-WHILE	$.getSuperClassObj() != null
42	69	6	HahaHelper.java	extendsThread	clazz	ClassObj	0	DEF	$.getClassName().equals(Thread.class.getName())
43	84	4	HahaHelper.java	asString	count	Integer	0	RET	$ == 0
44	93	4	HahaHelper.java	asString	THIS	HahaHelper	1	RET	$.isCharArray(value)
44	93	4	HahaHelper.java	asString	value	Object	1	RET	isCharArray($)
45	101	6	HahaHelper.java	asString	THIS	HahaHelper	0	DEF	$.hasField(values, "offset")
45	101	6	HahaHelper.java	asString	values	List<FieldValue>	0	DEF	hasField($, "offset")
46	108	11	HahaHelper.java	asString	THIS	HahaHelper	1	RuntimeException:RET	$.isByteArray(value)
46	108	11	HahaHelper.java	asString	value	Object	1	RuntimeException:RET	isByteArray($)
47	132	4	HahaHelper.java	isPrimitiveWrapper	value	Object	0	RET	$ instanceof ClassInstance
48	139	4	HahaHelper.java	isPrimitiveOrWrapperArray	value	Object	0	RET	$ instanceof ArrayInstance
49	143	4	HahaHelper.java	isPrimitiveOrWrapperArray	THIS	HahaHelper	0	RET	arrayInstance.getArrayType() != $.Type.OBJECT
49	143	4	HahaHelper.java	isPrimitiveOrWrapperArray	arrayInstance	ArrayInstance	0	RET	$.getArrayType() != Type.OBJECT
50	164	6	HahaHelper.java	fieldValue	THIS	HahaHelper	0	RET	$.fieldValue.getField().getName().equals(fieldName)
50	164	6	HahaHelper.java	fieldValue	fieldName	String	0	RET	fieldValue.getField().getName().equals($)
51	174	6	HahaHelper.java	hasField	THIS	HahaHelper	0	RET	$.fieldValue.getField().getName().equals(fieldName)
51	174	6	HahaHelper.java	hasField	fieldName	String	0	RET	fieldValue.getField().getName().equals($)
0	23	4	HahaSpy.java	allocatingThread	instance	Instance	1	DEF	$ instanceof RootObj
52	69	4	HeapAnalyzer.java	findTrackedReferences	heapDumpFile	File	0	IllegalArgumentException	$.exists()
53	86	8	HeapAnalyzer.java	findTrackedReferences	instance	Instance	0	DEF	$ != null
54	105	4	HeapAnalyzer.java	checkForLeak	heapDumpFile	File	0	RET	$.exists()
55	119	6	HeapAnalyzer.java	checkForLeak	leakingRef	Instance	0	RET	$ == null
56	139	6	HeapAnalyzer.java	deduplicateGcRoots	key	String	0	DEF	uniqueRootMap.containsKey($)
56	139	6	HeapAnalyzer.java	deduplicateGcRoots	uniqueRootMap	THashMap	0	DEF	$.containsKey(key)
57	163	6	HeapAnalyzer.java	findLeakingReference	keyCandidate	String	0	RET	$.equals(key)
57	163	6	HeapAnalyzer.java	findLeakingReference	key	String	0	RET	keyCandidate.equals($)
58	179	4	HeapAnalyzer.java	findLeakTrace	THIS	HeapAnalyzer	0	RET	result.$.leakingNode == null
58	179	4	HeapAnalyzer.java	findLeakTrace	result	Result	0	RET	$.leakingNode == null
59	214	6	HeapAnalyzer.java	computeIgnoredBitmapRetainedSize	THIS	HeapAnalyzer	0	DEF	$.isIgnoredDominator(leakingInstance, $.bitmapInstance)
59	214	6	HeapAnalyzer.java	computeIgnoredBitmapRetainedSize	leakingInstance	Instance	0	DEF	isIgnoredDominator($, bitmapInstance)
60	217	8	HeapAnalyzer.java	computeIgnoredBitmapRetainedSize	mBufferInstance	ArrayInstance	0	DEF	$ == null
61	224	8	HeapAnalyzer.java	computeIgnoredBitmapRetainedSize	bufferSize	long	0	DEF	bitmapSize < $
61	224	8	HeapAnalyzer.java	computeIgnoredBitmapRetainedSize	bitmapSize	long	0	DEF	$ < bufferSize
62	237	6	HeapAnalyzer.java	isIgnoredDominator	THIS	HeapAnalyzer	1	DEF	((RootObj) immediateDominator).getRootType() == $.RootType.UNKNOWN
62	237	6	HeapAnalyzer.java	isIgnoredDominator	immediateDominator	Instance	1	DEF	((RootObj) $).getRootType() == RootType.UNKNOWN
