554	AVLTree.java	insert	element	T	0	DEF	$ != null
556	AVLTree.java	delete	element	T	0	RET	$ != null
12420	AVLTree.java	delete	node	Node	0	NIL-FOR	$ != null
12421	AVLTree.java	getNotSmaller	node	Node	0	NIL-FOR	$ != null
12422	AVLTree.java	getNotLarger	node	Node	0	NIL-FOR	$ != null
1527	AbstractFieldMatrix.java	AbstractFieldMatrix	rowDimension	int	0	NotStrictlyPositiveException	$ <= 0
1528	AbstractFieldMatrix.java	AbstractFieldMatrix	columnDimension	int	0	NotStrictlyPositiveException	$ <= 0
1529	AbstractFieldMatrix.java	extractField	d	T[][]	0	NullArgumentException	$ == null
1530	AbstractFieldMatrix.java	extractField	d	T[][]	0	NoDataException	$.length == 0
1532	AbstractFieldMatrix.java	extractField	d	T[]	0	NoDataException	$.length == 0
12920	AbstractFieldMatrix.java	add	rowCount	int	0	NIL-FOR	row < $
12921	AbstractFieldMatrix.java	add	columnCount	int	0	NIL-FOR	col < $
12922	AbstractFieldMatrix.java	subtract	rowCount	int	0	NIL-FOR	row < $
12923	AbstractFieldMatrix.java	subtract	columnCount	int	0	NIL-FOR	col < $
12924	AbstractFieldMatrix.java	scalarAdd	rowCount	int	0	NIL-FOR	row < $
12925	AbstractFieldMatrix.java	scalarAdd	columnCount	int	0	NIL-FOR	col < $
12926	AbstractFieldMatrix.java	scalarMultiply	rowCount	int	0	NIL-FOR	row < $
12927	AbstractFieldMatrix.java	scalarMultiply	columnCount	int	0	NIL-FOR	col < $
12928	AbstractFieldMatrix.java	multiply	row	int	0	NIL-FOR	$ < nRows
12928	AbstractFieldMatrix.java	multiply	nRows	int	0	NIL-FOR	row < $
12929	AbstractFieldMatrix.java	multiply	col	int	0	NIL-FOR	$ < nCols
12929	AbstractFieldMatrix.java	multiply	nCols	int	0	NIL-FOR	col < $
12930	AbstractFieldMatrix.java	multiply	nSum	int	0	NIL-FOR	i < $
1533	AbstractFieldMatrix.java	power	p	int	0	NotPositiveException	$ < 0
1535	AbstractFieldMatrix.java	power	p	int	0	RET	$ == 0
1536	AbstractFieldMatrix.java	power	p	int	0	RET	$ == 1
12931	AbstractFieldMatrix.java	power	binaryRepresentation	char[]	0	NIL-FOR	i < $.length
12932	AbstractFieldMatrix.java	power	binaryRepresentation	char[]	0	NIL-FOR	i < $.length
12933	AbstractFieldMatrix.java	getData	i	int	0	NIL-FOR	$ < data.length
12933	AbstractFieldMatrix.java	getData	data	T[][]	0	NIL-FOR	i < $.length
12934	AbstractFieldMatrix.java	getData	dataI	T[]	0	NIL-FOR	j < $.length
12935	AbstractFieldMatrix.java	getSubMatrix	endRow	int	0	NIL-FOR	i <= $
12936	AbstractFieldMatrix.java	getSubMatrix	endColumn	int	0	NIL-FOR	j <= $
12937	AbstractFieldMatrix.java	copySubMatrix	selectedRows	int[]	0	NIL-FOR	i < $.length
12938	AbstractFieldMatrix.java	copySubMatrix	selectedColumns	int[]	0	NIL-FOR	j < $.length
1540	AbstractFieldMatrix.java	setSubMatrix	subMatrix	T[][]	0	NullArgumentException	$ == null
1541	AbstractFieldMatrix.java	setSubMatrix	nRows	int	0	NoDataException	$ == 0
1542	AbstractFieldMatrix.java	setSubMatrix	nCols	int	0	NoDataException	$ == 0
12939	AbstractFieldMatrix.java	setSubMatrix	r	int	0	NIL-FOR	$ < nRows
