id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	93	4	ConnectionPool.java	ConnectionPool	maxIdleConnections	int	PARAM_AS	1	0	NO_USE	0
0	93	4	ConnectionPool.java	ConnectionPool	keepAliveDuration	long	PARAM_AS	1	1	+	1
0	93	4	ConnectionPool.java	ConnectionPool	timeUnit	TimeUnit	PARAM_AS	1	0	NO_USE	0
0	93	4	ConnectionPool.java	ConnectionPool	THIS	ConnectionPool	toNanos()	0	0	NO_USE	0
1	102	6	ConnectionPool.java	idleConnectionCount	total	int	0	0	0	x++	0
1	102	6	ConnectionPool.java	idleConnectionCount	THIS	ConnectionPool	UNKNOWN_AS	0	1	NO_USE	1
2	124	6	ConnectionPool.java	get	address	Address	PARAM_AS	1	1	NO_USE	1
2	124	6	ConnectionPool.java	get	streamAllocation	StreamAllocation	PARAM_AS	1	0	CLALLER_USE	0
2	124	6	ConnectionPool.java	get	route	Route	PARAM_AS	1	1	NO_USE	1
2	124	6	ConnectionPool.java	get	THIS	ConnectionPool	UNKNOWN_AS	0	0	NO_USE	1
3	139	6	ConnectionPool.java	deduplicate	address	Address	PARAM_AS	1	1	NO_USE	1
3	139	6	ConnectionPool.java	deduplicate	streamAllocation	StreamAllocation	PARAM_AS	1	1	CLALLER_USE	1
3	139	6	ConnectionPool.java	deduplicate	THIS	ConnectionPool	UNKNOWN_AS	0	0	NO_USE	1
4	150	4	ConnectionPool.java	put	connection	RealConnection	PARAM_AS	1	0	NO_USE	0
4	150	4	ConnectionPool.java	put	THIS	ConnectionPool	UNKNOWN_AS	0	1	FIELD_USE	1
5	163	4	ConnectionPool.java	connectionBecameIdle	connection	RealConnection	PARAM_AS	1	1	PARAM_USE	1
5	163	4	ConnectionPool.java	connectionBecameIdle	THIS	ConnectionPool	UNKNOWN_AS	0	2	FIELD_USE	1
6	178	8	ConnectionPool.java	evictAll	connection	RealConnection	next()	0	1	OTHER_USE	1
6	178	8	ConnectionPool.java	evictAll	i	Iterator<RealConnection>	iterator()	0	0	CLALLER_USE	0
6	178	8	ConnectionPool.java	evictAll	evictedConnections	List<RealConnection>	CLASS_INSTANCE_CREATION	0	0	CLALLER_USE	0
6	178	8	ConnectionPool.java	evictAll	THIS	ConnectionPool	UNKNOWN_AS	0	1	FIELD_USE	1
7	210	8	ConnectionPool.java	cleanup	connection	RealConnection	next()	0	1	NO_USE	1
7	210	8	ConnectionPool.java	cleanup	i	Iterator<RealConnection>	iterator()	0	0	NO_USE	0
7	210	8	ConnectionPool.java	cleanup	inUseConnectionCount	int	0	0	1	x++	0
7	210	8	ConnectionPool.java	cleanup	idleConnectionCount	int	0	0	2	NO_USE	0
7	210	8	ConnectionPool.java	cleanup	longestIdleConnection	RealConnection	NULL	0	0	NO_USE	0
7	210	8	ConnectionPool.java	cleanup	longestIdleDurationNs	long	NAME	0	2	NO_USE	0
7	210	8	ConnectionPool.java	cleanup	now	long	PARAM_AS	1	1	NO_USE	1
7	210	8	ConnectionPool.java	cleanup	THIS	ConnectionPool	UNKNOWN_AS	0	3	NO_USE	1
8	219	8	ConnectionPool.java	cleanup	connection	RealConnection	next()	0	1	OTHER_USE	0
8	219	8	ConnectionPool.java	cleanup	idleDurationNs	long	-	0	1	OTHER_USE	1
8	219	8	ConnectionPool.java	cleanup	i	Iterator<RealConnection>	iterator()	0	0	NO_USE	0
8	219	8	ConnectionPool.java	cleanup	inUseConnectionCount	int	0	0	1	NO_USE	0
8	219	8	ConnectionPool.java	cleanup	idleConnectionCount	int	0	0	2	NO_USE	0
8	219	8	ConnectionPool.java	cleanup	longestIdleConnection	RealConnection	NULL	0	0	NO_USE	0
