id	line	column	filename	methodname	varname	vartype	else	return	right
1025	50	8	AbstractDirectTask.java	dispose	f	Future<?>	0	DEF	$ != DISPOSED
1025	50	8	AbstractDirectTask.java	dispose	f	Future<?>	0	DEF	$ != FINISHED
1026	51	12	AbstractDirectTask.java	dispose	THIS	AbstractDirectTask	0	DEF	$.compareAndSet(f, DISPOSED)
1026	51	12	AbstractDirectTask.java	dispose	f	Future<?>	0	DEF	compareAndSet($, DISPOSED)
1027	52	16	AbstractDirectTask.java	dispose	f	Future<?>	0	DEF	$ != null
1028	68	12	AbstractDirectTask.java	setFuture	f	Future<?>	0	DEF	$ == FINISHED
1029	71	12	AbstractDirectTask.java	setFuture	f	Future<?>	0	DEF	$ == DISPOSED
1030	75	12	AbstractDirectTask.java	setFuture	THIS	AbstractDirectTask	0	DEF	$.compareAndSet(f, future)
1030	75	12	AbstractDirectTask.java	setFuture	f	Future<?>	0	DEF	compareAndSet($, future)
1030	75	12	AbstractDirectTask.java	setFuture	future	Future<?>	0	DEF	compareAndSet(f, $)
340	50	8	AppendOnlyLinkedArrayList.java	add	c	int	0	DEF	o == $
340	50	8	AppendOnlyLinkedArrayList.java	add	o	int	0	DEF	$ == c
58132	87	8	AppendOnlyLinkedArrayList.java	forEachWhile	a	Object[]	0	NIL-WHILE	$ != null
58133	88	12	AppendOnlyLinkedArrayList.java	forEachWhile	i	int	0	NIL-FOR	$ < c
58133	88	12	AppendOnlyLinkedArrayList.java	forEachWhile	c	int	0	NIL-FOR	i < $
341	90	16	AppendOnlyLinkedArrayList.java	forEachWhile	o	Object	0	DEF	$ == null
342	93	16	AppendOnlyLinkedArrayList.java	forEachWhile	o	Object	0	DEF	consumer.test((T)$)
342	93	16	AppendOnlyLinkedArrayList.java	forEachWhile	consumer	NonThrowingPredicate<? super T>	0	DEF	$.test((T)o)
58134	112	8	AppendOnlyLinkedArrayList.java	accept	a	Object[]	0	NIL-WHILE	$ != null
58135	113	12	AppendOnlyLinkedArrayList.java	accept	i	int	0	NIL-FOR	$ < c
58135	113	12	AppendOnlyLinkedArrayList.java	accept	c	int	0	NIL-FOR	i < $
343	115	16	AppendOnlyLinkedArrayList.java	accept	o	Object	0	DEF	$ == null
344	119	16	AppendOnlyLinkedArrayList.java	accept	THIS	AppendOnlyLinkedArrayList	0	RET	$.NotificationLite.acceptFull(o, subscriber)
344	119	16	AppendOnlyLinkedArrayList.java	accept	o	Object	0	RET	NotificationLite.acceptFull($, subscriber)
344	119	16	AppendOnlyLinkedArrayList.java	accept	subscriber	Subscriber<? super U>	0	RET	NotificationLite.acceptFull(o, $)
58136	140	8	AppendOnlyLinkedArrayList.java	accept	a	Object[]	0	NIL-WHILE	$ != null
