id	line	column	filename	methodname	varname	vartype	else	return	right
6177	51	8	ASCIIFoldingTokenFilterFactory.java	getMultiTermComponent	THIS	ASCIIFoldingTokenFilterFactory	1	RET	$.preserveOriginal == false
2950	69	8	AbstractAggregationBuilder.java	subAggregation	aggregation	AggregationBuilder	0	IllegalArgumentException	$ == null
2951	82	8	AbstractAggregationBuilder.java	subAggregation	aggregation	PipelineAggregationBuilder	0	IllegalArgumentException	$ == null
2952	101	8	AbstractAggregationBuilder.java	subAggregations	subFactories	AggregatorFactories.Builder	0	IllegalArgumentException	$ == null
2953	111	8	AbstractAggregationBuilder.java	setMetaData	metaData	Map<String,Object>	0	IllegalArgumentException	$ == null
2954	137	8	AbstractAggregationBuilder.java	toXContent	THIS	AbstractAggregationBuilder	0	DEF	$.metaData != null
2955	143	8	AbstractAggregationBuilder.java	toXContent	THIS	AbstractAggregationBuilder	0	DEF	$.factoriesBuilder != null
2955	143	8	AbstractAggregationBuilder.java	toXContent	THIS	AbstractAggregationBuilder	0	DEF	($.factoriesBuilder.count()) > 0
2956	163	8	AbstractAggregationBuilder.java	equals	obj	Object	0	RET	$ == null
2957	165	8	AbstractAggregationBuilder.java	equals	THIS	AbstractAggregationBuilder	0	RET	$.getClass() != obj.getClass()
2957	165	8	AbstractAggregationBuilder.java	equals	obj	Object	0	RET	getClass() != $.getClass()
2958	169	8	AbstractAggregationBuilder.java	equals	THIS	AbstractAggregationBuilder	0	RET	Objects.equals($.name, other.$.name)
2958	169	8	AbstractAggregationBuilder.java	equals	other	AbstractAggregationBuilder<AB>	0	RET	Objects.equals(name, $.name)
2959	171	8	AbstractAggregationBuilder.java	equals	THIS	AbstractAggregationBuilder	0	RET	Objects.equals($.metaData, other.$.metaData)
2959	171	8	AbstractAggregationBuilder.java	equals	other	AbstractAggregationBuilder<AB>	0	RET	Objects.equals(metaData, $.metaData)
2960	173	8	AbstractAggregationBuilder.java	equals	THIS	AbstractAggregationBuilder	0	RET	Objects.equals($.factoriesBuilder, other.$.factoriesBuilder)
2960	173	8	AbstractAggregationBuilder.java	equals	other	AbstractAggregationBuilder<AB>	0	RET	Objects.equals(factoriesBuilder, $.factoriesBuilder)
12122	154	8	AbstractAllocateAllocationCommand.java	explainOrThrowMissingRoutingNode	discoNode	DiscoveryNode	1	RET	$.isDataNode()
12123	165	8	AbstractAllocateAllocationCommand.java	explainOrThrowRejectedCommand	explain	boolean	0	RET	$
12124	175	8	AbstractAllocateAllocationCommand.java	explainOrThrowRejectedCommand	explain	boolean	0	RET	$
68906	206	8	AbstractAllocateAllocationCommand.java	initializeUnassignedShard	it	UnassignedIterator	0	NIL-FOR	$.hasNext()
12125	208	12	AbstractAllocateAllocationCommand.java	initializeUnassignedShard	unassigned	ShardRouting	0	DEF	$.equalsIgnoringMetaData(shardRouting)
12125	208	12	AbstractAllocateAllocationCommand.java	initializeUnassignedShard	shardRouting	ShardRouting	0	DEF	unassigned.equalsIgnoringMetaData($)
12126	211	12	AbstractAllocateAllocationCommand.java	initializeUnassignedShard	unassignedInfo	UnassignedInfo	0	DEF	$ != null
12126	211	12	AbstractAllocateAllocationCommand.java	initializeUnassignedShard	recoverySource	RecoverySource	0	DEF	$ != null
12127	236	8	AbstractAllocateAllocationCommand.java	equals	THIS	AbstractAllocateAllocationCommand	0	RET	$.getClass() != obj.getClass()
12127	236	8	AbstractAllocateAllocationCommand.java	equals	obj	Object	0	RET	getClass() != $.getClass()
12127	236	8	AbstractAllocateAllocationCommand.java	equals	obj	Object	0	RET	$ == null
11829	96	8	AbstractAllocationDecision.java	writeTo	THIS	AbstractAllocationDecision	1	DEF	$.nodeDecisions != null
11830	105	8	AbstractAllocationDecision.java	checkDecisionState	THIS	AbstractAllocationDecision	0	IllegalStateException	$.isDecisionTaken() == false
11831	119	8	AbstractAllocationDecision.java	discoveryNodeToXContent	node	DiscoveryNode	0	DEF	$.getAttributes().isEmpty() == false
11832	143	8	AbstractAllocationDecision.java	nodeDecisionsToXContent	nodeDecisions	List<NodeAllocationResult>	0	DEF	$ != null
11832	143	8	AbstractAllocationDecision.java	nodeDecisionsToXContent	nodeDecisions	List<NodeAllocationResult>	0	DEF	$.isEmpty() == false
11833	159	8	AbstractAllocationDecision.java	atLeastOneNodeWithYesDecision	THIS	AbstractAllocationDecision	0	RET	$.nodeDecisions == null
11834	163	12	AbstractAllocationDecision.java	atLeastOneNodeWithYesDecision	THIS	AbstractAllocationDecision	0	RET	$.result.getNodeDecision() == $.AllocationDecision.YES
11835	172	8	AbstractAllocationDecision.java	equals	THIS	AbstractAllocationDecision	0	RET	$ == other
11835	172	8	AbstractAllocationDecision.java	equals	other	Object	0	RET	this == $
11836	175	8	AbstractAllocationDecision.java	equals	other	Object	0	RET	$ instanceof AbstractAllocationDecision == false
11836	175	8	AbstractAllocationDecision.java	equals	other	Object	0	RET	$ == null
7186	42	8	AbstractArray.java	close	THIS	AbstractArray	0	DEF	$.closed.compareAndSet(false, true)
11304	146	8	AbstractAsyncBulkByScrollAction.java	AbstractAsyncBulkByScrollAction	sorts	List<SortBuilder>	0	DEF	$ == null
11304	146	8	AbstractAsyncBulkByScrollAction.java	AbstractAsyncBulkByScrollAction	sorts	List<SortBuilder>	0	DEF	$.isEmpty()
11305	196	8	AbstractAsyncBulkByScrollAction.java	accept	THIS	AbstractAsyncBulkByScrollAction	0	IllegalArgumentException	$.doc.getSource() == null
11306	210	12	AbstractAsyncBulkByScrollAction.java	buildBulk	THIS	AbstractAsyncBulkByScrollAction	0	DEF	$.accept($.doc)
11307	212	16	AbstractAsyncBulkByScrollAction.java	buildBulk	request	RequestWrapper<?>	0	DEF	$ != null
11308	237	8	AbstractAsyncBulkByScrollAction.java	start	THIS	AbstractAsyncBulkByScrollAction	0	RET	$.task.isCancelled()
11309	256	8	AbstractAsyncBulkByScrollAction.java	onScrollResponse	THIS	AbstractAsyncBulkByScrollAction	0	RET	$.task.isCancelled()
