id	line	column	filename	methodname	varname	vartype	else	return	right
152	149	8	ASMClassLoader.java	getParentClassLoader	contextClassLoader	ClassLoader	0	RET	$ != null
153	162	8	ASMClassLoader.java	loadClass	mappingClass	Class<?>	0	RET	$ != null
154	182	8	ASMClassLoader.java	isExternalClass	classLoader	ClassLoader	0	RET	$ == null
60737	187	8	ASMClassLoader.java	isExternalClass	current	ClassLoader	0	NIL-WHILE	$ != null
155	188	12	ASMClassLoader.java	isExternalClass	classLoader	ClassLoader	0	RET	current == $
155	188	12	ASMClassLoader.java	isExternalClass	current	ClassLoader	0	RET	$ == classLoader
2731	59	8	ASMDeserializerFactory.java	createJavaBeanDeserializer	clazz	Class<?>	0	IllegalArgumentException	$.isPrimitive()
60875	120	8	ASMDeserializerFactory.java	_deserialzeArrayMapping	i	int	0	NIL-FOR	$ < fieldListSize
60875	120	8	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldListSize	int	0	NIL-FOR	i < $
2732	127	12	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == int.class
2732	127	12	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == byte.class
2732	127	12	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == short.class
2733	134	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == long.class
2734	139	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == boolean.class
2735	144	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == float.class
2736	149	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == double.class
2737	154	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == char.class
2738	161	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == String.class
2739	166	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$.isEnum()
2740	221	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	Collection.class.isAssignableFrom($)
2741	224	16	ASMDeserializerFactory.java	_deserialzeArrayMapping	itemClass	Class<?>	1	DEF	$ == String.class
2742	225	20	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == ArrayList.class
2742	225	20	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == Collections.class
2742	225	20	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$ == List.class
2743	302	19	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	1	DEF	$.isArray()
2744	321	16	ASMDeserializerFactory.java	_deserialzeArrayMapping	fieldClass	Class<?>	0	DEF	$ == java.util.Date.class
2745	348	16	ASMDeserializerFactory.java	_deserialzeArrayMapping	last	boolean	1	DEF	$
2746	421	8	ASMDeserializerFactory.java	_deserialze	THIS	ASMDeserializerFactory	0	RET	context.$.fieldInfoList.$.length == 0
2746	421	8	ASMDeserializerFactory.java	_deserialze	context	Context	0	RET	$.fieldInfoList.length == 0
2747	429	12	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	0	RET	$ == char.class
2748	433	12	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	0	RET	Collection.class.isAssignableFrom($)
2749	434	16	ASMDeserializerFactory.java	_deserialze	fieldType	Type	1	RET	$ instanceof ParameterizedType
2750	436	20	ASMDeserializerFactory.java	_deserialze	itemType	Type	1	DEF	$ instanceof Class
2751	471	12	ASMDeserializerFactory.java	_deserialze	THIS	ASMDeserializerFactory	0	DEF	(beanInfo.$.parserFeatures & $.Feature.$.SupportArrayToBean.$.mask) == 0
2751	471	12	ASMDeserializerFactory.java	_deserialze	beanInfo	JavaBeanInfo	0	DEF	($.parserFeatures & Feature.SupportArrayToBean.mask) == 0
60876	541	8	ASMDeserializerFactory.java	_deserialze	i	int	0	NIL-FOR	$ < fieldListSize
60876	541	8	ASMDeserializerFactory.java	_deserialze	fieldListSize	int	0	NIL-FOR	i < $
60877	552	8	ASMDeserializerFactory.java	_deserialze	i	int	0	NIL-FOR	$ < fieldListSize
60877	552	8	ASMDeserializerFactory.java	_deserialze	fieldListSize	int	0	NIL-FOR	i < $
2752	556	12	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == byte.class
2752	556	12	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == short.class
2752	556	12	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == int.class
2752	556	12	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == boolean.class
2753	562	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == long.class
2754	565	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == float.class
2755	568	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == double.class
2756	572	16	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == String.class
60878	595	8	ASMDeserializerFactory.java	_deserialze	i	int	0	NIL-FOR	$ < fieldListSize
60878	595	8	ASMDeserializerFactory.java	_deserialze	fieldListSize	int	0	NIL-FOR	i < $
2757	602	12	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == boolean.class
2758	608	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == byte.class
2759	615	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == short.class
2760	622	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == int.class
2761	629	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == long.class
2762	636	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == float.class
2763	643	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == double.class
2764	650	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == String.class
2765	656	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == int[].class
2766	662	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == float[].class
2767	668	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$ == float[][].class
2768	674	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	$.isEnum()
2769	714	19	ASMDeserializerFactory.java	_deserialze	fieldClass	Class<?>	1	DEF	Collection.class.isAssignableFrom($)
2770	721	16	ASMDeserializerFactory.java	_deserialze	itemClass	Class<?>	1	DEF	$ == String.class
2771	729	20	ASMDeserializerFactory.java	_deserialze	i	int	0	DEF	$ == fieldListSize - 1
2771	729	20	ASMDeserializerFactory.java	_deserialze	fieldListSize	int	0	DEF	i == $ - 1
2772	737	16	ASMDeserializerFactory.java	_deserialze	i	int	0	DEF	$ == fieldListSize - 1
2772	737	16	ASMDeserializerFactory.java	_deserialze	fieldListSize	int	0	DEF	i == $ - 1
2773	777	12	ASMDeserializerFactory.java	_deserialze	i	int	0	DEF	$ == fieldListSize - 1
2773	777	12	ASMDeserializerFactory.java	_deserialze	fieldListSize	int	0	DEF	i == $ - 1
2774	787	8	ASMDeserializerFactory.java	_deserialze	THIS	ASMDeserializerFactory	0	DEF	Modifier.isAbstract(context.$.clazz.getModifiers())
2774	787	8	ASMDeserializerFactory.java	_deserialze	THIS	ASMDeserializerFactory	0	DEF	context.$.clazz.isInterface()
2774	787	8	ASMDeserializerFactory.java	_deserialze	context	Context	0	DEF	Modifier.isAbstract($.clazz.getModifiers())
2774	787	8	ASMDeserializerFactory.java	_deserialze	context	Context	0	DEF	$.clazz.isInterface()
2775	797	8	ASMDeserializerFactory.java	_deserialze	buildMethod	Method	0	DEF	$ != null
2776	817	8	ASMDeserializerFactory.java	_deserialze	fieldListSize	int	0	DEF	$ != 0
2776	817	8	ASMDeserializerFactory.java	_deserialze	fieldListSize	int	0	DEF	($ % 32) != 0
2777	821	8	ASMDeserializerFactory.java	_deserialze	flagSize	int	1	DEF	$ == 1
60879	827	8	ASMDeserializerFactory.java	_deserialze	i	int	0	NIL-FOR	$ < flagSize
60879	827	8	ASMDeserializerFactory.java	_deserialze	flagSize	int	0	NIL-FOR	i < $
2778	829	12	ASMDeserializerFactory.java	_deserialze	i	int	1	DEF	$ == 0
2779	831	19	ASMDeserializerFactory.java	_deserialze	i	int	1	DEF	$ == 1
2780	872	8	ASMDeserializerFactory.java	_createInstance	defaultConstructor	Constructor<?>	1	DEF	Modifier.isPublic($.getModifiers())
60880	896	8	ASMDeserializerFactory.java	_batchSet	i	int	0	NIL-FOR	$ < size
60880	896	8	ASMDeserializerFactory.java	_batchSet	size	int	0	NIL-FOR	i < $
2781	899	12	ASMDeserializerFactory.java	_batchSet	flag	boolean	0	DEF	$
2782	906	12	ASMDeserializerFactory.java	_batchSet	flag	boolean	0	DEF	$
2783	916	8	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == boolean.class
2784	920	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == byte.class
2784	920	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == short.class
2784	920	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == char.class
2784	920	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == int.class
2785	927	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == long.class
2786	930	12	ASMDeserializerFactory.java	_loadAndSet	THIS	ASMDeserializerFactory	1	DEF	fieldInfo.$.method != null
2786	930	12	ASMDeserializerFactory.java	_loadAndSet	fieldInfo	FieldInfo	1	DEF	$.method != null
2787	933	16	ASMDeserializerFactory.java	_loadAndSet	THIS	ASMDeserializerFactory	0	DEF	fieldInfo.$.method.getReturnType().equals(Void.TYPE)
2787	933	16	ASMDeserializerFactory.java	_loadAndSet	fieldInfo	FieldInfo	0	DEF	$.method.getReturnType().equals(Void.TYPE)
2788	940	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == float.class
2789	944	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == double.class
2790	948	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$ == String.class
2791	952	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	$.isEnum()
2792	956	15	ASMDeserializerFactory.java	_loadAndSet	fieldClass	Class<?>	1	DEF	Collection.class.isAssignableFrom($)
2793	959	12	ASMDeserializerFactory.java	_loadAndSet	itemType	Type	1	DEF	$ == String.class
2794	976	8	ASMDeserializerFactory.java	_set	method	Method	1	DEF	$ != null
2795	980	12	ASMDeserializerFactory.java	_set	THIS	ASMDeserializerFactory	0	DEF	fieldInfo.$.method.getReturnType().equals(Void.TYPE)
2795	980	12	ASMDeserializerFactory.java	_set	fieldInfo	FieldInfo	0	DEF	$.method.getReturnType().equals(Void.TYPE)
2796	1083	8	ASMDeserializerFactory.java	_deserialze_list_obj	fieldClass	Class<?>	1	DEF	$.isInterface()
2797	1101	8	ASMDeserializerFactory.java	_deserialze_list_obj	isPrimitive	boolean	1	DEF	$
2798	1161	8	ASMDeserializerFactory.java	_deserialze_list_obj	fieldClass	Class<?>	1	DEF	$.isInterface()
2799	1177	8	ASMDeserializerFactory.java	_deserialze_list_obj	isPrimitive	boolean	1	DEF	$
2800	1212	8	ASMDeserializerFactory.java	_quickNextToken	token	int	1	DEF	$ == JSONToken.LBRACE
2801	1214	15	ASMDeserializerFactory.java	_quickNextToken	token	int	1	DEF	$ == JSONToken.LBRACKET
2802	1324	8	ASMDeserializerFactory.java	_newCollection	fieldClass	Class<?>	1	DEF	$.isAssignableFrom(ArrayList.class)
2802	1324	8	ASMDeserializerFactory.java	_newCollection	set	boolean	1	DEF	$
2803	1328	15	ASMDeserializerFactory.java	_newCollection	fieldClass	Class<?>	1	DEF	$.isAssignableFrom(LinkedList.class)
2803	1328	15	ASMDeserializerFactory.java	_newCollection	set	boolean	1	DEF	$
2804	1332	15	ASMDeserializerFactory.java	_newCollection	fieldClass	Class<?>	1	DEF	$.isAssignableFrom(HashSet.class)
2805	1336	15	ASMDeserializerFactory.java	_newCollection	fieldClass	Class<?>	1	DEF	$.isAssignableFrom(TreeSet.class)
2806	1340	15	ASMDeserializerFactory.java	_newCollection	fieldClass	Class<?>	1	DEF	$.isAssignableFrom(LinkedHashSet.class)
2807	1344	15	ASMDeserializerFactory.java	_newCollection	set	boolean	1	DEF	$
2808	1419	8	ASMDeserializerFactory.java	_deserObject	THIS	ASMDeserializerFactory	0	DEF	(fieldInfo.$.parserFeatures & $.Feature.$.SupportArrayToBean.$.mask) != 0
2808	1419	8	ASMDeserializerFactory.java	_deserObject	fieldInfo	FieldInfo	0	DEF	($.parserFeatures & Feature.SupportArrayToBean.mask) != 0
2809	1426	12	ASMDeserializerFactory.java	_deserObject	THIS	ASMDeserializerFactory	1	DEF	fieldInfo.$.fieldType instanceof Class
2809	1426	12	ASMDeserializerFactory.java	_deserObject	fieldInfo	FieldInfo	1	DEF	$.fieldType instanceof Class
2810	1447	8	ASMDeserializerFactory.java	_deserObject	THIS	ASMDeserializerFactory	1	DEF	fieldInfo.$.fieldType instanceof Class
2810	1447	8	ASMDeserializerFactory.java	_deserObject	fieldInfo	FieldInfo	1	DEF	$.fieldType instanceof Class
60881	1538	8	ASMDeserializerFactory.java	_init	i	int	0	NIL-FOR	$ < size
60881	1538	8	ASMDeserializerFactory.java	_init	size	int	0	NIL-FOR	i < $
60882	1545	8	ASMDeserializerFactory.java	_init	i	int	0	NIL-FOR	$ < size
60882	1545	8	ASMDeserializerFactory.java	_init	size	int	0	NIL-FOR	i < $
2811	1549	12	ASMDeserializerFactory.java	_init	fieldClass	Class<?>	0	DEF	$.isPrimitive()
2812	1553	12	ASMDeserializerFactory.java	_init	fieldClass	Class<?>	1	DEF	Collection.class.isAssignableFrom($)
60883	1573	8	ASMDeserializerFactory.java	_init	i	int	0	NIL-FOR	$ < size
60883	1573	8	ASMDeserializerFactory.java	_init	size	int	0	NIL-FOR	i < $
2813	1590	8	ASMDeserializerFactory.java	_createInstance	defaultConstructor	Constructor<?>	0	RET	Modifier.isPublic($.getModifiers())
1013	112	8	ASMSerializerFactory.java	createJavaBeanSerializer	clazz	Class<?>	0	JSONException	$.isPrimitive()
1014	121	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	RET	$.fieldInfo.$.method != null
1014	121	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	RET	$.fieldInfo.$.field == null
1014	121	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	RET	$.fieldInfo.$.method.getDeclaringClass().isInterface()
1015	132	8	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	RET	getters.$.length > 256
1015	132	8	ASMSerializerFactory.java	createJavaBeanSerializer	getters	FieldInfo[]	0	RET	$.length > 256
1016	137	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	RET	ASMUtils.checkName($.getter.getMember().getName())
1017	156	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	DEF	$.fieldInfo.$.fieldClass == String.class
1017	156	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	DEF	$.fieldInfo.$.fieldClass.isPrimitive()
1018	165	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	DEF	List.class.isAssignableFrom($.fieldInfo.$.fieldClass)
60795	181	8	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	NIL-FOR	i < getters.$.length
60795	181	8	ASMSerializerFactory.java	createJavaBeanSerializer	i	int	0	NIL-FOR	$ < getters.length
60795	181	8	ASMSerializerFactory.java	createJavaBeanSerializer	getters	FieldInfo[]	0	NIL-FOR	i < $.length
1019	183	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	DEF	fieldInfo.$.fieldClass.isPrimitive()
1019	183	12	ASMSerializerFactory.java	createJavaBeanSerializer	THIS	ASMSerializerFactory	0	DEF	fieldInfo.$.fieldClass == String.class
1019	183	12	ASMSerializerFactory.java	createJavaBeanSerializer	fieldInfo	FieldInfo	0	DEF	$.fieldClass.isPrimitive()
1019	183	12	ASMSerializerFactory.java	createJavaBeanSerializer	fieldInfo	FieldInfo	0	DEF	$.fieldClass == String.class
