id	line	column	filename	methodname	varname	vartype	else	return	right
54	57	2	Action.java	setActor	THIS	Action	0	DEF	$.target == null
55	58	2	Action.java	setActor	actor	Actor	0	DEF	$ == null
56	59	3	Action.java	setActor	THIS	Action	0	DEF	$.pool != null
57	109	2	Action.java	toString	dotIndex	int	0	DEF	$ != -1
58	110	2	Action.java	toString	name	String	0	DEF	$.endsWith("Action")
60181	375	2	Actions.java	sequence	i	int	0	NIL-FOR	$ < n
60181	375	2	Actions.java	sequence	n	int	0	NIL-FOR	i < $
60182	426	2	Actions.java	parallel	i	int	0	NIL-FOR	$ < n
60182	426	2	Actions.java	parallel	n	int	0	NIL-FOR	i < $
169	92	2	Actor.java	act	THIS	Actor	0	DEF	actions.$.size > 0
169	92	2	Actor.java	act	actions	Array<Action>	0	DEF	$.size > 0
170	93	3	Actor.java	act	THIS	Actor	0	DEF	$.stage != null
170	93	3	Actor.java	act	THIS	Actor	0	DEF	$.stage.getActionsRequestRendering()
60073	94	3	Actor.java	act	THIS	Actor	0	NIL-FOR	i < actions.$.size
60073	94	3	Actor.java	act	i	int	0	NIL-FOR	$ < actions.size
60073	94	3	Actor.java	act	actions	Array<Action>	0	NIL-FOR	i < $.size
171	96	4	Actor.java	act	THIS	Actor	0	DEF	i < actions.$.size
171	96	4	Actor.java	act	action	Action	0	DEF	$.act(delta)
171	96	4	Actor.java	act	i	int	0	DEF	$ < actions.size
171	96	4	Actor.java	act	actions	Array<Action>	0	DEF	i < $.size
171	96	4	Actor.java	act	delta	float	0	DEF	action.act($)
172	99	5	Actor.java	act	actionIndex	int	0	DEF	$ != -1
173	122	2	Actor.java	fire	event	Event	0	DEF	$.getStage() == null
60074	128	2	Actor.java	fire	parent	Group	0	NIL-WHILE	$ != null
60075	136	3	Actor.java	fire	i	int	0	NIL-FOR	$ >= 0
174	139	4	Actor.java	fire	event	Event	0	RET	$.isStopped()
175	144	3	Actor.java	fire	event	Event	0	RET	$.isStopped()
176	148	3	Actor.java	fire	event	Event	0	RET	$.getBubbles()
177	149	3	Actor.java	fire	event	Event	0	RET	$.isStopped()
60076	152	3	Actor.java	fire	i	int	0	NIL-FOR	$ < n
60076	152	3	Actor.java	fire	n	int	0	NIL-FOR	i < $
178	154	4	Actor.java	fire	event	Event	0	RET	$.isStopped()
179	170	2	Actor.java	notify	event	Event	0	IllegalArgumentException	$.getTarget() == null
180	173	2	Actor.java	notify	THIS	Actor	0	RET	listeners.$.size == 0
180	173	2	Actor.java	notify	listeners	DelayedRemovalArray<EventListener>	0	RET	$.size == 0
181	177	2	Actor.java	notify	event	Event	0	DEF	$.getStage() == null
60077	180	2	Actor.java	notify	i	int	0	NIL-FOR	$ < n
60077	180	2	Actor.java	notify	n	int	0	NIL-FOR	i < $
182	182	3	Actor.java	notify	listener	EventListener	0	DEF	$.handle(event)
182	182	3	Actor.java	notify	event	Event	0	DEF	listener.handle($)
183	184	4	Actor.java	notify	event	Event	0	DEF	$ instanceof InputEvent
184	186	5	Actor.java	notify	THIS	Actor	0	DEF	inputEvent.getType() == $.Type.$.touchDown
184	186	5	Actor.java	notify	inputEvent	InputEvent	0	DEF	$.getType() == Type.touchDown
185	209	2	Actor.java	hit	THIS	Actor	0	RET	$.touchable != $.Touchable.$.enabled
185	209	2	Actor.java	hit	touchable	boolean	0	RET	$
186	216	2	Actor.java	remove	THIS	Actor	0	RET	$.parent != null
187	224	2	Actor.java	addListener	listener	EventListener	0	IllegalArgumentException	$ == null
188	225	2	Actor.java	addListener	THIS	Actor	0	RET	$.listeners.contains(listener, true)
188	225	2	Actor.java	addListener	listener	EventListener	0	RET	listeners.contains($, true)
189	233	2	Actor.java	removeListener	listener	EventListener	0	IllegalArgumentException	$ == null
190	244	2	Actor.java	addCaptureListener	listener	EventListener	0	IllegalArgumentException	$ == null
191	245	2	Actor.java	addCaptureListener	THIS	Actor	0	DEF	$.captureListeners.contains(listener, true)
191	245	2	Actor.java	addCaptureListener	listener	EventListener	0	DEF	captureListeners.contains($, true)
192	250	2	Actor.java	removeCaptureListener	listener	EventListener	0	IllegalArgumentException	$ == null
193	262	2	Actor.java	addAction	THIS	Actor	0	DEF	$.stage.getActionsRequestRendering()
193	262	2	Actor.java	addAction	THIS	Actor	0	DEF	$.stage != null
194	266	2	Actor.java	removeAction	THIS	Actor	0	DEF	$.actions.removeValue(action, true)
194	266	2	Actor.java	removeAction	action	Action	0	DEF	actions.removeValue($, true)
60078	280	2	Actor.java	clearActions	i	int	0	NIL-FOR	$ >= 0
195	310	2	Actor.java	isDescendantOf	actor	Actor	0	IllegalArgumentException	$ == null
196	313	3	Actor.java	isDescendantOf	parent	Actor	0	RET	$ == null
197	314	3	Actor.java	isDescendantOf	parent	Actor	0	RET	$ == actor
197	314	3	Actor.java	isDescendantOf	actor	Actor	0	RET	parent == $
198	321	2	Actor.java	isAscendantOf	actor	Actor	0	IllegalArgumentException	$ == null
199	323	3	Actor.java	isAscendantOf	actor	Actor	0	RET	$ == null
200	324	3	Actor.java	isAscendantOf	THIS	Actor	0	RET	actor == $
200	324	3	Actor.java	isAscendantOf	actor	Actor	0	RET	$ == this
201	331	2	Actor.java	firstAscendant	type	Class<T>	0	IllegalArgumentException	$ == null
60079	333	2	Actor.java	firstAscendant	actor	Actor	0	NIL-DOWHILE	$ != null
202	334	3	Actor.java	firstAscendant	actor	Actor	0	RET	ClassReflection.isInstance(type, $)
202	334	3	Actor.java	firstAscendant	type	Class<T>	0	RET	ClassReflection.isInstance($, actor)
203	397	2	Actor.java	getX	THIS	Actor	1	DEF	(alignment & $.right) != 0
203	397	2	Actor.java	getX	alignment	int	1	DEF	($ & right) != 0
204	399	7	Actor.java	getX	THIS	Actor	0	DEF	(alignment & $.left) == 0
204	399	7	Actor.java	getX	alignment	int	0	DEF	($ & left) == 0
205	405	2	Actor.java	setX	THIS	Actor	0	DEF	$.x != x
205	405	2	Actor.java	setX	x	float	0	DEF	this.x != $
206	417	2	Actor.java	setY	THIS	Actor	0	DEF	$.y != y
206	417	2	Actor.java	setY	y	float	0	DEF	this.y != $
207	426	2	Actor.java	getY	THIS	Actor	1	DEF	(alignment & $.top) != 0
207	426	2	Actor.java	getY	alignment	int	1	DEF	($ & top) != 0
208	428	7	Actor.java	getY	THIS	Actor	0	DEF	(alignment & $.bottom) == 0
208	428	7	Actor.java	getY	alignment	int	0	DEF	($ & bottom) == 0
209	435	2	Actor.java	setPosition	THIS	Actor	0	DEF	$.x != x
209	435	2	Actor.java	setPosition	THIS	Actor	0	DEF	$.y != y
209	435	2	Actor.java	setPosition	x	float	0	DEF	this.x != $
209	435	2	Actor.java	setPosition	y	float	0	DEF	this.y != $
210	445	2	Actor.java	setPosition	THIS	Actor	1	DEF	(alignment & $.right) != 0
210	445	2	Actor.java	setPosition	alignment	int	1	DEF	($ & right) != 0
211	447	7	Actor.java	setPosition	THIS	Actor	0	DEF	(alignment & $.left) == 0
211	447	7	Actor.java	setPosition	alignment	int	0	DEF	($ & left) == 0
212	450	2	Actor.java	setPosition	THIS	Actor	1	DEF	(alignment & $.top) != 0
212	450	2	Actor.java	setPosition	alignment	int	1	DEF	($ & top) != 0
213	452	7	Actor.java	setPosition	THIS	Actor	0	DEF	(alignment & $.bottom) == 0
213	452	7	Actor.java	setPosition	alignment	int	0	DEF	($ & bottom) == 0
214	455	2	Actor.java	setPosition	THIS	Actor	0	DEF	$.y != y
214	455	2	Actor.java	setPosition	THIS	Actor	0	DEF	$.x != x
214	455	2	Actor.java	setPosition	x	float	0	DEF	this.x != $
214	455	2	Actor.java	setPosition	y	float	0	DEF	this.y != $
215	464	2	Actor.java	moveBy	x	float	0	DEF	$ != 0
215	464	2	Actor.java	moveBy	y	float	0	DEF	$ != 0
216	476	2	Actor.java	setWidth	THIS	Actor	0	DEF	$.width != width
216	476	2	Actor.java	setWidth	width	float	0	DEF	this.width != $
217	487	2	Actor.java	setHeight	THIS	Actor	0	DEF	$.height != height
217	487	2	Actor.java	setHeight	height	float	0	DEF	this.height != $
218	517	2	Actor.java	setSize	THIS	Actor	0	DEF	$.width != width
218	517	2	Actor.java	setSize	THIS	Actor	0	DEF	$.height != height
218	517	2	Actor.java	setSize	width	float	0	DEF	this.width != $
218	517	2	Actor.java	setSize	height	float	0	DEF	this.height != $
219	526	2	Actor.java	sizeBy	size	float	0	DEF	$ != 0
220	535	2	Actor.java	sizeBy	width	float	0	DEF	$ != 0
220	535	2	Actor.java	sizeBy	height	float	0	DEF	$ != 0
221	544	2	Actor.java	setBounds	THIS	Actor	0	DEF	$.y != y
221	544	2	Actor.java	setBounds	THIS	Actor	0	DEF	$.x != x
221	544	2	Actor.java	setBounds	x	float	0	DEF	this.x != $
221	544	2	Actor.java	setBounds	y	float	0	DEF	this.y != $
222	549	2	Actor.java	setBounds	THIS	Actor	0	DEF	$.height != height
222	549	2	Actor.java	setBounds	THIS	Actor	0	DEF	$.width != width
222	549	2	Actor.java	setBounds	width	float	0	DEF	this.width != $
222	549	2	Actor.java	setBounds	height	float	0	DEF	this.height != $
223	580	2	Actor.java	setOrigin	THIS	Actor	1	DEF	(alignment & $.left) != 0
