id	line	column	filename	methodname	varname	vartype	else	return	right
20	60	4	Address.java	Address	dns	Dns	0	NullPointerException	$ == null
21	63	4	Address.java	Address	socketFactory	SocketFactory	0	NullPointerException	$ == null
22	66	4	Address.java	Address	proxyAuthenticator	Authenticator	0	NullPointerException	$ == null
23	71	4	Address.java	Address	protocols	List<Protocol>	0	NullPointerException	$ == null
24	74	4	Address.java	Address	connectionSpecs	List<ConnectionSpec>	0	NullPointerException	$ == null
25	77	4	Address.java	Address	proxySelector	ProxySelector	0	NullPointerException	$ == null
26	191	4	Address.java	toString	THIS	Address	1	DEF	$.proxy != null
260	65	6	AndroidPlatform.java	connectSocket	THIS	AndroidPlatform	0	IOException	Util.isAndroidGetsocknameError($.e)
261	78	4	AndroidPlatform.java	trustManager	context	Object	0	RET	$ == null
262	93	4	AndroidPlatform.java	trustManager	x509TrustManager	X509TrustManager	0	RET	$ != null
263	101	4	AndroidPlatform.java	configureTlsExtensions	hostname	String	0	DEF	$ != null
264	107	4	AndroidPlatform.java	configureTlsExtensions	THIS	AndroidPlatform	0	DEF	$.setAlpnProtocols.isSupported(sslSocket)
264	107	4	AndroidPlatform.java	configureTlsExtensions	THIS	AndroidPlatform	0	DEF	$.setAlpnProtocols != null
264	107	4	AndroidPlatform.java	configureTlsExtensions	sslSocket	SSLSocket	0	DEF	setAlpnProtocols.isSupported($)
265	114	4	AndroidPlatform.java	getSelectedProtocol	THIS	AndroidPlatform	0	RET	$.getAlpnSelectedProtocol == null
266	115	4	AndroidPlatform.java	getSelectedProtocol	THIS	AndroidPlatform	0	RET	$.getAlpnSelectedProtocol.isSupported(socket)
266	115	4	AndroidPlatform.java	getSelectedProtocol	socket	SSLSocket	0	RET	getAlpnSelectedProtocol.isSupported($)
267	123	4	AndroidPlatform.java	log	t	Throwable	0	DEF	$ != null
57385	126	4	AndroidPlatform.java	log	i	int	0	NIL-FOR	$ < length
57385	126	4	AndroidPlatform.java	log	length	int	0	NIL-FOR	i < $
57386	129	6	AndroidPlatform.java	log	newline	int	0	NIL-DOWHILE	i < $
57386	129	6	AndroidPlatform.java	log	i	int	0	NIL-DOWHILE	$ < newline
268	143	4	AndroidPlatform.java	logCloseableLeak	reported	boolean	0	DEF	$
57456	62	4	BasicCertificateChainCleaner.java	clean	c	int	0	NIL-FOR	$ < MAX_SIGNERS
686	69	6	BasicCertificateChainCleaner.java	clean	trustedCert	X509Certificate	0	RET	$ != null
687	70	8	BasicCertificateChainCleaner.java	clean	toVerify	X509Certificate	0	DEF	$.equals(trustedCert)
687	70	8	BasicCertificateChainCleaner.java	clean	trustedCert	X509Certificate	0	DEF	toVerify.equals($)
687	70	8	BasicCertificateChainCleaner.java	clean	result	List<Certificate>	0	DEF	$.size() > 1
688	73	8	BasicCertificateChainCleaner.java	clean	THIS	BasicCertificateChainCleaner	0	RET	$.verifySignature(trustedCert, trustedCert)
688	73	8	BasicCertificateChainCleaner.java	clean	trustedCert	X509Certificate	0	RET	verifySignature($, $)
57457	82	6	BasicCertificateChainCleaner.java	clean	i	Iterator<Certificate>	0	NIL-FOR	$.hasNext()
689	84	8	BasicCertificateChainCleaner.java	clean	THIS	BasicCertificateChainCleaner	0	DEF	$.verifySignature(toVerify, signingCert)
689	84	8	BasicCertificateChainCleaner.java	clean	signingCert	X509Certificate	0	DEF	verifySignature(toVerify, $)
689	84	8	BasicCertificateChainCleaner.java	clean	toVerify	X509Certificate	0	DEF	verifySignature($, signingCert)
690	92	6	BasicCertificateChainCleaner.java	clean	foundTrustedCertificate	boolean	0	RET	$
691	106	4	BasicCertificateChainCleaner.java	verifySignature	toVerify	X509Certificate	0	RET	$.getIssuerDN().equals(signingCert.getSubjectDN())
691	106	4	BasicCertificateChainCleaner.java	verifySignature	signingCert	X509Certificate	0	RET	toVerify.getIssuerDN().equals($.getSubjectDN())
692	120	4	BasicCertificateChainCleaner.java	equals	THIS	BasicCertificateChainCleaner	0	RET	other == $
692	120	4	BasicCertificateChainCleaner.java	equals	other	Object	0	RET	$ == this
184	52	4	BridgeInterceptor.java	intercept	body	RequestBody	0	DEF	$ != null
185	54	6	BridgeInterceptor.java	intercept	contentType	MediaType	0	DEF	$ != null
186	59	6	BridgeInterceptor.java	intercept	contentLength	long	1	DEF	$ != -1
187	68	4	BridgeInterceptor.java	intercept	userRequest	Request	0	DEF	$.header("Host") == null
188	72	4	BridgeInterceptor.java	intercept	userRequest	Request	0	DEF	$.header("Connection") == null
189	79	4	BridgeInterceptor.java	intercept	userRequest	Request	0	DEF	$.header("Range") == null
189	79	4	BridgeInterceptor.java	intercept	userRequest	Request	0	DEF	$.header("Accept-Encoding") == null
190	85	4	BridgeInterceptor.java	intercept	cookies	List<Cookie>	0	DEF	$.isEmpty()
191	89	4	BridgeInterceptor.java	intercept	userRequest	Request	0	DEF	$.header("User-Agent") == null
192	100	4	BridgeInterceptor.java	intercept	transparentGzip	boolean	0	DEF	$
192	100	4	BridgeInterceptor.java	intercept	networkResponse	Response	0	DEF	HttpHeaders.hasBody($)
192	100	4	BridgeInterceptor.java	intercept	networkResponse	Response	0	DEF	"gzip".equalsIgnoreCase($.header("Content-Encoding"))
57380	118	4	BridgeInterceptor.java	cookieHeader	i	int	0	NIL-FOR	$ < size
57380	118	4	BridgeInterceptor.java	cookieHeader	size	int	0	NIL-FOR	i < $
193	119	6	BridgeInterceptor.java	cookieHeader	i	int	0	DEF	$ > 0
798	195	6	Cache.java	get	snapshot	Snapshot	0	RET	$ == null
799	212	4	Cache.java	get	entry	Entry	0	RET	$.matches(request, response)
799	212	4	Cache.java	get	response	Response	0	RET	entry.matches(request, $)
799	212	4	Cache.java	get	request	Request	0	RET	entry.matches($, response)
800	223	4	Cache.java	put	response	Response	0	RET	HttpMethod.invalidatesCache($.request().method())
801	231	4	Cache.java	put	requestMethod	String	0	RET	$.equals("GET")
802	238	4	Cache.java	put	response	Response	0	RET	HttpHeaders.hasVaryAll($)
803	246	6	Cache.java	put	editor	Editor	0	RET	$ == null
804	267	6	Cache.java	update	editor	Editor	0	DEF	$ != null
805	279	6	Cache.java	abortQuietly	editor	DiskLruCache.Editor	0	DEF	$ != null
806	404	4	Cache.java	trackResponse	THIS	Cache	1	DEF	cacheStrategy.$.networkRequest != null
806	404	4	Cache.java	trackResponse	cacheStrategy	CacheStrategy	1	DEF	$.networkRequest != null
807	407	11	Cache.java	trackResponse	THIS	Cache	0	DEF	cacheStrategy.$.cacheResponse != null
807	407	11	Cache.java	trackResponse	cacheStrategy	CacheStrategy	0	DEF	$.cacheResponse != null
808	727	6	Cache.java	readInt	result	long	0	IOException	$ > Integer.MAX_VALUE
808	727	6	Cache.java	readInt	result	long	0	IOException	$ < 0
