id	line	column	filename	methodname	varname	vartype	else	return	right
760	42	4	AI01320xDecoder.java	addWeightCode	weight	int	1	DEF	$ < 10000
761	51	4	AI01320xDecoder.java	checkWeight	weight	int	0	RET	$ < 10000
833	47	4	AI01392xDecoder.java	parseInformation	THIS	AI01392xDecoder	0	DEF	$.getInformation().getSize() < HEADER_SIZE + GTIN_SIZE
762	47	4	AI01393xDecoder.java	parseInformation	THIS	AI01393xDecoder	0	DEF	$.getInformation().getSize() < HEADER_SIZE + GTIN_SIZE
763	64	4	AI01393xDecoder.java	parseInformation	firstThreeDigits	int	0	DEF	$ / 100 == 0
764	67	4	AI01393xDecoder.java	parseInformation	firstThreeDigits	int	0	DEF	$ / 10 == 0
828	53	4	AI013x0x1xDecoder.java	parseInformation	THIS	AI013x0x1xDecoder	0	DEF	$.getInformation().getSize() != HEADER_SIZE + GTIN_SIZE + WEIGHT_SIZE + DATE_SIZE
829	68	4	AI013x0x1xDecoder.java	encodeCompressedDate	numericDate	int	0	RET	$ == 38400
830	82	4	AI013x0x1xDecoder.java	encodeCompressedDate	year	int	0	DEF	$ / 10 == 0
831	86	4	AI013x0x1xDecoder.java	encodeCompressedDate	month	int	0	DEF	$ / 10 == 0
832	90	4	AI013x0x1xDecoder.java	encodeCompressedDate	day	int	0	DEF	$ / 10 == 0
759	46	4	AI013x0xDecoder.java	parseInformation	THIS	AI013x0xDecoder	0	DEF	$.getInformation().getSize() != HEADER_SIZE + GTIN_SIZE + WEIGHT_SIZE
58798	52	4	AI01decoder.java	encodeCompressedGtinWithoutAI	i	int	0	NIL-FOR	$ < 4
754	54	6	AI01decoder.java	encodeCompressedGtinWithoutAI	currentBlock	int	0	DEF	$ / 100 == 0
755	57	6	AI01decoder.java	encodeCompressedGtinWithoutAI	currentBlock	int	0	DEF	$ / 10 == 0
58799	68	4	AI01decoder.java	appendCheckDigit	i	int	0	NIL-FOR	$ < 13
756	74	4	AI01decoder.java	appendCheckDigit	checkDigit	int	0	DEF	$ == 10
58797	47	4	AI01weightDecoder.java	encodeCompressedWeight	i	int	0	NIL-FOR	$ < 5
753	48	6	AI01weightDecoder.java	encodeCompressedWeight	weightNumeric	int	0	DEF	$ / currentDivisor == 0
753	48	6	AI01weightDecoder.java	encodeCompressedWeight	currentDivisor	int	0	DEF	weightNumeric / $ == 0
398	30	4	ASCIIEncoder.java	encode	n	int	1	DEF	$ >= 2
399	37	6	ASCIIEncoder.java	encode	THIS	ASCIIEncoder	1	IllegalStateException:RET	newMode != $.getEncodingMode()
399	37	6	ASCIIEncoder.java	encode	newMode	int	1	IllegalStateException:RET	$ != getEncodingMode()
400	62	13	ASCIIEncoder.java	encode	c	char	1	DEF	HighLevelEncoder.isExtendedASCII($)
401	75	4	ASCIIEncoder.java	encodeASCIIDigits	digit1	char	0	RET	HighLevelEncoder.isDigit($)
401	75	4	ASCIIEncoder.java	encodeASCIIDigits	digit2	char	0	RET	HighLevelEncoder.isDigit($)
757	58	4	AbstractExpandedDecoder.java	createDecoder	information	BitArray	0	RET	$.get(1)
758	61	4	AbstractExpandedDecoder.java	createDecoder	information	BitArray	0	RET	$.get(2)
58841	77	4	AbstractRSSReader.java	parseFinderValue	THIS	AbstractRSSReader	0	NIL-FOR	value < finderPatterns.$.length
58841	77	4	AbstractRSSReader.java	parseFinderValue	value	int	0	NIL-FOR	$ < finderPatterns.length
58841	77	4	AbstractRSSReader.java	parseFinderValue	finderPatterns	int[][]	0	NIL-FOR	value < $.length
971	78	6	AbstractRSSReader.java	parseFinderValue	THIS	AbstractRSSReader	0	RET	$.patternMatchVariance(counters, finderPatterns[value], MAX_INDIVIDUAL_VARIANCE) < MAX_AVG_VARIANCE
971	78	6	AbstractRSSReader.java	parseFinderValue	value	int	0	RET	patternMatchVariance(counters, finderPatterns[$], MAX_INDIVIDUAL_VARIANCE) < MAX_AVG_VARIANCE
971	78	6	AbstractRSSReader.java	parseFinderValue	counters	int[]	0	RET	patternMatchVariance($, finderPatterns[value], MAX_INDIVIDUAL_VARIANCE) < MAX_AVG_VARIANCE
971	78	6	AbstractRSSReader.java	parseFinderValue	finderPatterns	int[][]	0	RET	patternMatchVariance(counters, $[value], MAX_INDIVIDUAL_VARIANCE) < MAX_AVG_VARIANCE
58842	99	4	AbstractRSSReader.java	increment	THIS	AbstractRSSReader	0	NIL-FOR	i < array.$.length
58842	99	4	AbstractRSSReader.java	increment	i	int	0	NIL-FOR	$ < array.length
58842	99	4	AbstractRSSReader.java	increment	array	int[]	0	NIL-FOR	i < $.length
972	100	6	AbstractRSSReader.java	increment	i	int	0	DEF	errors[$] > biggestError
972	100	6	AbstractRSSReader.java	increment	biggestError	float	0	DEF	errors[i] > $
972	100	6	AbstractRSSReader.java	increment	errors	float[]	0	DEF	$[i] > biggestError
58843	111	4	AbstractRSSReader.java	decrement	THIS	AbstractRSSReader	0	NIL-FOR	i < array.$.length
58843	111	4	AbstractRSSReader.java	decrement	i	int	0	NIL-FOR	$ < array.length
58843	111	4	AbstractRSSReader.java	decrement	array	int[]	0	NIL-FOR	i < $.length
973	112	6	AbstractRSSReader.java	decrement	i	int	0	DEF	errors[$] < biggestError
973	112	6	AbstractRSSReader.java	decrement	biggestError	float	0	DEF	errors[i] < $
973	112	6	AbstractRSSReader.java	decrement	errors	float[]	0	DEF	$[i] < biggestError
974	124	4	AbstractRSSReader.java	isFinderPattern	ratio	float	0	RET	$ <= MAX_FINDER_PATTERN_RATIO
974	124	4	AbstractRSSReader.java	isFinderPattern	ratio	float	0	RET	$ >= MIN_FINDER_PATTERN_RATIO
975	129	8	AbstractRSSReader.java	isFinderPattern	THIS	AbstractRSSReader	0	DEF	$.counter > maxCounter
975	129	8	AbstractRSSReader.java	isFinderPattern	maxCounter	int	0	DEF	counter > $
976	132	8	AbstractRSSReader.java	isFinderPattern	THIS	AbstractRSSReader	0	DEF	$.counter < minCounter
976	132	8	AbstractRSSReader.java	isFinderPattern	minCounter	int	0	DEF	counter < $
1196	38	4	AddressBookAUResultParser.java	parse	rawText	String	0	RET	$.contains("MEMORY")
1196	38	4	AddressBookAUResultParser.java	parse	rawText	String	0	RET	$.contains("\r\n")
58915	75	4	AddressBookAUResultParser.java	matchMultipleValuePrefix	i	int	0	NIL-FOR	$ <= max
58915	75	4	AddressBookAUResultParser.java	matchMultipleValuePrefix	max	int	0	NIL-FOR	i <= $
