id	oracle
6825	margin == null
6826	frame == null
6827	padding == null
6828	bounds == null
6829	c == null
6830	c.equals(RectangleConstraint.NONE)
6831	r == null
6832	r.getLowerBound() > 0.0
6833	r.getUpperBound() < Double.POSITIVE_INFINITY
6834	r == null
6835	r.getLowerBound() > 0.0
6836	r.getUpperBound() < Double.POSITIVE_INFINITY
6837	obj == this
6838	obj instanceof AbstractBlock
6839	ObjectUtilities.equal(this.id, that.id)
6840	this.frame.equals(that.frame)
6841	this.bounds.equals(that.bounds)
6842	this.margin.equals(that.margin)
6843	this.padding.equals(that.padding)
6844	this.height != that.height
6845	this.width != that.width
6846	this.frame instanceof PublicCloneable
2238	labelFormat == null
2239	formatter == null
2240	percentFormatter == null
2241	labelFormat == null
2242	formatter == null
2243	dataset == null
2244	value != null
2245	this.numberFormat != null
2246	this.dateFormat != null
2247	value != null
2248	obj == this
2249	obj instanceof AbstractCategoryItemLabelGenerator
2250	this.labelFormat.equals(that.labelFormat)
2251	ObjectUtilities.equal(this.dateFormat, that.dateFormat)
2252	ObjectUtilities.equal(this.numberFormat, that.numberFormat)
2253	this.numberFormat != null
2254	this.dateFormat != null
8725	plot == null
8726	generator == null
8727	notify
8728	notify
8729	result == null
8730	notify
8731	notify
8732	generator == null
8733	notify
8734	notify
8735	annotation == null
8736	layer.equals(Layer.FOREGROUND)
8737	layer.equals(Layer.BACKGROUND)
8738	generator == null
8739	data != null
8740	isSeriesVisible(row)
8741	dataset == null
8742	getDataBoundsIncludesVisibleSeriesOnly()
8743	isSeriesVisible(s)
8744	paint == null
8745	stroke == null
8746	orientation == PlotOrientation.HORIZONTAL
8747	orientation == PlotOrientation.VERTICAL
8748	range.contains(value)
8749	orientation == PlotOrientation.HORIZONTAL
8750	orientation == PlotOrientation.VERTICAL
8751	columnIndex < 0
8752	marker.getDrawAsLine()
8753	orientation == PlotOrientation.HORIZONTAL
8754	orientation == PlotOrientation.VERTICAL
8755	orientation == PlotOrientation.HORIZONTAL
8756	orientation == PlotOrientation.VERTICAL
8757	label != null
8758	marker instanceof ValueMarker
8759	range.contains(value)
8760	orientation == PlotOrientation.HORIZONTAL
8761	orientation == PlotOrientation.VERTICAL
8762	label != null
8763	marker instanceof IntervalMarker
8764	range.intersects(start, end)
8765	orientation == PlotOrientation.HORIZONTAL
8766	orientation == PlotOrientation.VERTICAL
8767	p instanceof GradientPaint
8768	t != null
8769	im.getOutlineStroke() != null
8769	im.getOutlinePaint() != null
8770	orientation == PlotOrientation.VERTICAL
8771	range.contains(start)
8772	range.contains(end)
8773	range.contains(start)
8774	range.contains(end)
8775	label != null
8776	orientation == PlotOrientation.HORIZONTAL
8777	orientation == PlotOrientation.VERTICAL
8778	orientation == PlotOrientation.HORIZONTAL
8779	orientation == PlotOrientation.VERTICAL
8780	p == null
8781	isSeriesVisibleInLegend(series)
8781	isSeriesVisible(series)
8782	this.legendItemToolTipGenerator != null
8783	this.legendItemURLGenerator != null
8784	labelPaint != null
8785	obj == this
8786	obj instanceof AbstractCategoryItemRenderer
8787	ObjectUtilities.equal(this.itemLabelGeneratorList, that.itemLabelGeneratorList)
8788	ObjectUtilities.equal(this.baseItemLabelGenerator, that.baseItemLabelGenerator)
8789	ObjectUtilities.equal(this.toolTipGeneratorList, that.toolTipGeneratorList)
8790	ObjectUtilities.equal(this.baseToolTipGenerator, that.baseToolTipGenerator)
8791	ObjectUtilities.equal(this.urlGeneratorList, that.urlGeneratorList)
8792	ObjectUtilities.equal(this.baseURLGenerator, that.baseURLGenerator)
8793	ObjectUtilities.equal(this.legendItemLabelGenerator, that.legendItemLabelGenerator)
8794	ObjectUtilities.equal(this.legendItemToolTipGenerator, that.legendItemToolTipGenerator)
8795	ObjectUtilities.equal(this.legendItemURLGenerator, that.legendItemURLGenerator)
8796	ObjectUtilities.equal(this.backgroundAnnotations, that.backgroundAnnotations)
8797	ObjectUtilities.equal(this.foregroundAnnotations, that.foregroundAnnotations)
8798	cp != null
8799	orientation == null
8800	crosshairState != null
8801	this.plot.isRangeCrosshairLockedOnData()
8802	generator != null
8803	negative
8804	layer.equals(Layer.FOREGROUND)
8805	layer.equals(Layer.BACKGROUND)
8806	this.itemLabelGeneratorList != null
8807	this.baseItemLabelGenerator != null
8808	this.baseItemLabelGenerator instanceof PublicCloneable
8809	this.toolTipGeneratorList != null
8810	this.baseToolTipGenerator != null
8811	this.baseToolTipGenerator instanceof PublicCloneable
8812	this.urlGeneratorList != null
8813	this.baseURLGenerator != null
8814	this.baseURLGenerator instanceof PublicCloneable
8815	this.legendItemLabelGenerator instanceof PublicCloneable
8816	this.legendItemToolTipGenerator instanceof PublicCloneable
8817	this.legendItemURLGenerator instanceof PublicCloneable
8818	result == null
8819	result == null
8820	this.plot == null
8821	dataset != null
8822	isSeriesVisibleInLegend(i)
8823	item != null
8824	hotspot == null
8825	getItemCreateEntity(row, column, selected)
8826	hotspot == null
8827	getPlot().getOrientation() == PlotOrientation.VERTICAL
8828	generator != null
8829	urlster != null
1520	group == null
1521	listeners[i] == DatasetChangeListener.class
3972	obj == this
3973	obj instanceof AbstractDialLayer
3974	listeners[i] == DialLayerChangeListener.class
440	x != null
441	x != null
442	y != null
443	y != null
2032	index >= 0
2032	index < this.size
2033	index < 0
2034	index >= this.objects.length
2035	this.objects[index] == object
2036	obj == null
2037	obj == this
2038	obj instanceof AbstractObjectList
2039	ObjectUtilities.equal(get(i), other.get(i))
2040	size > 0
2041	size > 1
2042	size > 2
2043	this.objects != null
2044	object != null
2044	object instanceof Serializable
2045	index != -1
5450	listener == null
5451	listener == null
5452	listeners[i] == OverlayChangeListener.class
2339	labelFormat == null
2340	numberFormat == null
2341	percentFormat == null
2342	value != null
2343	value != null
2344	v > 0.0
2345	dataset != null
2346	obj == this
2347	obj instanceof AbstractPieItemLabelGenerator
2348	this.labelFormat.equals(that.labelFormat)
2349	this.numberFormat.equals(that.numberFormat)
2350	this.percentFormat.equals(that.percentFormat)
2351	this.numberFormat != null
2352	this.percentFormat != null
3871	record == null
8934	b != null
8935	notify
8936	notify
8937	b != null
8938	notify
8939	notify
8940	seriesPaint == null
8940	this.autoPopulateSeriesPaint
8941	supplier != null
8942	seriesPaint == null
8943	notify
8944	notify
8945	notify
8946	seriesFillPaint == null
8946	this.autoPopulateSeriesFillPaint
8947	supplier != null
8948	seriesFillPaint == null
8949	notify
8950	paint == null
8951	notify
8952	this.autoPopulateSeriesOutlinePaint
8952	seriesOutlinePaint == null
8953	supplier != null
8954	seriesOutlinePaint == null
8955	notify
8956	paint == null
8957	notify
8958	this.autoPopulateSeriesStroke
8958	result == null
8959	supplier != null
8960	result == null
8961	notify
8962	notify
8963	stroke == null
8964	notify
8965	result == null
8965	this.autoPopulateSeriesOutlineStroke
8966	supplier != null
8967	result == null
8968	notify
8969	stroke == null
8970	notify
8971	this.autoPopulateSeriesShape
8971	result == null
8972	supplier != null
8973	result == null
8974	notify
8975	shape == null
8976	notify
8977	b != null
8978	notify
8979	notify
8980	result == null
8981	notify
8982	font == null
8983	notify
8984	result == null
8985	notify
8986	paint == null
8987	notify
8988	position == null
8989	notify
8990	position == null
8991	notify
8992	position == null
8993	notify
8994	position == null
8995	notify
8996	b != null
8997	notify
8998	notify
8999	result == null
9000	result == null
9001	this.treatLegendShapeAsLine != treatAsLine
9002	result == null
9003	result == null
9004	anchor == ItemLabelAnchor.CENTER
9005	anchor == ItemLabelAnchor.INSIDE1
9006	anchor == ItemLabelAnchor.INSIDE2
9007	anchor == ItemLabelAnchor.INSIDE3
9008	anchor == ItemLabelAnchor.INSIDE4
9009	anchor == ItemLabelAnchor.INSIDE5
9010	anchor == ItemLabelAnchor.INSIDE6
9011	anchor == ItemLabelAnchor.INSIDE7
9012	anchor == ItemLabelAnchor.INSIDE8
9013	anchor == ItemLabelAnchor.INSIDE9
9014	anchor == ItemLabelAnchor.INSIDE10
9015	anchor == ItemLabelAnchor.INSIDE11
9016	anchor == ItemLabelAnchor.INSIDE12
9017	anchor == ItemLabelAnchor.OUTSIDE1
9018	anchor == ItemLabelAnchor.OUTSIDE2
9019	anchor == ItemLabelAnchor.OUTSIDE3
9020	anchor == ItemLabelAnchor.OUTSIDE4
9021	anchor == ItemLabelAnchor.OUTSIDE5
9022	anchor == ItemLabelAnchor.OUTSIDE6
9023	anchor == ItemLabelAnchor.OUTSIDE7
9024	anchor == ItemLabelAnchor.OUTSIDE8
9025	anchor == ItemLabelAnchor.OUTSIDE9
9026	anchor == ItemLabelAnchor.OUTSIDE10
9027	anchor == ItemLabelAnchor.OUTSIDE11
9028	anchor == ItemLabelAnchor.OUTSIDE12
9029	listener == null
9030	listener == null
9031	ls[i] == RendererChangeListener.class
9032	obj == this
9033	obj instanceof AbstractRenderer
9034	this.dataBoundsIncludesVisibleSeriesOnly != that.dataBoundsIncludesVisibleSeriesOnly
9035	this.treatLegendShapeAsLine != that.treatLegendShapeAsLine
9036	this.defaultEntityRadius != that.defaultEntityRadius
9037	this.seriesVisibleList.equals(that.seriesVisibleList)
9038	this.baseSeriesVisible != that.baseSeriesVisible
9039	this.seriesVisibleInLegendList.equals( that.seriesVisibleInLegendList)
9040	this.baseSeriesVisibleInLegend != that.baseSeriesVisibleInLegend
9041	ObjectUtilities.equal(this.paintList, that.paintList)
9042	PaintUtilities.equal(this.basePaint, that.basePaint)
9043	ObjectUtilities.equal(this.fillPaintList, that.fillPaintList)
9044	PaintUtilities.equal(this.baseFillPaint, that.baseFillPaint)
9045	ObjectUtilities.equal(this.outlinePaintList, that.outlinePaintList)
9046	PaintUtilities.equal(this.baseOutlinePaint, that.baseOutlinePaint)
9047	ObjectUtilities.equal(this.strokeList, that.strokeList)
9048	ObjectUtilities.equal(this.baseStroke, that.baseStroke)
9049	ObjectUtilities.equal(this.outlineStrokeList, that.outlineStrokeList)
9050	ObjectUtilities.equal( this.baseOutlineStroke, that.baseOutlineStroke)
9051	ObjectUtilities.equal(this.shapeList, that.shapeList)
9052	ShapeUtilities.equal(this.baseShape, that.baseShape)
9053	ObjectUtilities.equal(this.itemLabelsVisibleList, that.itemLabelsVisibleList)
