id	oracle
6177	preserveOriginal == false
2950	aggregation == null
2951	aggregation == null
2952	subFactories == null
2953	metaData == null
2954	this.metaData != null
2955	factoriesBuilder != null
2955	(factoriesBuilder.count()) > 0
2956	obj == null
2957	getClass() != obj.getClass()
2958	Objects.equals(name, other.name)
2959	Objects.equals(metaData, other.metaData)
2960	Objects.equals(factoriesBuilder, other.factoriesBuilder)
12122	discoNode.isDataNode()
12123	explain
12124	explain
12125	unassigned.equalsIgnoringMetaData(shardRouting)
12126	recoverySource != null
12126	unassignedInfo != null
12127	getClass() != obj.getClass()
12127	obj == null
11829	nodeDecisions != null
11830	isDecisionTaken() == false
11831	node.getAttributes().isEmpty() == false
11832	nodeDecisions != null
11832	nodeDecisions.isEmpty() == false
11833	nodeDecisions == null
11834	result.getNodeDecision() == AllocationDecision.YES
11835	this == other
11836	other instanceof AbstractAllocationDecision == false
11836	other == null
7186	closed.compareAndSet(false, true)
11304	sorts == null
11304	sorts.isEmpty()
11305	doc.getSource() == null
11306	accept(doc)
11307	request != null
11308	task.isCancelled()
11309	task.isCancelled()
11310	response.isTimedOut()
11310	response.getFailures().size() > 0
11311	mainRequest.getSize() > 0
11312	task.isCancelled()
11313	response.getHits().isEmpty()
11314	mainRequest.getSize() != SIZE_ALL_MATCHES
11315	remaining < hits.size()
11316	request.requests().isEmpty()
11317	logger.isDebugEnabled()
11318	task.isCancelled()
11319	item.isFailed()
11320	item.getResponse().getResult() == DocWriteResponse.Result.CREATED
11321	task.isCancelled()
11322	false == failures.isEmpty()
11323	mainRequest.getSize() != SIZE_ALL_MATCHES
11323	task.getSuccessfullyProcessed() >= mainRequest.getSize()
11324	task.isCancelled()
11325	failure.getStatus() == CONFLICT
11326	false == mainRequest.isAbortOnVersionConflict()
11327	false == mainRequest.isRefresh()
11327	destinationIndices.isEmpty()
11327	task.isCancelled()
7019	pageSize < 128
7020	(pageSize & (pageSize - 1)) != 0
7021	this.recycler != null
7022	numPages > Integer.MAX_VALUE
7023	array.length < minSize
7024	recycler != null
7025	recycler != null
7026	recycler != null
7027	recycler != null
7028	recycler != null
7029	recycler != null
7618	binding instanceof UntargettedBindingImpl
7619	binding.getKey().getAnnotationType() != null
7620	binding instanceof InstanceBinding
7621	binding.getScoping().isExplicitlyScoped()
11279	setDefaults
11280	searchRequest.source().from() != -1
11281	searchRequest.source().storedFields() != null
11282	maxRetries < 0
11283	size == -1
11283	size > 0
11284	searchRequest.source().slice() != null
11284	slices != 1
11285	requestsPerSecond <= 0
11286	slices < 1
11287	slices > 1
11288	in.getVersion().onOrAfter(Version.V_5_1_1_UNRELEASED)
11289	out.getVersion().onOrAfter(Version.V_5_1_1_UNRELEASED)
11290	slices > 1
11291	searchRequest.indices().length != 0
11291	searchRequest.indices() != null
11292	searchRequest.types() != null
11292	searchRequest.types().length != 0
557	helpWanted
7768	Strings.isNullOrEmpty(settings.get(settingName))
7769	Strings.isNullOrEmpty(settings.get(settingName))
6233	wordList == null
12742	this.get().equals(previousState)
2770	valuesSource == null
2771	bucketOrd >= states.size()
1323	in.readBoolean()
1324	in.getVersion().onOrAfter(Version.V_5_4_0_UNRELEASED)
1325	in.readBoolean()
1326	in.getVersion().onOrAfter(Version.V_5_4_0_UNRELEASED)
1327	in.readBoolean()
1328	in.readBoolean()
1329	hasQuery
1330	out.getVersion().onOrAfter(Version.V_5_4_0_UNRELEASED)
1331	hasBounaryChars
1332	out.getVersion().onOrAfter(Version.V_5_4_0_UNRELEASED)
1333	hasBoundaryScannerLocale
1334	hasOptions
1335	boundaryScannerLocale != null
1336	preTags != null
1337	postTags != null
1338	fragmentSize != null
1339	numOfFragments != null
1340	highlighterType != null
1341	fragmenter != null
1342	highlightQuery != null
1343	order != null
1344	highlightFilter != null
1345	boundaryScannerType != null
1346	boundaryMaxScan != null
1347	boundaryChars != null
1348	boundaryScannerLocale != null
1349	options != null
1349	options.size() > 0
1350	forceSource != null
1351	requireFieldMatch != null
1352	noMatchSize != null
1353	phraseLimit != null
1354	this == obj
1355	getClass() != obj.getClass()
1355	obj == null
5661	context.reader().getFieldInfos().fieldInfo(fieldName) == null
5662	e instanceof ElasticsearchException
5670	indexReader.leaves().size() <= 1
5671	context.reader().getFieldInfos().fieldInfo(getFieldName()) != null
5672	fieldFound == false
5673	e instanceof ElasticsearchException
5674	iterator == null
5675	docCount == -1
5676	docCount >= minSegmentSize
5677	maxFreq < docCount
5677	minFreq > 1
2764	merged == null
2765	keyed
2766	format != DocValueFormat.RAW
2767	format != DocValueFormat.RAW
3054	stackEmpty
3055	children != null
2780	merged == null
2781	keyed
2782	format != DocValueFormat.RAW
2783	format != DocValueFormat.RAW
7770	lifecycle.canMoveToStarted()
7771	lifecycle.canMoveToStopped()
7772	lifecycle.started()
7773	lifecycle.canMoveToClosed()
7169	lifecycle.stoppedOrClosed()
7170	lifecycle.stoppedOrClosed() == false
11589	executedListeners
11590	listeners == null
11591	listeners instanceof List
11592	executeImmediate
11593	listeners != null
11594	listeners instanceof List
7705	this.binder != null
12743	this.get().equals(previousState)
8398	parser == null
8399	parser.currentToken().isValue()
8399	parser.currentToken() == XContentParser.Token.START_OBJECT
8400	parser.currentToken().isValue()
8400	parser.currentToken() == XContentParser.Token.START_OBJECT
7030	capacity < 0
7031	maxLoadFactor >= 1
7031	maxLoadFactor <= 0
7032	used(i)
7033	used(i)
2351	type == null
2352	this.metaData != null
2353	bucketsPaths != null
2353	overrideBucketsPath()
2354	obj == null
2355	getClass() != obj.getClass()
2356	Objects.equals(name, other.name)
2357	Objects.equals(type, other.type)
2358	Objects.deepEquals(bucketsPaths, other.bucketsPaths)
2359	Objects.equals(metaData, other.metaData)
7648	allDone
4557	queryName != null
4558	query != null
4559	boost != DEFAULT_BOOST
4560	query instanceof SpanQuery
4561	queryName != null
4562	this == obj
4563	getClass() != obj.getClass()
4563	obj == null
4564	obj instanceof String
4565	obj instanceof BytesRef
4566	query != null
4567	rewritten == this
4568	rewritten.queryName() == null
4568	queryName() != null
4569	rewritten.boost() == DEFAULT_BOOST
4569	boost() != DEFAULT_BOOST
4570	value == null
4571	processedFieldName != null
5687	i < cardinality()
2258	range == null
7116	tryIncRef() == false
7117	i > 0
7118	refCount.compareAndSet(i, i + 1)
7119	i == 0
642	initialized
279	responseContentType == null
280	requestContentType != null
281	useFiltering
282	pretty
283	bytesOut == null
8793	setting.getProperties().contains(scope) == false
8794	setting.hasComplexMatcher()
8795	overlappingSetting != null
8796	isValidKey(setting.getKey()) == false
8796	setting.isGroupSetting()
8796	isValidGroupKey(setting.getKey())
8796	isValidAffixKey(setting.getKey())
8797	lastSettingsApplied != null
8797	newSettings.equals(lastSettingsApplied)
8798	setting != get(setting.getKey())
8799	setting != registeredSetting
8800	a != get(a.getKey())
8801	b != get(b.getKey())
8802	setting == null
8803	distance > 0.7f
8804	settings.getSecureSettings().getSettingNames().contains(key)
8804	secureSettings != null
8805	keys.isEmpty() == false
8806	setting != null
8807	entry.getValue().match(key)
8808	entry.getValue().match(key)
8809	setting.getProperties().contains(scope) == false
8810	get(setting.getKey()) == null
8811	canRemove.test(entry.getKey())
8811	entry.getValue() == null
8811	entry.getKey().endsWith("*")
8812	canUpdate.test(entry.getKey())
8812	entry.getValue() != null
8813	isFinalSetting(entry.getKey())
8814	Regex.simpleMatch(entry, key)
8814	canRemove.test(key)
8815	complexMatchers.containsKey(newSetting.getKey())
8816	newSetting.match(existingSetting.getKey())
8816	existingSetting.match(newSetting.getKey())
8817	setting != null
8818	entry.getKey().startsWith(ARCHIVED_SETTINGS_PREFIX)
8818	isPrivateSetting(entry.getKey())
8819	changed
10124	getNumShards() == 0
10125	successfulOps.get() == 0
10126	logger.isDebugEnabled()
10127	logger.isTraceEnabled()
10128	logger.isDebugEnabled()
10129	shardFailures == null
10130	TransportActions.isShardNotAvailableException(e)
10131	shardFailures == null
10132	shardFailures == null
10133	failure == null
10134	TransportActions.isReadOverrideException(e)
10135	results.hasResult(shardIndex)
10136	logger.isTraceEnabled()
10137	shardFailures != null
5715	"no".equals(normalization)
5716	"h1".equals(normalization)
5717	"h2".equals(normalization)
5718	"h3".equals(normalization)
5719	"z".equals(normalization)
2788	valuesSource == null
2789	bucketOrd >= states.size()
8371	coerce
8372	coerce
8373	result != fullVal
8374	token == Token.VALUE_STRING
8375	token == Token.VALUE_NUMBER
8376	token == Token.VALUE_STRING
8377	token == Token.VALUE_STRING
8378	token == Token.VALUE_STRING
8379	token == Token.VALUE_STRING
8380	token == Token.VALUE_STRING
8381	token == Token.VALUE_STRING
8382	currentToken() == Token.VALUE_NULL
8383	currentToken() == Token.VALUE_NULL
8384	token == null
8385	token == XContentParser.Token.START_OBJECT
8386	token == null
8387	token == XContentParser.Token.START_OBJECT
8388	token == null
8389	token == XContentParser.Token.FIELD_NAME
