id	oracle
152	contextClassLoader != null
153	mappingClass != null
154	classLoader == null
155	current == classLoader
2731	clazz.isPrimitive()
2732	fieldClass == int.class
2732	fieldClass == byte.class
2732	fieldClass == short.class
2733	fieldClass == long.class
2734	fieldClass == boolean.class
2735	fieldClass == float.class
2736	fieldClass == double.class
2737	fieldClass == char.class
2738	fieldClass == String.class
2739	fieldClass.isEnum()
2740	Collection.class.isAssignableFrom(fieldClass)
2741	itemClass == String.class
2742	fieldClass == ArrayList.class
2742	fieldClass == Collections.class
2742	fieldClass == List.class
2743	fieldClass.isArray()
2744	fieldClass == java.util.Date.class
2745	last
2746	context.fieldInfoList.length == 0
2747	fieldClass == char.class
2748	Collection.class.isAssignableFrom(fieldClass)
2749	fieldType instanceof ParameterizedType
2750	itemType instanceof Class
2751	(beanInfo.parserFeatures & Feature.SupportArrayToBean.mask) == 0
2752	fieldClass == byte.class
2752	fieldClass == short.class
2752	fieldClass == int.class
2752	fieldClass == boolean.class
2753	fieldClass == long.class
2754	fieldClass == float.class
2755	fieldClass == double.class
2756	fieldClass == String.class
2757	fieldClass == boolean.class
2758	fieldClass == byte.class
2759	fieldClass == short.class
2760	fieldClass == int.class
2761	fieldClass == long.class
2762	fieldClass == float.class
2763	fieldClass == double.class
2764	fieldClass == String.class
2765	fieldClass == int[].class
2766	fieldClass == float[].class
2767	fieldClass == float[][].class
2768	fieldClass.isEnum()
2769	Collection.class.isAssignableFrom(fieldClass)
2770	itemClass == String.class
2771	i == fieldListSize - 1
2772	i == fieldListSize - 1
2773	i == fieldListSize - 1
2774	Modifier.isAbstract(context.clazz.getModifiers())
2774	context.clazz.isInterface()
2775	buildMethod != null
2776	fieldListSize != 0
2776	(fieldListSize % 32) != 0
2777	flagSize == 1
2778	i == 0
2779	i == 1
2780	Modifier.isPublic(defaultConstructor.getModifiers())
2781	flag
2782	flag
2783	fieldClass == boolean.class
2784	fieldClass == byte.class
2784	fieldClass == short.class
2784	fieldClass == char.class
2784	fieldClass == int.class
2785	fieldClass == long.class
2786	fieldInfo.method != null
2787	fieldInfo.method.getReturnType().equals(Void.TYPE)
2788	fieldClass == float.class
2789	fieldClass == double.class
2790	fieldClass == String.class
2791	fieldClass.isEnum()
2792	Collection.class.isAssignableFrom(fieldClass)
2793	itemType == String.class
2794	method != null
2795	fieldInfo.method.getReturnType().equals(Void.TYPE)
2796	fieldClass.isInterface()
2797	isPrimitive
2798	fieldClass.isInterface()
2799	isPrimitive
2800	token == JSONToken.LBRACE
2801	token == JSONToken.LBRACKET
2802	set
2802	fieldClass.isAssignableFrom(ArrayList.class)
2803	fieldClass.isAssignableFrom(LinkedList.class)
2803	set
2804	fieldClass.isAssignableFrom(HashSet.class)
2805	fieldClass.isAssignableFrom(TreeSet.class)
2806	fieldClass.isAssignableFrom(LinkedHashSet.class)
2807	set
2808	(fieldInfo.parserFeatures & Feature.SupportArrayToBean.mask) != 0
2809	fieldInfo.fieldType instanceof Class
2810	fieldInfo.fieldType instanceof Class
2811	fieldClass.isPrimitive()
2812	Collection.class.isAssignableFrom(fieldClass)
2813	Modifier.isPublic(defaultConstructor.getModifiers())
1013	clazz.isPrimitive()
1014	fieldInfo.method != null
1014	fieldInfo.field == null
1014	fieldInfo.method.getDeclaringClass().isInterface()
1015	getters.length > 256
1016	ASMUtils.checkName(getter.getMember().getName())
1017	fieldInfo.fieldClass == String.class
1017	fieldInfo.fieldClass.isPrimitive()
1018	List.class.isAssignableFrom(fieldInfo.fieldClass)
1019	fieldInfo.fieldClass.isPrimitive()
1019	fieldInfo.fieldClass == String.class
1020	fieldInfo.method != null
1021	jsonType != null
1022	featrues == SerializerFeature.DisableCircularReferenceDetect
1023	i == 0
1024	i == 1
1025	nativeSorted
1025	context.writeDirect
1026	jsonType.alphabetic()
1026	jsonType == null
1027	context.writeDirect
1027	nonContext
1028	nativeSorted
1029	i == 0
1030	i == 1
1031	size == 0
1032	fieldClass == short.class
1032	fieldClass == byte.class
1032	fieldClass == int.class
1033	fieldClass == long.class
1034	fieldClass == float.class
1035	fieldClass == double.class
1036	fieldClass == boolean.class
1037	fieldClass == char.class
1038	fieldClass == String.class
1039	fieldClass.isEnum()
1040	List.class.isAssignableFrom(fieldClass)
1041	fieldType instanceof Class
1042	elementType instanceof Class<?>
1043	elementClass == Object.class
1044	elementClass == String.class
1044	context.writeDirect
1045	elementClass != null
1045	Modifier.isPublic(elementClass.getModifiers())
1046	context.writeDirect
1047	context.nonContext
1048	context.nonContext
1049	context.nonContext
1050	Modifier.isPublic(elementClass.getModifiers())
1050	elementClass != null
1051	Modifier.isPublic(fieldClass.getModifiers())
1051	context.writeDirect
1052	format != null
1053	fieldInfo.fieldType instanceof Class<?>
1053	((Class<?>) fieldInfo.fieldType).isPrimitive()
1054	context.writeDirect
1055	getter.method != null
1056	hasMethod
1057	context.nonContext
1058	context.writeDirect
1059	context.nonContext
1060	(context.beanInfo.features & SerializerFeature.BeanToArray.mask) == 0
1061	context.nonContext
1062	context.writeDirect
1063	context.writeDirect
1064	context.writeDirect
1065	propertyClass == byte.class
1065	propertyClass == int.class
1065	propertyClass == short.class
1066	propertyClass == long.class
1067	propertyClass == float.class
1068	propertyClass == double.class
1069	propertyClass == boolean.class
1070	propertyClass == char.class
1071	propertyClass == String.class
1072	propertyClass == BigDecimal.class
1073	List.class.isAssignableFrom(propertyClass)
1074	propertyClass.isEnum()
1075	context.writeDirect
1076	context.nonContext
1077	context.writeDirect
1078	method != null
1079	method.getReturnType().equals(fieldInfo.fieldClass)
1080	field.getType().equals(fieldInfo.fieldClass)
1081	context.writeDirect
1082	elementType instanceof Class<?>
1083	elementClass == Object.class
1083	elementClass == Serializable.class
1084	context.nonContext
