id	oracle
1425	isDirected()
608	Objects.equal(value, get(key))
608	containedKey
609	force
610	containedKey
611	conflict != null
612	broken != null
1618	result.containsKey(key)
1619	value != null
97	localInputFuture == null | localExceptionType == null | localFallback == null | isCancelled()
98	throwable == null
99	isInstanceOfThrowableClass(throwable, localExceptionType)
1333	isSelfLoop
1334	isSelfLoop
131	curr == Waiter.TOMBSTONE
132	curr.thread != null
133	pred != null
134	pred.thread == null
135	ATOMIC_HELPER.casWaiters(this, curr, succ)
136	Thread.interrupted()
137	localValue instanceof SetFuture
137	localValue != null & !(localValue instanceof SetFuture)
138	remainingNanos >= SPIN_THRESHOLD_NANOS
139	oldHead != Waiter.TOMBSTONE
140	ATOMIC_HELPER.casWaiters(this, oldHead, node)
141	Thread.interrupted()
142	localValue instanceof SetFuture
142	localValue != null & !(localValue instanceof SetFuture)
143	remainingNanos < SPIN_THRESHOLD_NANOS
144	localValue instanceof SetFuture
144	localValue != null & !(localValue instanceof SetFuture)
145	Thread.interrupted()
146	Thread.interrupted()
147	localValue instanceof SetFuture
147	localValue != null & !(localValue instanceof SetFuture)
148	oldHead != Waiter.TOMBSTONE
149	ATOMIC_HELPER.casWaiters(this, oldHead, node)
150	Thread.interrupted()
151	localValue != null & !(localValue instanceof SetFuture)
151	localValue instanceof SetFuture
152	obj instanceof Cancellation
153	obj instanceof Failure
154	obj == NULL
155	localValue == null | localValue instanceof SetFuture
156	ATOMIC_HELPER.casValue(abstractFuture, localValue, valueToSet)
157	mayInterruptIfRunning
158	localValue instanceof SetFuture
159	futureToPropagateTo instanceof TrustedFuture
160	localValue == null | localValue instanceof SetFuture
161	localValue instanceof SetFuture
162	oldHead != Listener.TOMBSTONE
163	ATOMIC_HELPER.casListeners(this, oldHead, newNode)
164	ATOMIC_HELPER.casValue(this, null, valueToSet)
165	ATOMIC_HELPER.casValue(this, null, valueToSet)
166	localValue == null
167	future.isDone()
168	ATOMIC_HELPER.casValue(this, null, value)
169	ATOMIC_HELPER.casValue(this, null, valueToSet)
170	localValue instanceof Cancellation
171	future instanceof TrustedFuture
172	task instanceof SetFuture
173	future.value == setFuture
174	ATOMIC_HELPER.casValue(future, setFuture, valueToSet)
175	related != null & isCancelled()
1401	obj == this
1402	obj instanceof Graph
721	hasNext()
722	hasPrevious()
432	args == null
433	method.getName().equals("hashCode")
433	args.length == 0
434	args.length == 1
434	method.getParameterTypes()[0] == Object.class
434	method.getName().equals("equals")
435	arg == null
436	proxy == arg
437	method.getName().equals("toString")
437	args.length == 0
293	state != State.DONE
294	hasNext()
594	state != State.DONE
595	hasNext()
596	hasNext()
1617	result.containsKey(key)
534	collection == null
535	collection.add(value)
536	collection.add(value)
537	collection == null
538	iterator.hasNext()
539	collection.add(iterator.next())
540	collection == null
541	collection instanceof NavigableSet
542	collection instanceof SortedSet
543	collection instanceof Set
544	collection instanceof List
545	collection == null
546	collection instanceof NavigableSet
547	collection instanceof SortedSet
548	collection instanceof Set
549	collection instanceof List
550	map instanceof NavigableMap
551	map instanceof SortedMap
552	collection != null
553	map instanceof NavigableMap
554	map instanceof SortedMap
963	occurrences == 0
964	frequency == null
965	occurrences == 0
966	frequency == null
967	oldCount > occurrences
968	count == 0
969	existingCounter == null
970	i == null
1186	object instanceof Entry
1147	collection.contains(value)
1148	values instanceof Collection
1149	this instanceof SetMultimap
801	Objects.equal(entry.getElement(), element)
802	result == null
803	result == null
1172	entry == null
1173	entry == null
1336	isDirected()
1337	obj == this
1338	obj instanceof Network
779	obj == this
780	obj instanceof RangeSet
940	hasNext()
119	monitor.enterIf(isStartable)
120	monitor.enterIf(isStoppable)
121	monitor.enterWhenUninterruptibly(hasReachedRunning, timeout, unit)
