id	oracle
5478	acc == null
5479	inputEvent_CanAccessSystemClipboard_Field == null
5480	source == newSource
5481	newSource instanceof Component
5482	comp != null
5483	peer != null
5484	source instanceof Component
5485	source instanceof MenuComponent
5486	ke.isActionKey()
5487	keyCode == KeyEvent.VK_CONTROL
5487	keyCode == KeyEvent.VK_SHIFT
5487	keyCode == KeyEvent.VK_ALT
5488	src instanceof Frame
5488	src instanceof Dialog
5489	src instanceof Button
5490	src instanceof MenuItem
5491	src instanceof List
5492	src instanceof Choice
5493	aje.getValueIsAdjusting()
5494	this instanceof InputEvent
5494	that instanceof InputEvent
5495	field != null
5496	log.isLoggable(PlatformLogger.FINE)
5497	this instanceof InputEvent
5498	field != null
5499	log.isLoggable(PlatformLogger.FINE)
9974	oldl == a
9975	oldl == b
9976	a2 == a
9976	b2 == b
9977	a == null
9978	b == null
9979	l == oldl
9979	l == null
9980	l instanceof AWTEventMulticaster
9981	a instanceof AWTEventMulticaster
9982	a instanceof Serializable
9983	b instanceof AWTEventMulticaster
9984	b instanceof Serializable
9985	l == null
9986	l instanceof AWTEventMulticaster
9987	l instanceof Serializable
9988	l instanceof AWTEventMulticaster
9989	l instanceof AWTEventMulticaster
9990	a.getClass().getComponentType().isInstance(l)
9991	listenerType == null
4758	clazz == null
4759	subclass == null
4760	keyStrokeClass != null
4760	keyStrokeClass.equals(subclass)
4761	AWTKeyStroke.class.isAssignableFrom(subclass)
4762	ctor == null
4763	stroke == null
4764	cache == null
4765	cacheKey == null
4766	stroke == null
4767	keyChar == null
4768	s == null
4769	modifierKeywords == null
4770	typed
4771	token.length() != 1
4771	i != count
4772	released
4772	i == count
4772	pressed
4773	i != count
4774	token.equals("released")
4775	token.equals("pressed")
4776	token.equals("typed")
4777	tokenMask != null
4778	vks == null
4779	value == null
4780	keyCode == KeyEvent.VK_UNDEFINED
4781	anObject instanceof AWTKeyStroke
4782	keyCode == KeyEvent.VK_UNDEFINED
4783	(modifiers & InputEvent.SHIFT_DOWN_MASK) != 0
4784	(modifiers & InputEvent.CTRL_DOWN_MASK) != 0
4785	(modifiers & InputEvent.META_DOWN_MASK) != 0
4786	(modifiers & InputEvent.ALT_DOWN_MASK) != 0
4787	(modifiers & InputEvent.ALT_GRAPH_DOWN_MASK) != 0
4788	(modifiers & InputEvent.BUTTON1_DOWN_MASK) != 0
4789	(modifiers & InputEvent.BUTTON2_DOWN_MASK) != 0
4790	(modifiers & InputEvent.BUTTON3_DOWN_MASK) != 0
4791	name != null
4792	fields[i].getName().startsWith("VK_")
4792	fields[i].getType() == Integer.TYPE
4792	fields[i].getModifiers() == expected_modifiers
4792	fields[i].getInt(KeyEvent.class) == keyCode
4793	getClass().equals(getAWTKeyStrokeClass())
4794	(modifiers & InputEvent.SHIFT_MASK) != 0
4795	(modifiers & InputEvent.ALT_MASK) != 0
4796	(modifiers & InputEvent.ALT_GRAPH_MASK) != 0
4797	(modifiers & InputEvent.CTRL_MASK) != 0
4798	(modifiers & InputEvent.META_MASK) != 0
4799	(modifiers & InputEvent.SHIFT_DOWN_MASK) != 0
4800	(modifiers & InputEvent.ALT_DOWN_MASK) != 0
4801	(modifiers & InputEvent.ALT_GRAPH_DOWN_MASK) != 0
4802	(modifiers & InputEvent.CTRL_DOWN_MASK) != 0
4803	(modifiers & InputEvent.META_DOWN_MASK) != 0
530	o==null
531	it.next()==null
532	o.equals(it.next())
533	it.hasNext()
534	it.hasNext()
535	a == r
536	a.length < i
537	a.length > i
538	i == cap
539	newCap - MAX_ARRAY_SIZE > 0
540	minCapacity < 0
541	o==null
542	it.next()==null
543	o.equals(it.next())
544	contains(e)
545	add(e)
546	c.contains(it.next())
547	c.contains(it.next())
548	it.hasNext()
549	it.hasNext()
2826	task == null
2827	task == null
2828	task == null
2829	tasks == null
2830	ntasks == 0
2831	f == null
2832	ntasks > 0
2833	active == 0
2834	timed
2835	f == null
2836	f != null
2837	ee == null
2838	tasks == null
2839	f.isDone()
2840	done
2841	tasks == null
2841	unit == null
2842	nanos <= 0
2843	f.isDone()
2844	nanos <= 0
2845	done
13323	open
13324	interruptor == null
13325	me.isInterrupted()
13326	interrupted == Thread.currentThread()
13326	interrupted != null
13327	completed
13327	open
311	o==null
312	it.next()==null
313	o.equals(it.next())
314	o==null
315	it.previous()==null
316	o.equals(it.previous())
317	o == this
318	o instanceof List
319	o1==null ? o2==null : o1.equals(o2)
320	index > size()
320	index < 0
321	fromIndex < 0
322	toIndex > list.size()
323	fromIndex > toIndex
324	cSize==0
325	index >= size
325	index < 0
326	index < 0
326	index > size
327	this.modCount != l.modCount
1387	value==null
1388	e.getValue()==null
1389	value.equals(e.getValue())
1390	key==null
1391	e.getKey()==null
1392	key.equals(e.getKey())
1393	key==null
1394	e.getKey()==null
1395	key.equals(e.getKey())
1396	key==null
1397	e.getKey()==null
1398	key.equals(e.getKey())
1399	correctEntry !=null
1400	keySet == null
1401	values == null
1402	o == this
1403	o instanceof Map
1404	m.size() != size()
1405	value == null
1406	m.containsKey(key)
1406	m.get(key)==null
1407	value.equals(m.get(key))
1408	i.hasNext()
1409	i.hasNext()
14923	mcastaddr == null
14923	mcastaddr instanceof InetSocketAddress
14924	mcastaddr == null
14924	mcastaddr instanceof InetSocketAddress
14925	fd != null
14926	isClosed()
14927	o == null
14927	o instanceof Integer
14928	tmp < 0
14929	o instanceof Integer
14929	o == null
14930	o == null
14930	o instanceof Boolean
14931	o == null
14931	o instanceof Boolean
14932	o instanceof Integer
14932	((Integer)o).intValue() < 0
14932	o == null
14933	o == null
14933	o instanceof InetAddress
14934	o == null
14934	o instanceof NetworkInterface
14935	o instanceof Boolean
14935	o == null
14936	isClosed()
14937	((Integer)result).intValue() == -1
14998	stream
14999	socket != null
15000	serverSocket != null
15001	connected
15002	address instanceof InetSocketAddress
15002	address == null
15003	addr.isUnresolved()
15004	connected
15005	address.isAnyLocalAddress()
15006	isClosedOrPending()
15007	val == null
15007	val instanceof Integer
15007	val instanceof Boolean
15008	val instanceof Boolean
15009	val instanceof Integer
15009	val == null
15010	tmp < 0
15011	val == null
15011	val instanceof Integer
15012	val == null
15012	val instanceof Boolean
15013	((Integer)val).intValue() > 0
15013	val == null
15013	val instanceof Integer
15014	val instanceof Boolean
15014	val == null
15015	val instanceof Boolean
15015	val == null
15016	val == null
15016	val instanceof Boolean
15017	isClosedOrPending()
15018	opt == SO_TIMEOUT
15019	ret == -1
15020	socket == null
15020	closePending
15020	socket.isBound()
15021	closePending
15022	socket != null
15023	socket == null
15023	socket.isBound()
15023	closePending
15024	socket != null
15025	serverSocket != null
15026	isClosedOrPending()
15027	shut_rd
15028	socketInputStream == null
15029	isClosedOrPending()
15030	shut_wr
15031	isClosedOrPending()
15032	isConnectionReset()
15033	n == 0
15033	isConnectionResetPending()
15034	n == 0
15035	fd != null
15036	stream
15037	fdUseCount == 0
15038	closePending
15039	closePending
15040	fd != null
15041	fd != null
15042	socketInputStream != null
15043	fd != null
15044	fd == null
15045	fdUseCount == -1
15046	fd != null
15047	resetState == CONNECTION_NOT_RESET
15048	fd == null
15048	closePending
4604	parent==null
4605	name.equals("")
4606	name.indexOf('/') != -1
4607	name.equals("")
4608	value==null
4608	key==null
4609	key.length() > MAX_KEY_LENGTH
4610	value.length() > MAX_VALUE_LENGTH
4611	removed
4612	key==null
4613	removed
4614	removed
4615	value != null
4616	value != null
4617	value != null
4618	value.equalsIgnoreCase("true")
4619	value.equalsIgnoreCase("false")
4620	value != null
4621	value != null
4622	value != null
4623	removed
4624	removed
4625	removed
4626	removed
4627	path.equals("")
4628	path.equals("/")
4629	path.charAt(0) != '/'
4630	token.equals("/")
4631	child == null
4632	token.length() > MAX_NAME_LENGTH
4633	child.newNode
4634	path.hasMoreTokens()
