id	oracle
54	target == null
55	actor == null
56	pool != null
57	dotIndex != -1
58	name.endsWith("Action")
169	actions.size > 0
170	stage != null
170	stage.getActionsRequestRendering()
171	i < actions.size
171	action.act(delta)
172	actionIndex != -1
173	event.getStage() == null
174	event.isStopped()
175	event.isStopped()
176	event.getBubbles()
177	event.isStopped()
178	event.isStopped()
179	event.getTarget() == null
180	listeners.size == 0
181	event.getStage() == null
182	listener.handle(event)
183	event instanceof InputEvent
184	inputEvent.getType() == Type.touchDown
185	touchable
185	this.touchable != Touchable.enabled
186	parent != null
187	listener == null
188	listeners.contains(listener, true)
189	listener == null
190	listener == null
191	captureListeners.contains(listener, true)
192	listener == null
193	stage.getActionsRequestRendering()
193	stage != null
194	actions.removeValue(action, true)
195	actor == null
196	parent == null
197	parent == actor
198	actor == null
199	actor == null
200	actor == this
201	type == null
202	ClassReflection.isInstance(type, actor)
203	(alignment & right) != 0
204	(alignment & left) == 0
205	this.x != x
206	this.y != y
207	(alignment & top) != 0
208	(alignment & bottom) == 0
209	this.x != x
209	this.y != y
210	(alignment & right) != 0
211	(alignment & left) == 0
212	(alignment & top) != 0
213	(alignment & bottom) == 0
214	this.y != y
214	this.x != x
215	x != 0
215	y != 0
216	this.width != width
217	this.height != height
218	this.width != width
218	this.height != height
219	size != 0
220	height != 0
220	width != 0
221	this.y != y
221	this.x != x
222	this.height != height
222	this.width != width
223	(alignment & left) != 0
224	(alignment & right) != 0
225	(alignment & bottom) != 0
226	(alignment & top) != 0
227	this.rotation != degrees
228	amountInDegrees != 0
229	index < 0
230	parent == null
231	children.size == 1
232	children.get(index) == this
233	children.removeValue(this, true)
234	parent == null
235	width <= 0
235	height <= 0
236	ScissorStack.pushScissors(scissorBounds)
237	stage == null
238	parent != null
239	rotation == 0
240	scaleY == 1
240	scaleX == 1
241	actor == ascendant
242	rotation == 0
243	scaleX == 1
243	scaleY == 1
244	debug
245	enabled
246	name == null
247	dotIndex != -1
1382	e instanceof InputEvent
1383	event.isTouchFocusCancel()
1286	action != null
1269	capture
3912	degrees == 0
3913	radians == 0
3914	det == 0
3915	degrees == 0
3916	radians == 0
3917	degrees == 0
3918	radians == 0
1250	target != null
1251	currentActions.size == 1
1252	index == -1
1253	waitForActions.size > 0
1284	color == null
2567	copyFrom.length != (6 * 3)
2568	d == 0f
3590	currentTime <= animationInterval
