id	oracle
20	dns == null
21	socketFactory == null
22	proxyAuthenticator == null
23	protocols == null
24	connectionSpecs == null
25	proxySelector == null
26	proxy != null
260	Util.isAndroidGetsocknameError(e)
261	context == null
262	x509TrustManager != null
263	hostname != null
264	setAlpnProtocols.isSupported(sslSocket)
264	setAlpnProtocols != null
265	getAlpnSelectedProtocol == null
266	getAlpnSelectedProtocol.isSupported(socket)
267	t != null
268	reported
686	trustedCert != null
687	toVerify.equals(trustedCert)
687	result.size() > 1
688	verifySignature(trustedCert, trustedCert)
689	verifySignature(toVerify, signingCert)
690	foundTrustedCertificate
691	toVerify.getIssuerDN().equals(signingCert.getSubjectDN())
692	other == this
184	body != null
185	contentType != null
186	contentLength != -1
187	userRequest.header("Host") == null
188	userRequest.header("Connection") == null
189	userRequest.header("Range") == null
189	userRequest.header("Accept-Encoding") == null
190	cookies.isEmpty()
191	userRequest.header("User-Agent") == null
192	transparentGzip
192	HttpHeaders.hasBody(networkResponse)
192	"gzip".equalsIgnoreCase(networkResponse.header("Content-Encoding"))
193	i > 0
798	snapshot == null
799	entry.matches(request, response)
800	HttpMethod.invalidatesCache(response.request().method())
801	requestMethod.equals("GET")
802	HttpHeaders.hasVaryAll(response)
803	editor == null
804	editor != null
805	editor != null
806	cacheStrategy.networkRequest != null
807	cacheStrategy.cacheResponse != null
808	line.isEmpty()
808	result > Integer.MAX_VALUE
808	result < 0
824	name.equalsIgnoreCase("Cache-Control")
825	headerValue != null
826	name.equalsIgnoreCase("Pragma")
827	value.charAt(pos) == ','
827	value.charAt(pos) == ';'
827	pos == value.length()
828	value.charAt(pos) == '\"'
828	pos < value.length()
829	"no-cache".equalsIgnoreCase(directive)
830	"no-store".equalsIgnoreCase(directive)
831	"max-age".equalsIgnoreCase(directive)
832	"s-maxage".equalsIgnoreCase(directive)
833	"private".equalsIgnoreCase(directive)
834	"public".equalsIgnoreCase(directive)
835	"must-revalidate".equalsIgnoreCase(directive)
836	"max-stale".equalsIgnoreCase(directive)
837	"min-fresh".equalsIgnoreCase(directive)
838	"only-if-cached".equalsIgnoreCase(directive)
839	"no-transform".equalsIgnoreCase(directive)
840	canUseHeaderValue
841	noCache
842	noStore
843	maxAgeSeconds != -1
844	sMaxAgeSeconds != -1
845	isPrivate
846	isPublic
847	mustRevalidate
848	maxStaleSeconds != -1
849	minFreshSeconds != -1
850	onlyIfCached
851	noTransform
852	result.length() == 0
565	cache != null
