id	oracle
760	weight < 10000
761	weight < 10000
833	this.getInformation().getSize() < HEADER_SIZE + GTIN_SIZE
762	this.getInformation().getSize() < HEADER_SIZE + GTIN_SIZE
763	firstThreeDigits / 100 == 0
764	firstThreeDigits / 10 == 0
828	this.getInformation().getSize() != HEADER_SIZE + GTIN_SIZE + WEIGHT_SIZE + DATE_SIZE
829	numericDate == 38400
830	year / 10 == 0
831	month / 10 == 0
832	day / 10 == 0
759	this.getInformation().getSize() != HEADER_SIZE + GTIN_SIZE + WEIGHT_SIZE
754	currentBlock / 100 == 0
755	currentBlock / 10 == 0
756	checkDigit == 10
753	weightNumeric / currentDivisor == 0
398	n >= 2
399	newMode != getEncodingMode()
400	HighLevelEncoder.isExtendedASCII(c)
401	HighLevelEncoder.isDigit(digit2)
401	HighLevelEncoder.isDigit(digit1)
757	information.get(1)
758	information.get(2)
971	patternMatchVariance(counters, finderPatterns[value], MAX_INDIVIDUAL_VARIANCE) < MAX_AVG_VARIANCE
972	errors[i] > biggestError
973	errors[i] < biggestError
974	ratio <= MAX_FINDER_PATTERN_RATIO
974	ratio >= MIN_FINDER_PATTERN_RATIO
975	counter > maxCounter
976	counter < minCounter
1196	rawText.contains("MEMORY")
1196	rawText.contains("\r\n")
1197	value == null
1198	values == null
1199	values == null
1168	rawText.startsWith("MECARD:")
1169	rawName == null
1170	isStringOfDigits(birthday, 8)
1171	comma >= 0
1186	phoneTypes != null
1186	phoneNumbers.length != phoneTypes.length
1186	phoneNumbers != null
1187	emailTypes != null
1187	emails != null
1187	emails.length != emailTypes.length
1188	addressTypes != null
1188	addresses != null
1188	addresses.length != addressTypes.length
1850	Math.abs(j - getX()) <= moduleSize
1850	Math.abs(i - getY()) <= moduleSize
1832	image.get(j, i)
1833	currentState == 1
1834	currentState == 2
1835	foundPatternCross(stateCount)
1836	confirmed != null
1837	currentState == 1
1838	foundPatternCross(stateCount)
1839	confirmed != null
1840	possibleCenters.isEmpty()
1841	Math.abs(moduleSize - stateCount[i]) >= maxVariance
1842	i < 0
1842	stateCount[1] > maxCount
1843	stateCount[0] > maxCount
1844	i == maxI
1844	stateCount[1] > maxCount
1845	stateCount[2] > maxCount
1846	5 * Math.abs(stateCountTotal - originalStateCountTotal) >= 2 * originalStateCountTotal
1847	Float.isNaN(centerI)
1848	center.aboutEquals(estimatedModuleSize, centerI, centerJ)
1849	resultPointCallback != null
102	decoderResult == null
103	notFoundException != null
104	formatException != null
105	hints != null
106	rpcb != null
107	byteSegments != null
108	ecLevel != null
109	hints != null
110	hints.containsKey(EncodeHintType.CHARACTER_SET)
111	hints.containsKey(EncodeHintType.ERROR_CORRECTION)
112	hints.containsKey(EncodeHintType.AZTEC_LAYERS)
113	format != BarcodeFormat.AZTEC
114	input == null
115	input.get(inputX, inputY)
1476	confidence == null
1477	entry.getValue() > maxConfidence
1478	entry.getValue() == maxConfidence
402	newMode != getEncodingMode()
