id	oracle
1214	consumed != 0
0	a1 == a2
1	a1 == null
1	a2 == null
2	type.equals(type2)
3	m.getParameterTypes().length == 0
3	isValidAnnotationMemberType(m.getReturnType())
4	memberEquals(m.getReturnType(), v1, v2)
5	m.getParameterTypes().length > 0
6	type == null
7	type.isArray()
8	value == null
9	value.getClass().isArray()
10	value instanceof Annotation
11	o1 == o2
12	o2 == null
12	o1 == null
13	type.isArray()
14	type.isAnnotation()
15	componentType.isAnnotation()
16	componentType.equals(Byte.TYPE)
17	componentType.equals(Short.TYPE)
18	componentType.equals(Integer.TYPE)
19	componentType.equals(Character.TYPE)
20	componentType.equals(Long.TYPE)
21	componentType.equals(Float.TYPE)
22	componentType.equals(Double.TYPE)
23	componentType.equals(Boolean.TYPE)
24	a1.length != a2.length
25	equals(a1[i], a2[i])
26	componentType.equals(Byte.TYPE)
27	componentType.equals(Short.TYPE)
28	componentType.equals(Integer.TYPE)
29	componentType.equals(Character.TYPE)
30	componentType.equals(Long.TYPE)
31	componentType.equals(Float.TYPE)
32	componentType.equals(Double.TYPE)
33	componentType.equals(Boolean.TYPE)
1554	array == null
1555	array == null
1556	object instanceof Map.Entry<?, ?>
1557	object instanceof Object[]
1558	entry.length < 2
1559	array == null
1560	array == null
1561	array == null
1562	array == null
1563	array == null
1564	array == null
1565	array == null
1566	array == null
1567	array == null
1568	array.length == 0
1568	array == null
1569	array.length == 0
1569	array == null
1570	array == null
1570	array.length == 0
1571	array.length == 0
1571	array == null
1572	array == null
1572	array.length == 0
1573	array.length == 0
1573	array == null
1574	array == null
1574	array.length == 0
1575	array == null
1575	array.length == 0
1576	array == null
1576	array.length == 0
1577	array == null
1577	array.length == 0
1578	array == null
1578	array.length == 0
1579	array.length == 0
1579	array == null
1580	array == null
1580	array.length == 0
1581	array == null
1581	array.length == 0
1582	array == null
1582	array.length == 0
1583	array == null
1583	array.length == 0
1584	array.length == 0
1584	array == null
1585	array.length == 0
1585	array == null
1586	array == null
1587	startIndexInclusive < 0
1588	endIndexExclusive > array.length
1589	newSize <= 0
1590	array == null
1591	startIndexInclusive < 0
1592	endIndexExclusive > array.length
1593	newSize <= 0
1594	array == null
1595	startIndexInclusive < 0
1596	endIndexExclusive > array.length
1597	newSize <= 0
1598	array == null
1599	startIndexInclusive < 0
1600	endIndexExclusive > array.length
1601	newSize <= 0
1602	array == null
1603	startIndexInclusive < 0
1604	endIndexExclusive > array.length
1605	newSize <= 0
1606	array == null
1607	startIndexInclusive < 0
1608	endIndexExclusive > array.length
1609	newSize <= 0
1610	array == null
1611	startIndexInclusive < 0
1612	endIndexExclusive > array.length
1613	newSize <= 0
1614	array == null
1615	startIndexInclusive < 0
1616	endIndexExclusive > array.length
1617	newSize <= 0
1618	array == null
1619	startIndexInclusive < 0
1620	endIndexExclusive > array.length
1621	newSize <= 0
1622	array1.length != array2.length
1622	array2.length > 0
1622	array2 == null
1622	array1.length > 0
1622	array2 != null
1622	array2 != null
1622	array1 != null
1622	array1 == null
1622	array1 != null
1623	array2 == null
1623	array1.length != array2.length
1623	array1.length > 0
1623	array1 != null
1623	array1 == null
1623	array2 != null
1623	array2 != null
1623	array2.length > 0
1623	array1 != null
1624	array2.length > 0
1624	array1 != null
1624	array2 == null
1624	array1.length != array2.length
1624	array2 != null
1624	array1.length > 0
1624	array2 != null
1624	array1 != null
1624	array1 == null
1625	array2 != null
1625	array2 == null
1625	array2 != null
1625	array1 != null
1625	array1 != null
1625	array1.length > 0
1625	array1.length != array2.length
1625	array2.length > 0
1625	array1 == null
1626	array2 != null
1626	array1 != null
1626	array1.length != array2.length
1626	array1.length > 0
1626	array1 == null
1626	array1 != null
1626	array2.length > 0
1626	array2 != null
1626	array2 == null
1627	array2 != null
1627	array1 != null
1627	array2 != null
1627	array1 == null
1627	array2 == null
1627	array1.length > 0
1627	array2.length > 0
1627	array1 != null
1627	array1.length != array2.length
1628	array2 == null
1628	array1.length != array2.length
1628	array2 != null
1628	array1.length > 0
1628	array1 == null
1628	array2 != null
1628	array1 != null
1628	array1 != null
1628	array2.length > 0
1629	array2 != null
1629	array2 != null
1629	array1 != null
1629	array1.length > 0
1629	array1 != null
1629	array1 == null
1629	array2.length > 0
1629	array2 == null
1629	array1.length != array2.length
1630	array2 != null
1630	array1.length > 0
1630	array1 == null
1630	array2 != null
1630	array1.length != array2.length
1630	array1 != null
1630	array1 != null
1630	array2.length > 0
1630	array2 == null
1631	array == null
1632	array2 == null
1632	array1 == null
1633	array == null
1634	array == null
1635	array == null
1636	array == null
1637	array == null
1638	array == null
1639	array == null
1640	array == null
1641	array == null
1642	array == null
1643	startIndex < 0
1644	objectToFind == null
1645	array[i] == null
1646	array.getClass().getComponentType().isInstance(objectToFind)
1647	objectToFind.equals(array[i])
1648	array == null
1649	startIndex < 0
1650	startIndex >= array.length
1651	objectToFind == null
1652	array[i] == null
1653	array.getClass().getComponentType().isInstance(objectToFind)
1654	objectToFind.equals(array[i])
1655	array == null
1656	startIndex < 0
1657	valueToFind == array[i]
1658	array == null
1659	startIndex < 0
1660	startIndex >= array.length
1661	valueToFind == array[i]
1662	array == null
1663	startIndex < 0
1664	valueToFind == array[i]
1665	array == null
1666	startIndex < 0
1667	startIndex >= array.length
1668	valueToFind == array[i]
1669	array == null
1670	startIndex < 0
1671	valueToFind == array[i]
1672	array == null
1673	startIndex < 0
1674	startIndex >= array.length
1675	valueToFind == array[i]
1676	array == null
1677	startIndex < 0
1678	valueToFind == array[i]
1679	array == null
1680	startIndex < 0
1681	startIndex >= array.length
1682	valueToFind == array[i]
1683	array == null
1684	startIndex < 0
1685	valueToFind == array[i]
1686	array == null
1687	startIndex < 0
1688	startIndex >= array.length
1689	valueToFind == array[i]
1690	ArrayUtils.isEmpty(array)
1691	startIndex < 0
