id	oracle
555	element != null
556	top == null
557	element != null
558	node.element == element
559	node.element.compareTo(element) > 0
560	node.element.compareTo(reference) < 0
561	node.right == null
562	node.left == null
563	node.element.compareTo(reference) > 0
564	node.left == null
565	node.right == null
1526	rowDimension <= 0
1527	columnDimension <= 0
1528	d == null
1529	d.length == 0
1530	d[0].length == 0
1531	d.length == 0
1532	p < 0
1533	isSquare()
1534	p == 0
1535	p == 1
1536	binaryRepresentation[i] == '1'
1537	destination[0].length < columnsCount
1537	destination.length < rowsCount
1538	destination[0].length < selectedColumns.length
1538	destination.length < selectedRows.length
1539	subMatrix == null
1540	nRows == 0
1541	nCols == 0
1542	subMatrix[r].length != nCols
1543	matrix.getRowDimension() != 1
1543	matrix.getColumnDimension() != nCols
1544	matrix.getColumnDimension() != 1
1544	matrix.getRowDimension() != nRows
1545	vector.getDimension() != nCols
1546	vector.getDimension() != nRows
1547	array.length != nCols
1548	array.length != nRows
1549	nRows != nCols
1550	v.length != nCols
1551	v.getDimension() != nCols
1552	v.length != nRows
1553	v.getDimension() != nRows
1554	i > 0
1555	j > 0
1556	object == this
1557	object instanceof FieldMatrix<?> == false
1558	m.getRowDimension() != nRows
1558	m.getColumnDimension() != nCols
1559	getEntry(row, col).equals(m.getEntry(row, col))
1560	row < 0
1560	row >= getRowDimension()
1561	column < 0
1561	column >= getColumnDimension()
1562	endRow < startRow
1563	endColumn < startColumn
1564	selectedRows == null
1564	selectedColumns == null
1565	selectedColumns.length == 0
1565	selectedRows.length == 0
1566	getColumnDimension() != m.getColumnDimension()
1566	getRowDimension() != m.getRowDimension()
1567	getRowDimension() != m.getRowDimension()
1567	getColumnDimension() != m.getColumnDimension()
1568	getColumnDimension() != m.getRowDimension()
1006	format == null
1007	format == null
1008	index < n
1009	index < n
1085	x1 < x0
1086	p > 1.0
1086	p < 0.0
1087	p == 0.0
1088	lower == Integer.MIN_VALUE
1089	checkedCumulativeProbability(lower) >= p
1090	p == 1.0
1091	chebyshevApplies
1092	tmp > lower
1093	tmp < upper
1094	xm > upper
1094	xm < lower
1095	pm >= p
1096	sampleSize <= 0
1097	Double.isNaN(result)
3525	y0.length != equations.getDimension()
3526	y.length != equations.getDimension()
3527	statesInitialized
3528	state.evaluateStep(interpolator)
3529	isLastStep
3530	needReset
3531	currentEvent.evaluateStep(interpolator)
3532	dt <= threshold
3099	objectiveValue.length != target.length
3100	data instanceof Weight
3101	m instanceof DiagonalMatrix
1951	dsValue.length != nR
1952	rows <= cols
1953	objectiveValue.length != target.length
1954	m instanceof DiagonalMatrix
1881	++iterations > maxIterations
2599	data == null
2600	data.length != nobs * (nvars + 1)
2601	nobs <= nvars
2602	noIntercept
2603	y == null
2604	y.length == 0
2605	x == null
2606	x.length == 0
2607	noIntercept
2608	x[i].length != nVars
2609	x == null
2609	y == null
2610	x.length != y.length
2611	x.length == 0
2612	x[0].length + 1 > x.length
2613	x.length != covariance.length
2614	covariance.length != covariance[0].length
2614	covariance.length > 0
1248	sampleSize <= 0
3579	supportedName.equals(name)
3580	isSupported(name)
3129	i > 0
3130	bytesOut == bytes.length
3131	n <= 0
3132	Double.isNaN(cachedNormalDeviate)
3133	s != 0
1277	x0 > x1
1278	p < 0.0
1278	p > 1.0
1279	p == 0.0
1280	p == 1.0
1281	lowerBound == Double.NEGATIVE_INFINITY
1282	chebyshevApplies
1283	upperBound == Double.POSITIVE_INFINITY
1284	chebyshevApplies
1285	isSupportConnected()
1286	x - dx >= getSupportLowerBound()
1287	cumulativeProbability(x - dx) == px
1288	cumulativeProbability(midPoint) < px
1289	sampleSize <= 0
1408	rowDimension < 1
1409	columnDimension < 1
1410	p < 0
1411	isSquare()
1412	p == 0
1413	p == 1
1414	binaryRepresentation[i] == '1'
1415	maxI == -1
1416	destination.length < rowsCount
1416	destination[0].length < columnsCount
1417	destination[i].length < columnsCount
1418	destination.length < selectedRows.length
