id	oracle
25	type == null
26	locale == null
27	pattern == null
28	pattern == null
0	thisMillis < otherMillis
1	thisMillis > otherMillis
2	duration == null
3	duration == null
4	duration == null
5	this == duration
6	duration instanceof ReadableDuration == false
7	(millis / 1000) * 1000 == millis
55	type == null
56	type == null
57	field == null
58	this == readableInstant
59	readableInstant instanceof ReadableInstant == false
60	this == other
61	thisMillis == otherMillis
62	thisMillis < otherMillis
63	formatter == null
86	end < start
87	instant == null
88	interval == null
89	interval == null
90	instant == null
91	interval == null
92	instant == null
93	interval == null
94	durMillis == 0
95	this == readableInterval
96	readableInterval instanceof ReadableInterval == false
8	getFieldType(i) == type
9	index == -1
10	getFieldType(i).getDurationType() == type
11	index == -1
12	this == partial
13	partial instanceof ReadablePartial == false
14	size() != other.size()
15	getValue(i) != other.getValue(i)
15	getFieldType(i) != other.getFieldType(i)
16	this == other
17	size() != other.size()
18	getFieldType(i) != other.getFieldType(i)
19	getValue(i) > other.getValue(i)
20	getValue(i) < other.getValue(i)
21	partial == null
22	partial == null
23	partial == null
24	formatter == null
978	instant == null
979	thisValue < otherValue
980	thisValue > otherValue
981	partial == null
982	thisValue < otherValue
983	thisValue > otherValue
984	this == object
985	object instanceof AbstractPartialFieldProperty == false
64	index == -1
65	this == period
66	period instanceof ReadablePeriod == false
67	size() != other.size()
68	getFieldType(i) != other.getFieldType(i)
68	getValue(i) != other.getValue(i)
69	formatter == null
968	instant == null
969	instant == null
970	instant == null
971	thisValue < otherValue
972	thisValue > otherValue
973	partial == null
974	thisValue < otherValue
975	thisValue > otherValue
976	this == object
977	object instanceof AbstractReadableInstantFieldProperty == false
337	(base = iBase) != null
338	(base = iBase) != null
338	(iBaseFlags & 6) == 6
339	(base = iBase) != null
339	(iBaseFlags & 5) == 5
340	(base = iBase) != null
340	(iBaseFlags & 1) == 1
341	iBase != null
342	iBase == null
218	value < field.getMinimumValue()
219	value > field.getMaximumValue()
220	value < field.getMinimumValue(partial, values)
221	value > field.getMaximumValue(partial, values)
222	startInstant != endInstant
223	duration != 0
224	field.isPrecise()
225	period != null
225	scalar != 0
226	value != 0
227	duration == 0
227	scalar == 0
921	type == null
922	valueToAdd == 0
923	proposed <= max
924	nextField == null
925	fieldIndex == 0
926	getRangeDurationField().getType() != nextField.getDurationField().getType()
927	proposed >= min
928	nextField == null
929	fieldIndex == 0
930	getRangeDurationField().getType() != nextField.getDurationField().getType()
931	valueToAdd == 0
932	proposed <= max
933	nextField == null
934	fieldIndex == 0
935	getRangeDurationField().getType() != nextField.getDurationField().getType()
936	proposed >= min
937	nextField == null
938	fieldIndex == 0
939	getRangeDurationField().getType() != nextField.getDurationField().getType()
940	values[i] > field.getMaximumValue(partial, values)
941	values[i] < field.getMinimumValue(partial, values)
942	max >= 0
943	max < 10
944	max < 100
945	max < 1000
946	newInstant != instant
947	diffFromFloor <= diffToCeiling
948	diffToCeiling <= diffFromFloor
949	diffFromFloor < diffToCeiling
950	diffToCeiling < diffFromFloor
951	(get(ceiling) & 1) == 0
49	start == end
957	type == null
958	thisMillis == otherMillis
959	thisMillis < otherMillis
50	start == null
50	end == null
51	period == null
52	period == null
53	converter.isReadableInterval(interval, chrono)
54	this instanceof ReadWritableInterval
29	pattern == null
30	pattern == null
31	startInstant == null
31	endInstant == null
32	start == null
32	end == null
33	end instanceof BaseLocal
33	start.getClass() == end.getClass()
33	start instanceof BaseLocal
34	start.size() != end.size()
35	start.getFieldType(i) != end.getFieldType(i)
36	DateTimeUtils.isContiguous(start) == false
37	this instanceof ReadWritablePeriod
38	index == -1
39	newValue != 0
40	period == null
41	index == -1
42	value != 0
42	field == null
43	index == -1
44	value != 0
44	field == null
45	period != null
46	period != null
47	value != 0
48	index == -1
70	start == null
70	end == null
71	start == null
71	end == null
72	start.size() != end.size()
73	start.getFieldType(i) != end.getFieldType(i)
74	DateTimeUtils.isContiguous(start) == false
75	period == null
76	value != 0
77	field.isPrecise() == false
78	index != 0
79	index != 0
80	type == getFieldType()
81	this == period
82	period instanceof ReadablePeriod == false
83	other.getClass() != getClass()
84	thisValue > otherValue
85	thisValue < otherValue
118	minDaysInFirstWeek > 7
118	minDaysInFirstWeek < 1
119	(base = getBase()) != null
120	(base = getBase()) != null
121	(base = getBase()) != null
122	index >= 0
123	zone != null
124	getMinimumDaysInFirstWeek() != 4
125	jan1dayOfWeek > (8 - iMinDaysInFirstWeek)
126	i2 < 0
127	diff < 0
128	diff >= DateTimeConstants.MILLIS_PER_DAY * 365L
129	isLeapYear(year)
130	yearStart <= instant
131	week == 1
132	week > 51
133	instant < firstWeekMillis1
134	instant >= firstWeekMillis2
135	instant >= 0
136	daysSince19700101 < -3
137	instant >= 0
138	info == null
138	info.iYear != year
