id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	13	8	ASMUtils.java	isAndroid	vmName	String	PARAM_AS	1	1	NO_USE	1
0	13	8	ASMUtils.java	isAndroid	THIS	ASMUtils	UNKNOWN_AS	0	0	NO_USE	0
1	37	8	ASMUtils.java	desc	returnType	Class<?>	PARAM_AS	1	2	PARAM_USE	1
1	37	8	ASMUtils.java	desc	THIS	ASMUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
2	39	15	ASMUtils.java	desc	returnType	Class<?>	PARAM_AS	1	2	CLALLER_USE	1
2	39	15	ASMUtils.java	desc	THIS	ASMUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
3	47	8	ASMUtils.java	type	parameterType	Class<?>	PARAM_AS	1	2	CLALLER_USE	1
3	47	8	ASMUtils.java	type	THIS	ASMUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
4	50	12	ASMUtils.java	type	parameterType	Class<?>	PARAM_AS	1	2	CLALLER_USE	1
4	50	12	ASMUtils.java	type	THIS	ASMUtils	UNKNOWN_AS	0	0	CLALLER_USE	0
5	61	8	ASMUtils.java	getPrimitiveLetter	type	Class<?>	PARAM_AS	1	9	==	1
5	61	8	ASMUtils.java	getPrimitiveLetter	THIS	ASMUtils	UNKNOWN_AS	0	0	NO_USE	0
6	63	15	ASMUtils.java	getPrimitiveLetter	type	Class<?>	PARAM_AS	1	9	==	1
6	63	15	ASMUtils.java	getPrimitiveLetter	THIS	ASMUtils	UNKNOWN_AS	0	0	NO_USE	0
7	65	15	ASMUtils.java	getPrimitiveLetter	type	Class<?>	PARAM_AS	1	9	==	1
7	65	15	ASMUtils.java	getPrimitiveLetter	THIS	ASMUtils	UNKNOWN_AS	0	0	NO_USE	0
8	67	15	ASMUtils.java	getPrimitiveLetter	type	Class<?>	PARAM_AS	1	9	==	1
8	67	15	ASMUtils.java	getPrimitiveLetter	THIS	ASMUtils	UNKNOWN_AS	0	0	NO_USE	0
9	69	15	ASMUtils.java	getPrimitiveLetter	type	Class<?>	PARAM_AS	1	9	==	1
9	69	15	ASMUtils.java	getPrimitiveLetter	THIS	ASMUtils	UNKNOWN_AS	0	0	NO_USE	0
10	71	15	ASMUtils.java	getPrimitiveLetter	type	Class<?>	PARAM_AS	1	9	==	1
10	71	15	ASMUtils.java	getPrimitiveLetter	THIS	ASMUtils	UNKNOWN_AS	0	0	NO_USE	0
11	73	15	ASMUtils.java	getPrimitiveLetter	type	Class<?>	PARAM_AS	1	9	==	1
