id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	229	4	RemoteInput.java	run	THIS	RemoteInput	LITERAL	0	2	FIELD_USE	1
1	238	4	RemoteInput.java	run	socket	Socket	accept()	0	0	NO_USE	0
1	238	4	RemoteInput.java	run	THIS	RemoteInput	LITERAL	0	2	FIELD_USE	1
2	383	2	RemoteInput.java	isButtonPressed	button	int	PARAM_AS	1	1	NO_USE	1
2	383	2	RemoteInput.java	isButtonPressed	THIS	RemoteInput	UNKNOWN_AS	0	1	NO_USE	0
3	385	3	RemoteInput.java	isButtonPressed	i	int	0	0	1	NO_USE	1
3	385	3	RemoteInput.java	isButtonPressed	button	int	PARAM_AS	1	1	NO_USE	0
3	385	3	RemoteInput.java	isButtonPressed	THIS	RemoteInput	UNKNOWN_AS	0	1	NO_USE	1
4	391	2	RemoteInput.java	isKeyPressed	key	int	PARAM_AS	1	3	NO_USE	1
4	391	2	RemoteInput.java	isKeyPressed	THIS	RemoteInput	UNKNOWN_AS	0	0	FIELD_USE	0
5	394	2	RemoteInput.java	isKeyPressed	key	int	PARAM_AS	1	3	NO_USE	1
5	394	2	RemoteInput.java	isKeyPressed	THIS	RemoteInput	UNKNOWN_AS	0	0	NO_USE	0
6	402	2	RemoteInput.java	isKeyJustPressed	key	int	PARAM_AS	1	3	NO_USE	1
6	402	2	RemoteInput.java	isKeyJustPressed	THIS	RemoteInput	UNKNOWN_AS	0	0	FIELD_USE	0
7	405	2	RemoteInput.java	isKeyJustPressed	key	int	PARAM_AS	1	3	NO_USE	1
7	405	2	RemoteInput.java	isKeyJustPressed	THIS	RemoteInput	UNKNOWN_AS	0	0	NO_USE	0
8	488	2	RemoteInput.java	isPeripheralAvailable	peripheral	Peripheral	PARAM_AS	1	3	NO_USE	1
8	488	2	RemoteInput.java	isPeripheralAvailable	THIS	RemoteInput	UNKNOWN_AS	0	6	NO_USE	1
9	489	2	RemoteInput.java	isPeripheralAvailable	peripheral	Peripheral	PARAM_AS	1	3	NO_USE	1
9	489	2	RemoteInput.java	isPeripheralAvailable	THIS	RemoteInput	UNKNOWN_AS	0	6	NO_USE	1
10	490	2	RemoteInput.java	isPeripheralAvailable	peripheral	Peripheral	PARAM_AS	1	3	NO_USE	1
10	490	2	RemoteInput.java	isPeripheralAvailable	THIS	RemoteInput	UNKNOWN_AS	0	6	FIELD_USE	1
11	90	2	GestureDetector.java	touchDown	x	float	PARAM_AS	1	0	NO_USE	0
11	90	2	GestureDetector.java	touchDown	y	float	PARAM_AS	1	0	NO_USE	0
11	90	2	GestureDetector.java	touchDown	pointer	int	PARAM_AS	1	2	NO_USE	1
11	90	2	GestureDetector.java	touchDown	button	int	PARAM_AS	1	0	NO_USE	0
11	90	2	GestureDetector.java	touchDown	THIS	GestureDetector	UNKNOWN_AS	0	2	NO_USE	0
12	92	2	GestureDetector.java	touchDown	x	float	PARAM_AS	1	0	PARAM_USE	0
12	92	2	GestureDetector.java	touchDown	y	float	PARAM_AS	1	0	PARAM_USE	0
12	92	2	GestureDetector.java	touchDown	pointer	int	PARAM_AS	1	2	NO_USE	1
12	92	2	GestureDetector.java	touchDown	button	int	PARAM_AS	1	0	NO_USE	0
12	92	2	GestureDetector.java	touchDown	THIS	GestureDetector	UNKNOWN_AS	0	2	FIELD_USE	0
13	96	3	GestureDetector.java	touchDown	x	float	PARAM_AS	1	0	OTHER_USE	0
13	96	3	GestureDetector.java	touchDown	y	float	PARAM_AS	1	0	OTHER_USE	0
13	96	3	GestureDetector.java	touchDown	pointer	int	PARAM_AS	1	2	NO_USE	0
13	96	3	GestureDetector.java	touchDown	button	int	PARAM_AS	1	0	NO_USE	0
13	96	3	GestureDetector.java	touchDown	THIS	GestureDetector	getCurrentEventTime()	0	2	FIELD_USE	1
14	110	4	GestureDetector.java	touchDown	x	float	PARAM_AS	1	0	NO_USE	0
14	110	4	GestureDetector.java	touchDown	y	float	PARAM_AS	1	0	NO_USE	0
14	110	4	GestureDetector.java	touchDown	pointer	int	PARAM_AS	1	2	NO_USE	0
14	110	4	GestureDetector.java	touchDown	button	int	PARAM_AS	1	0	NO_USE	0
14	110	4	GestureDetector.java	touchDown	THIS	GestureDetector	NAME	0	2	FIELD_USE	1
15	130	2	GestureDetector.java	touchDragged	x	float	PARAM_AS	1	1	NO_USE	0
15	130	2	GestureDetector.java	touchDragged	y	float	PARAM_AS	1	1	NO_USE	0
15	130	2	GestureDetector.java	touchDragged	pointer	int	PARAM_AS	1	2	NO_USE	1
15	130	2	GestureDetector.java	touchDragged	THIS	GestureDetector	UNKNOWN_AS	0	6	NO_USE	0
16	131	2	GestureDetector.java	touchDragged	x	float	PARAM_AS	1	1	NO_USE	0
16	131	2	GestureDetector.java	touchDragged	y	float	PARAM_AS	1	1	NO_USE	0
16	131	2	GestureDetector.java	touchDragged	pointer	int	PARAM_AS	1	2	NO_USE	0
16	131	2	GestureDetector.java	touchDragged	THIS	GestureDetector	UNKNOWN_AS	0	6	NO_USE	1
17	133	2	GestureDetector.java	touchDragged	x	float	PARAM_AS	1	1	PARAM_USE	0
17	133	2	GestureDetector.java	touchDragged	y	float	PARAM_AS	1	1	PARAM_USE	0
17	133	2	GestureDetector.java	touchDragged	pointer	int	PARAM_AS	1	2	NO_USE	1
17	133	2	GestureDetector.java	touchDragged	THIS	GestureDetector	UNKNOWN_AS	0	6	FIELD_USE	0
18	139	2	GestureDetector.java	touchDragged	x	float	PARAM_AS	1	1	NO_USE	0
18	139	2	GestureDetector.java	touchDragged	y	float	PARAM_AS	1	1	NO_USE	0
18	139	2	GestureDetector.java	touchDragged	pointer	int	PARAM_AS	1	2	NO_USE	0
18	139	2	GestureDetector.java	touchDragged	THIS	GestureDetector	UNKNOWN_AS	0	6	FIELD_USE	1
19	140	3	GestureDetector.java	touchDragged	x	float	PARAM_AS	1	1	NO_USE	0
19	140	3	GestureDetector.java	touchDragged	y	float	PARAM_AS	1	1	NO_USE	0
19	140	3	GestureDetector.java	touchDragged	pointer	int	PARAM_AS	1	2	NO_USE	0
19	140	3	GestureDetector.java	touchDragged	THIS	GestureDetector	UNKNOWN_AS	0	6	FIELD_USE	1
