id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	104	4	ServiceMethod.java	toRequest	requestBuilder	RequestBuilder	CLASS_INSTANCE_CREATION	0	0	NO_USE	0
0	104	4	ServiceMethod.java	toRequest	handlers	ParameterHandler<Object>[]	CAST	0	1	OTHER_USE	1
0	104	4	ServiceMethod.java	toRequest	argumentCount	int	OTHERS	0	1	+	1
0	104	4	ServiceMethod.java	toRequest	args	Object	PARAM_AS	1	0	NO_USE	0
0	104	4	ServiceMethod.java	toRequest	THIS	ServiceMethod	UNKNOWN_AS	0	1	FIELD_USE	1
1	778	4	ServiceMethod.java	boxIfPrimitive	type	Class<?>	PARAM_AS	1	8	NO_USE	1
1	778	4	ServiceMethod.java	boxIfPrimitive	THIS	ServiceMethod	UNKNOWN_AS	0	0	NO_USE	0
2	779	4	ServiceMethod.java	boxIfPrimitive	type	Class<?>	PARAM_AS	1	8	NO_USE	1
2	779	4	ServiceMethod.java	boxIfPrimitive	THIS	ServiceMethod	UNKNOWN_AS	0	0	NO_USE	0
3	780	4	ServiceMethod.java	boxIfPrimitive	type	Class<?>	PARAM_AS	1	8	NO_USE	1
3	780	4	ServiceMethod.java	boxIfPrimitive	THIS	ServiceMethod	UNKNOWN_AS	0	0	NO_USE	0
4	781	4	ServiceMethod.java	boxIfPrimitive	type	Class<?>	PARAM_AS	1	8	NO_USE	1
4	781	4	ServiceMethod.java	boxIfPrimitive	THIS	ServiceMethod	UNKNOWN_AS	0	0	NO_USE	0
5	782	4	ServiceMethod.java	boxIfPrimitive	type	Class<?>	PARAM_AS	1	8	NO_USE	1
5	782	4	ServiceMethod.java	boxIfPrimitive	THIS	ServiceMethod	UNKNOWN_AS	0	0	NO_USE	0
6	783	4	ServiceMethod.java	boxIfPrimitive	type	Class<?>	PARAM_AS	1	8	NO_USE	1
6	783	4	ServiceMethod.java	boxIfPrimitive	THIS	ServiceMethod	UNKNOWN_AS	0	0	NO_USE	0
7	784	4	ServiceMethod.java	boxIfPrimitive	type	Class<?>	PARAM_AS	1	8	NO_USE	1
7	784	4	ServiceMethod.java	boxIfPrimitive	THIS	ServiceMethod	UNKNOWN_AS	0	0	NO_USE	0
8	785	4	ServiceMethod.java	boxIfPrimitive	type	Class<?>	PARAM_AS	1	8	NO_USE	1
8	785	4	ServiceMethod.java	boxIfPrimitive	THIS	ServiceMethod	UNKNOWN_AS	0	0	NO_USE	0
9	42	4	Utils.java	getRawType	type	Type	PARAM_AS	1	5	OTHER_USE	1
9	42	4	Utils.java	getRawType	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
10	46	4	Utils.java	getRawType	type	Type	PARAM_AS	1	5	OTHER_USE	1
10	46	4	Utils.java	getRawType	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
11	52	6	Utils.java	getRawType	parameterizedType	ParameterizedType	CAST	0	0	NO_USE	0
11	52	6	Utils.java	getRawType	rawType	Type	getRawType()	0	1	NO_USE	1
11	52	6	Utils.java	getRawType	type	Type	PARAM_AS	1	5	NO_USE	0
11	52	6	Utils.java	getRawType	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
12	55	4	Utils.java	getRawType	type	Type	PARAM_AS	1	5	OTHER_USE	1
12	55	4	Utils.java	getRawType	THIS	Utils	UNKNOWN_AS	0	0	CLALLER_USE	0
13	59	4	Utils.java	getRawType	type	Type	PARAM_AS	1	5	NO_USE	1
13	59	4	Utils.java	getRawType	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
14	64	4	Utils.java	getRawType	type	Type	PARAM_AS	1	5	OTHER_USE	1
14	64	4	Utils.java	getRawType	THIS	Utils	UNKNOWN_AS	0	0	CLALLER_USE	0
15	74	4	Utils.java	equals	a	Type	PARAM_AS	1	6	OTHER_USE	1
15	74	4	Utils.java	equals	b	Type	PARAM_AS	1	5	PARAM_USE	1
15	74	4	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	CLALLER_USE	0
16	77	11	Utils.java	equals	a	Type	PARAM_AS	1	6	CLALLER_USE	1
16	77	11	Utils.java	equals	b	Type	PARAM_AS	1	5	PARAM_USE	0
16	77	11	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	CLALLER_USE	0
17	80	11	Utils.java	equals	a	Type	PARAM_AS	1	6	OTHER_USE	1
17	80	11	Utils.java	equals	b	Type	PARAM_AS	1	5	OTHER_USE	0
17	80	11	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	CLALLER_USE	0
18	81	6	Utils.java	equals	a	Type	PARAM_AS	1	6	NO_USE	0
18	81	6	Utils.java	equals	b	Type	PARAM_AS	1	5	NO_USE	1
18	81	6	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
19	88	11	Utils.java	equals	a	Type	PARAM_AS	1	6	OTHER_USE	1
19	88	11	Utils.java	equals	b	Type	PARAM_AS	1	5	OTHER_USE	0
19	88	11	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	CLALLER_USE	0
20	89	6	Utils.java	equals	a	Type	PARAM_AS	1	6	NO_USE	0
20	89	6	Utils.java	equals	b	Type	PARAM_AS	1	5	NO_USE	1
20	89	6	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
21	94	11	Utils.java	equals	a	Type	PARAM_AS	1	6	OTHER_USE	1
21	94	11	Utils.java	equals	b	Type	PARAM_AS	1	5	OTHER_USE	0
21	94	11	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
22	95	6	Utils.java	equals	a	Type	PARAM_AS	1	6	NO_USE	0
22	95	6	Utils.java	equals	b	Type	PARAM_AS	1	5	NO_USE	1
22	95	6	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
23	101	11	Utils.java	equals	a	Type	PARAM_AS	1	6	OTHER_USE	1
23	101	11	Utils.java	equals	b	Type	PARAM_AS	1	5	OTHER_USE	0
23	101	11	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
24	102	6	Utils.java	equals	a	Type	PARAM_AS	1	6	NO_USE	0
24	102	6	Utils.java	equals	b	Type	PARAM_AS	1	5	NO_USE	1
24	102	6	Utils.java	equals	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
25	119	4	Utils.java	getGenericSupertype	context	Type	PARAM_AS	1	0	RET_USE	0
25	119	4	Utils.java	getGenericSupertype	rawType	Class<?>	PARAM_AS	1	2	NO_USE	1
25	119	4	Utils.java	getGenericSupertype	toResolve	Class<?>	PARAM_AS	1	6	NO_USE	1
25	119	4	Utils.java	getGenericSupertype	THIS	Utils	UNKNOWN_AS	0	0	NO_USE	0
26	122	4	Utils.java	getGenericSupertype	context	Type	PARAM_AS	1	0	NO_USE	0
26	122	4	Utils.java	getGenericSupertype	rawType	Class<?>	PARAM_AS	1	2	CLALLER_USE	0
26	122	4	Utils.java	getGenericSupertype	toResolve	Class<?>	PARAM_AS	1	6	==	1
26	122	4	Utils.java	getGenericSupertype	THIS	Utils	UNKNOWN_AS	0	0	FIELD_USE	0
