id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	66	4	RGBLuminanceSource.java	RGBLuminanceSource	pixels	byte[]	PARAM_AS	1	0	NO_USE	0
0	66	4	RGBLuminanceSource.java	RGBLuminanceSource	dataWidth	int	PARAM_AS	1	1	NO_USE	1
0	66	4	RGBLuminanceSource.java	RGBLuminanceSource	dataHeight	int	PARAM_AS	1	1	NO_USE	1
0	66	4	RGBLuminanceSource.java	RGBLuminanceSource	left	int	PARAM_AS	1	1	NO_USE	1
0	66	4	RGBLuminanceSource.java	RGBLuminanceSource	top	int	PARAM_AS	1	1	NO_USE	1
0	66	4	RGBLuminanceSource.java	RGBLuminanceSource	width	int	PARAM_AS	1	1	NO_USE	1
0	66	4	RGBLuminanceSource.java	RGBLuminanceSource	height	int	PARAM_AS	1	1	NO_USE	1
0	66	4	RGBLuminanceSource.java	RGBLuminanceSource	THIS	RGBLuminanceSource	UNKNOWN_AS	0	0	NO_USE	0
1	78	4	RGBLuminanceSource.java	getRow	y	int	PARAM_AS	1	2	+	1
1	78	4	RGBLuminanceSource.java	getRow	row	byte[]	PARAM_AS	1	2	NO_USE	0
1	78	4	RGBLuminanceSource.java	getRow	THIS	RGBLuminanceSource	UNKNOWN_AS	0	2	NO_USE	1
2	82	4	RGBLuminanceSource.java	getRow	width	int	getWidth()	0	1	OTHER_USE	1
2	82	4	RGBLuminanceSource.java	getRow	y	int	PARAM_AS	1	2	NO_USE	0
2	82	4	RGBLuminanceSource.java	getRow	row	byte[]	PARAM_AS	1	2	NO_USE	1
2	82	4	RGBLuminanceSource.java	getRow	THIS	RGBLuminanceSource	UNKNOWN_AS	0	2	NO_USE	1
3	97	4	RGBLuminanceSource.java	getMatrix	width	int	getWidth()	0	2	NO_USE	1
3	97	4	RGBLuminanceSource.java	getMatrix	height	int	getHeight()	0	1	NO_USE	1
3	97	4	RGBLuminanceSource.java	getMatrix	THIS	RGBLuminanceSource	UNKNOWN_AS	0	3	FIELD_USE	1
4	106	4	RGBLuminanceSource.java	getMatrix	width	int	getWidth()	0	2	NO_USE	1
4	106	4	RGBLuminanceSource.java	getMatrix	height	int	getHeight()	0	1	NO_USE	0
4	106	4	RGBLuminanceSource.java	getMatrix	area	int	*	0	0	PARAM_USE	0
4	106	4	RGBLuminanceSource.java	getMatrix	matrix	byte[]	ARRAY_CREATION	0	0	PARAM_USE	0
4	106	4	RGBLuminanceSource.java	getMatrix	inputOffset	int	+	0	0	PARAM_USE	0
4	106	4	RGBLuminanceSource.java	getMatrix	THIS	RGBLuminanceSource	UNKNOWN_AS	0	3	FIELD_USE	1
5	82	4	MultiFormatReader.java	decodeWithState	image	BinaryBitmap	PARAM_AS	1	0	NO_USE	0
5	82	4	MultiFormatReader.java	decodeWithState	THIS	MultiFormatReader	UNKNOWN_AS	0	1	CLALLER_USE	1
6	103	4	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	!x	0
6	103	4	MultiFormatReader.java	setHints	formats	Collection<BarcodeFormat>	OTHERS	0	6	CLALLER_USE	1
6	103	4	MultiFormatReader.java	setHints	readers	Collection<Reader>	CLASS_INSTANCE_CREATION	0	1	CLALLER_USE	0
6	103	4	MultiFormatReader.java	setHints	hints	Map<DecodeHintType,?>	PARAM_AS	1	0	OTHER_USE	0
6	103	4	MultiFormatReader.java	setHints	THIS	MultiFormatReader	NAME	0	6	FIELD_USE	0
7	117	6	MultiFormatReader.java	setHints	addOneDReader	boolean	||	0	2	NO_USE	1
7	117	6	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	NO_USE	1
7	117	6	MultiFormatReader.java	setHints	formats	Collection<BarcodeFormat>	OTHERS	0	6	NO_USE	0
7	117	6	MultiFormatReader.java	setHints	readers	Collection<Reader>	CLASS_INSTANCE_CREATION	0	1	CLALLER_USE	0
7	117	6	MultiFormatReader.java	setHints	hints	Map<DecodeHintType,?>	PARAM_AS	1	0	OTHER_USE	0
7	117	6	MultiFormatReader.java	setHints	THIS	MultiFormatReader	NAME	0	6	NO_USE	0
8	120	6	MultiFormatReader.java	setHints	addOneDReader	boolean	||	0	2	NO_USE	0
8	120	6	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	NO_USE	0
8	120	6	MultiFormatReader.java	setHints	formats	Collection<BarcodeFormat>	OTHERS	0	6	NO_USE	1
8	120	6	MultiFormatReader.java	setHints	readers	Collection<Reader>	CLASS_INSTANCE_CREATION	0	1	CLALLER_USE	0
8	120	6	MultiFormatReader.java	setHints	hints	Map<DecodeHintType,?>	PARAM_AS	1	0	NO_USE	0
8	120	6	MultiFormatReader.java	setHints	THIS	MultiFormatReader	NAME	0	6	NO_USE	1
9	123	6	MultiFormatReader.java	setHints	addOneDReader	boolean	||	0	2	NO_USE	0
9	123	6	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	NO_USE	0
9	123	6	MultiFormatReader.java	setHints	formats	Collection<BarcodeFormat>	OTHERS	0	6	NO_USE	1
9	123	6	MultiFormatReader.java	setHints	readers	Collection<Reader>	CLASS_INSTANCE_CREATION	0	1	CLALLER_USE	0
9	123	6	MultiFormatReader.java	setHints	hints	Map<DecodeHintType,?>	PARAM_AS	1	0	NO_USE	0
9	123	6	MultiFormatReader.java	setHints	THIS	MultiFormatReader	NAME	0	6	NO_USE	1
10	126	6	MultiFormatReader.java	setHints	addOneDReader	boolean	||	0	2	NO_USE	0
10	126	6	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	NO_USE	0
10	126	6	MultiFormatReader.java	setHints	formats	Collection<BarcodeFormat>	OTHERS	0	6	NO_USE	1
10	126	6	MultiFormatReader.java	setHints	readers	Collection<Reader>	CLASS_INSTANCE_CREATION	0	1	CLALLER_USE	0
10	126	6	MultiFormatReader.java	setHints	hints	Map<DecodeHintType,?>	PARAM_AS	1	0	NO_USE	0
10	126	6	MultiFormatReader.java	setHints	THIS	MultiFormatReader	NAME	0	6	NO_USE	1
11	129	6	MultiFormatReader.java	setHints	addOneDReader	boolean	||	0	2	NO_USE	0
11	129	6	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	NO_USE	0
11	129	6	MultiFormatReader.java	setHints	formats	Collection<BarcodeFormat>	OTHERS	0	6	NO_USE	1
11	129	6	MultiFormatReader.java	setHints	readers	Collection<Reader>	CLASS_INSTANCE_CREATION	0	1	CLALLER_USE	0
11	129	6	MultiFormatReader.java	setHints	hints	Map<DecodeHintType,?>	PARAM_AS	1	0	NO_USE	0
11	129	6	MultiFormatReader.java	setHints	THIS	MultiFormatReader	NAME	0	6	NO_USE	1
12	132	6	MultiFormatReader.java	setHints	addOneDReader	boolean	||	0	2	NO_USE	0
12	132	6	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	NO_USE	0
12	132	6	MultiFormatReader.java	setHints	formats	Collection<BarcodeFormat>	OTHERS	0	6	NO_USE	1
12	132	6	MultiFormatReader.java	setHints	readers	Collection<Reader>	CLASS_INSTANCE_CREATION	0	1	CLALLER_USE	0
12	132	6	MultiFormatReader.java	setHints	hints	Map<DecodeHintType,?>	PARAM_AS	1	0	NO_USE	0
12	132	6	MultiFormatReader.java	setHints	THIS	MultiFormatReader	NAME	0	6	NO_USE	1
13	136	6	MultiFormatReader.java	setHints	addOneDReader	boolean	||	0	2	NO_USE	1
13	136	6	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	NO_USE	1
13	136	6	MultiFormatReader.java	setHints	formats	Collection<BarcodeFormat>	OTHERS	0	6	NO_USE	0
13	136	6	MultiFormatReader.java	setHints	readers	Collection<Reader>	CLASS_INSTANCE_CREATION	0	1	CLALLER_USE	0
13	136	6	MultiFormatReader.java	setHints	hints	Map<DecodeHintType,?>	PARAM_AS	1	0	OTHER_USE	0
13	136	6	MultiFormatReader.java	setHints	THIS	MultiFormatReader	NAME	0	6	NO_USE	0
14	140	4	MultiFormatReader.java	setHints	tryHarder	boolean	&&	0	3	!x	0
