id	line	column	filename	methodname	varname	vartype	else	return	right
26	66	8	AbstractDateTime.java	get	type	DateTimeFieldType	0	IllegalArgumentException	$ == null
27	270	8	AbstractDateTime.java	toCalendar	locale	Locale	0	DEF	$ == null
28	308	8	AbstractDateTime.java	toString	pattern	String	0	RET	$ == null
29	322	8	AbstractDateTime.java	toString	pattern	String	0	RET	$ == null
1	97	8	AbstractDuration.java	compareTo	thisMillis	long	0	RET	$ < otherMillis
1	97	8	AbstractDuration.java	compareTo	otherMillis	long	0	RET	thisMillis < $
2	100	8	AbstractDuration.java	compareTo	thisMillis	long	0	RET	$ > otherMillis
2	100	8	AbstractDuration.java	compareTo	otherMillis	long	0	RET	thisMillis > $
3	113	8	AbstractDuration.java	isEqual	duration	ReadableDuration	0	DEF	$ == null
4	126	8	AbstractDuration.java	isLongerThan	duration	ReadableDuration	0	DEF	$ == null
5	139	8	AbstractDuration.java	isShorterThan	duration	ReadableDuration	0	DEF	$ == null
6	154	8	AbstractDuration.java	equals	THIS	AbstractDuration	0	RET	$ == duration
6	154	8	AbstractDuration.java	equals	duration	Object	0	RET	this == $
7	157	8	AbstractDuration.java	equals	duration	Object	0	RET	$ instanceof ReadableDuration == false
47100	194	8	AbstractDuration.java	toString	buf	StringBuffer	0	NIL-WHILE	$.length() < (negative ? 7 : 6)
47100	194	8	AbstractDuration.java	toString	negative	boolean	0	NIL-WHILE	buf.length() < ($ ? 7 : 6)
8	197	8	AbstractDuration.java	toString	millis	long	1	DEF	($ / 1000) * 1000 == $
56	89	8	AbstractInstant.java	get	type	DateTimeFieldType	0	IllegalArgumentException	$ == null
57	103	8	AbstractInstant.java	isSupported	type	DateTimeFieldType	0	RET	$ == null
58	124	8	AbstractInstant.java	get	field	DateTimeField	0	IllegalArgumentException	$ == null
59	259	8	AbstractInstant.java	equals	THIS	AbstractInstant	0	RET	$ == readableInstant
59	259	8	AbstractInstant.java	equals	readableInstant	Object	0	RET	this == $
60	262	8	AbstractInstant.java	equals	readableInstant	Object	0	RET	$ instanceof ReadableInstant == false
61	296	8	AbstractInstant.java	compareTo	THIS	AbstractInstant	0	RET	$ == other
61	296	8	AbstractInstant.java	compareTo	other	ReadableInstant	0	RET	this == $
62	304	8	AbstractInstant.java	compareTo	otherMillis	long	0	RET	thisMillis == $
62	304	8	AbstractInstant.java	compareTo	thisMillis	long	0	RET	$ == otherMillis
63	307	8	AbstractInstant.java	compareTo	otherMillis	long	1	RET	thisMillis < $
63	307	8	AbstractInstant.java	compareTo	thisMillis	long	1	RET	$ < otherMillis
64	436	8	AbstractInstant.java	toString	formatter	DateTimeFormatter	0	RET	$ == null
87	62	8	AbstractInterval.java	checkInterval	start	long	0	IllegalArgumentException	end < $
87	62	8	AbstractInterval.java	checkInterval	end	long	0	IllegalArgumentException	$ < start
88	138	8	AbstractInterval.java	contains	instant	ReadableInstant	0	RET	$ == null
89	179	8	AbstractInterval.java	contains	interval	ReadableInterval	0	RET	$ == null
90	233	8	AbstractInterval.java	overlaps	interval	ReadableInterval	1	RET	$ == null
91	291	8	AbstractInterval.java	isBefore	instant	ReadableInstant	0	RET	$ == null
92	306	8	AbstractInterval.java	isBefore	interval	ReadableInterval	0	RET	$ == null
93	346	8	AbstractInterval.java	isAfter	instant	ReadableInstant	0	RET	$ == null
94	363	8	AbstractInterval.java	isAfter	interval	ReadableInterval	1	DEF	$ == null
95	415	8	AbstractInterval.java	toDuration	durMillis	long	1	RET	$ == 0
96	464	8	AbstractInterval.java	equals	THIS	AbstractInterval	0	RET	$ == readableInterval
96	464	8	AbstractInterval.java	equals	readableInterval	Object	0	RET	this == $
97	467	8	AbstractInterval.java	equals	readableInterval	Object	0	RET	$ instanceof ReadableInterval == false
47101	91	8	AbstractPartial.java	getFieldTypes	THIS	AbstractPartial	0	NIL-FOR	i < result.$.length
47101	91	8	AbstractPartial.java	getFieldTypes	i	int	0	NIL-FOR	$ < result.length
