id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
0	96	8	AbstractDuration.java	compareTo	thisMillis	long	getMillis()	0	2	NO_USE	1
0	96	8	AbstractDuration.java	compareTo	otherMillis	long	getMillis()	0	2	NO_USE	1
0	96	8	AbstractDuration.java	compareTo	other	ReadableDuration	PARAM_AS	1	0	NO_USE	0
0	96	8	AbstractDuration.java	compareTo	THIS	AbstractDuration	UNKNOWN_AS	0	0	NO_USE	0
1	99	8	AbstractDuration.java	compareTo	thisMillis	long	getMillis()	0	2	NO_USE	1
1	99	8	AbstractDuration.java	compareTo	otherMillis	long	getMillis()	0	2	NO_USE	1
1	99	8	AbstractDuration.java	compareTo	other	ReadableDuration	PARAM_AS	1	0	NO_USE	0
1	99	8	AbstractDuration.java	compareTo	THIS	AbstractDuration	UNKNOWN_AS	0	0	NO_USE	0
2	112	8	AbstractDuration.java	isEqual	duration	ReadableDuration	PARAM_AS	1	1	NO_USE	1
2	112	8	AbstractDuration.java	isEqual	THIS	AbstractDuration	UNKNOWN_AS	0	0	NO_USE	0
3	125	8	AbstractDuration.java	isLongerThan	duration	ReadableDuration	PARAM_AS	1	1	NO_USE	1
3	125	8	AbstractDuration.java	isLongerThan	THIS	AbstractDuration	UNKNOWN_AS	0	0	NO_USE	0
4	138	8	AbstractDuration.java	isShorterThan	duration	ReadableDuration	PARAM_AS	1	1	NO_USE	1
4	138	8	AbstractDuration.java	isShorterThan	THIS	AbstractDuration	UNKNOWN_AS	0	0	NO_USE	0
5	153	8	AbstractDuration.java	equals	duration	Object	PARAM_AS	1	2	NO_USE	1
5	153	8	AbstractDuration.java	equals	THIS	AbstractDuration	UNKNOWN_AS	0	1	NO_USE	1
6	156	8	AbstractDuration.java	equals	duration	Object	PARAM_AS	1	2	NO_USE	1
6	156	8	AbstractDuration.java	equals	THIS	AbstractDuration	UNKNOWN_AS	0	1	NO_USE	0
7	195	8	AbstractDuration.java	toString	millis	long	getMillis()	0	2	NO_USE	1
7	195	8	AbstractDuration.java	toString	buf	StringBuffer	CLASS_INSTANCE_CREATION	0	0	CLALLER_USE	0
7	195	8	AbstractDuration.java	toString	negative	boolean	OTHERS	0	0	NO_USE	0
7	195	8	AbstractDuration.java	toString	THIS	AbstractDuration	UNKNOWN_AS	0	0	NO_USE	0
8	171	12	AbstractPartial.java	indexOf	i	int	0	0	1	RET_USE	1
8	171	12	AbstractPartial.java	indexOf	isize	int	size()	0	0	NO_USE	0
8	171	12	AbstractPartial.java	indexOf	type	DateTimeFieldType	PARAM_AS	1	1	NO_USE	1
8	171	12	AbstractPartial.java	indexOf	THIS	AbstractPartial	UNKNOWN_AS	0	1	NO_USE	1
9	188	8	AbstractPartial.java	indexOfSupported	index	int	indexOf()	0	1	NO_USE	1
9	188	8	AbstractPartial.java	indexOfSupported	type	DateTimeFieldType	PARAM_AS	1	0	+	0
9	188	8	AbstractPartial.java	indexOfSupported	THIS	AbstractPartial	UNKNOWN_AS	0	0	NO_USE	0
10	203	12	AbstractPartial.java	indexOf	i	int	0	0	1	RET_USE	1
10	203	12	AbstractPartial.java	indexOf	isize	int	size()	0	0	NO_USE	0
10	203	12	AbstractPartial.java	indexOf	type	DurationFieldType	PARAM_AS	1	1	NO_USE	1
10	203	12	AbstractPartial.java	indexOf	THIS	AbstractPartial	UNKNOWN_AS	0	1	NO_USE	1
11	220	8	AbstractPartial.java	indexOfSupported	index	int	indexOf()	0	1	NO_USE	1
11	220	8	AbstractPartial.java	indexOfSupported	type	DurationFieldType	PARAM_AS	1	0	+	0
11	220	8	AbstractPartial.java	indexOfSupported	THIS	AbstractPartial	UNKNOWN_AS	0	0	NO_USE	0
12	255	8	AbstractPartial.java	equals	partial	Object	PARAM_AS	1	2	NO_USE	1
12	255	8	AbstractPartial.java	equals	THIS	AbstractPartial	UNKNOWN_AS	0	4	NO_USE	1
13	258	8	AbstractPartial.java	equals	partial	Object	PARAM_AS	1	2	NO_USE	1
13	258	8	AbstractPartial.java	equals	THIS	AbstractPartial	UNKNOWN_AS	0	4	NO_USE	0
14	262	8	AbstractPartial.java	equals	other	ReadablePartial	CAST	0	3	NO_USE	1
14	262	8	AbstractPartial.java	equals	partial	Object	PARAM_AS	1	2	NO_USE	0
14	262	8	AbstractPartial.java	equals	THIS	AbstractPartial	UNKNOWN_AS	0	4	NO_USE	1
15	266	12	AbstractPartial.java	equals	i	int	0	0	4	NO_USE	1
15	266	12	AbstractPartial.java	equals	isize	int	size()	0	0	NO_USE	0
15	266	12	AbstractPartial.java	equals	other	ReadablePartial	CAST	0	3	NO_USE	1
15	266	12	AbstractPartial.java	equals	partial	Object	PARAM_AS	1	2	NO_USE	0
15	266	12	AbstractPartial.java	equals	THIS	AbstractPartial	UNKNOWN_AS	0	4	NO_USE	1
16	316	8	AbstractPartial.java	compareTo	other	ReadablePartial	PARAM_AS	1	5	NO_USE	1
16	316	8	AbstractPartial.java	compareTo	THIS	AbstractPartial	UNKNOWN_AS	0	5	NO_USE	1
17	319	8	AbstractPartial.java	compareTo	other	ReadablePartial	PARAM_AS	1	5	NO_USE	1
17	319	8	AbstractPartial.java	compareTo	THIS	AbstractPartial	UNKNOWN_AS	0	5	NO_USE	1
18	323	12	AbstractPartial.java	compareTo	i	int	0	0	2	NO_USE	1
18	323	12	AbstractPartial.java	compareTo	isize	int	size()	0	0	NO_USE	0
18	323	12	AbstractPartial.java	compareTo	other	ReadablePartial	PARAM_AS	1	5	NO_USE	1
18	323	12	AbstractPartial.java	compareTo	THIS	AbstractPartial	UNKNOWN_AS	0	5	NO_USE	1
19	329	12	AbstractPartial.java	compareTo	i	int	0	0	4	NO_USE	1
19	329	12	AbstractPartial.java	compareTo	isize	int	size()	0	0	NO_USE	0
19	329	12	AbstractPartial.java	compareTo	other	ReadablePartial	PARAM_AS	1	5	NO_USE	1
19	329	12	AbstractPartial.java	compareTo	THIS	AbstractPartial	UNKNOWN_AS	0	5	NO_USE	1
20	332	12	AbstractPartial.java	compareTo	i	int	0	0	4	NO_USE	1
20	332	12	AbstractPartial.java	compareTo	isize	int	size()	0	0	NO_USE	0
20	332	12	AbstractPartial.java	compareTo	other	ReadablePartial	PARAM_AS	1	5	NO_USE	1
20	332	12	AbstractPartial.java	compareTo	THIS	AbstractPartial	UNKNOWN_AS	0	5	NO_USE	1
21	355	8	AbstractPartial.java	isAfter	partial	ReadablePartial	PARAM_AS	1	1	NO_USE	1
21	355	8	AbstractPartial.java	isAfter	THIS	AbstractPartial	UNKNOWN_AS	0	0	NO_USE	0
22	377	8	AbstractPartial.java	isBefore	partial	ReadablePartial	PARAM_AS	1	1	NO_USE	1
22	377	8	AbstractPartial.java	isBefore	THIS	AbstractPartial	UNKNOWN_AS	0	0	NO_USE	0
23	399	8	AbstractPartial.java	isEqual	partial	ReadablePartial	PARAM_AS	1	1	NO_USE	1
23	399	8	AbstractPartial.java	isEqual	THIS	AbstractPartial	UNKNOWN_AS	0	0	NO_USE	0
24	414	8	AbstractPartial.java	toString	formatter	DateTimeFormatter	PARAM_AS	1	1	NO_USE	1
24	414	8	AbstractPartial.java	toString	THIS	AbstractPartial	UNKNOWN_AS	0	0	CLALLER_USE	0
25	66	8	AbstractDateTime.java	get	type	DateTimeFieldType	PARAM_AS	1	1	NO_USE	1
25	66	8	AbstractDateTime.java	get	THIS	AbstractDateTime	UNKNOWN_AS	0	0	NO_USE	0
26	259	8	AbstractDateTime.java	toCalendar	locale	Locale	PARAM_AS	1	1	NO_USE	1
26	259	8	AbstractDateTime.java	toCalendar	THIS	AbstractDateTime	UNKNOWN_AS	0	0	NO_USE	0
27	297	8	AbstractDateTime.java	toString	pattern	String	PARAM_AS	1	1	NO_USE	1
27	297	8	AbstractDateTime.java	toString	THIS	AbstractDateTime	UNKNOWN_AS	0	0	CLALLER_USE	0
28	311	8	AbstractDateTime.java	toString	pattern	String	PARAM_AS	1	1	NO_USE	1
28	311	8	AbstractDateTime.java	toString	locale	Locale	PARAM_AS	1	0	NO_USE	0
28	311	8	AbstractDateTime.java	toString	THIS	AbstractDateTime	UNKNOWN_AS	0	0	CLALLER_USE	0
29	283	8	BasePartial.java	toString	pattern	String	PARAM_AS	1	1	NO_USE	1
29	283	8	BasePartial.java	toString	THIS	BasePartial	UNKNOWN_AS	0	0	CLALLER_USE	0
30	297	8	BasePartial.java	toString	pattern	String	PARAM_AS	1	1	NO_USE	1
30	297	8	BasePartial.java	toString	locale	Locale	PARAM_AS	1	0	NO_USE	0
30	297	8	BasePartial.java	toString	THIS	BasePartial	UNKNOWN_AS	0	0	CLALLER_USE	0
31	114	8	BasePeriod.java	BasePeriod	startInstant	ReadableInstant	PARAM_AS	1	1	PARAM_USE	1
31	114	8	BasePeriod.java	BasePeriod	endInstant	ReadableInstant	PARAM_AS	1	1	PARAM_USE	1
31	114	8	BasePeriod.java	BasePeriod	type	PeriodType	checkPeriodType()	1	0	OTHER_USE	0
31	114	8	BasePeriod.java	BasePeriod	THIS	BasePeriod	UNKNOWN_AS	0	0	CLALLER_USE	0
32	146	8	BasePeriod.java	BasePeriod	start	ReadablePartial	PARAM_AS	1	6	NO_USE	1
32	146	8	BasePeriod.java	BasePeriod	end	ReadablePartial	PARAM_AS	1	5	NO_USE	1
32	146	8	BasePeriod.java	BasePeriod	type	PeriodType	PARAM_AS	1	0	NO_USE	0
32	146	8	BasePeriod.java	BasePeriod	THIS	BasePeriod	UNKNOWN_AS	0	0	NO_USE	0
33	149	8	BasePeriod.java	BasePeriod	start	ReadablePartial	PARAM_AS	1	6	OTHER_USE	1
33	149	8	BasePeriod.java	BasePeriod	end	ReadablePartial	PARAM_AS	1	5	OTHER_USE	1
33	149	8	BasePeriod.java	BasePeriod	type	PeriodType	PARAM_AS	1	0	PARAM_USE	0
33	149	8	BasePeriod.java	BasePeriod	THIS	BasePeriod	UNKNOWN_AS	0	0	CLALLER_USE	0
34	159	12	BasePeriod.java	BasePeriod	start	ReadablePartial	PARAM_AS	1	6	NO_USE	1
34	159	12	BasePeriod.java	BasePeriod	end	ReadablePartial	PARAM_AS	1	5	NO_USE	1
34	159	12	BasePeriod.java	BasePeriod	type	PeriodType	checkPeriodType()	1	0	NO_USE	0
34	159	12	BasePeriod.java	BasePeriod	THIS	BasePeriod	get()	0	0	NO_USE	0
35	163	16	BasePeriod.java	BasePeriod	i	int	0	0	2	NO_USE	1
35	163	16	BasePeriod.java	BasePeriod	isize	int	size()	0	0	NO_USE	0
35	163	16	BasePeriod.java	BasePeriod	start	ReadablePartial	PARAM_AS	1	6	NO_USE	1
35	163	16	BasePeriod.java	BasePeriod	end	ReadablePartial	PARAM_AS	1	5	NO_USE	1
35	163	16	BasePeriod.java	BasePeriod	type	PeriodType	checkPeriodType()	1	0	NO_USE	0
35	163	16	BasePeriod.java	BasePeriod	THIS	BasePeriod	get()	0	0	NO_USE	0
36	167	12	BasePeriod.java	BasePeriod	start	ReadablePartial	PARAM_AS	1	6	NO_USE	1
36	167	12	BasePeriod.java	BasePeriod	end	ReadablePartial	PARAM_AS	1	5	NO_USE	0
36	167	12	BasePeriod.java	BasePeriod	type	PeriodType	checkPeriodType()	1	0	NO_USE	0
36	167	12	BasePeriod.java	BasePeriod	THIS	BasePeriod	get()	0	0	NO_USE	0
