/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_expr/main.py
Training expr model for RxJava_...
Raw data size: (2209, 10)
All class num: 576
Frequent class(>1) num: 277
Frequent rows num: 1910
Training set size: (1988,)
Validation set size: (221,)
Preprossing finished, time cost : 0:00:00.035891
Data splited and saved in ../input/RxJava/expr/RxJava_.expr_train.csv and ../input/RxJava/expr/RxJava_.expr_valid.csv
Training data size: (2209, 7)
Validating data size: (221, 7)
Training the model...
[0]	train-merror:0.866003	eval-merror:0.882353
Multiple eval metrics have been passed: 'eval-merror' will be used for early stopping.

Will train until eval-merror hasn't improved in 10 rounds.
[1]	train-merror:0.817112	eval-merror:0.823529
[2]	train-merror:0.750113	eval-merror:0.746606
[3]	train-merror:0.742417	eval-merror:0.728507
[4]	train-merror:0.736985	eval-merror:0.705882
[5]	train-merror:0.72431	eval-merror:0.701357
[6]	train-merror:0.685378	eval-merror:0.678733
[7]	train-merror:0.670892	eval-merror:0.669683
[8]	train-merror:0.66048	eval-merror:0.665158
[9]	train-merror:0.656406	eval-merror:0.665158
[10]	train-merror:0.648257	eval-merror:0.647059
[11]	train-merror:0.63694	eval-merror:0.633484
[12]	train-merror:0.631055	eval-merror:0.615385
[13]	train-merror:0.619285	eval-merror:0.615385
[14]	train-merror:0.604799	eval-merror:0.606335
[15]	train-merror:0.600272	eval-merror:0.59276
[16]	train-merror:0.596197	eval-merror:0.59276
[17]	train-merror:0.58986	eval-merror:0.58371
[18]	train-merror:0.581258	eval-merror:0.570136
[19]	train-merror:0.576279	eval-merror:0.565611
[20]	train-merror:0.575826	eval-merror:0.565611
[21]	train-merror:0.574015	eval-merror:0.565611
[22]	train-merror:0.567225	eval-merror:0.561086
[23]	train-merror:0.557718	eval-merror:0.552036
[24]	train-merror:0.54957	eval-merror:0.542986
[25]	train-merror:0.54957	eval-merror:0.542986
[26]	train-merror:0.543685	eval-merror:0.538462
[27]	train-merror:0.540063	eval-merror:0.529412
[28]	train-merror:0.534631	eval-merror:0.520362
[29]	train-merror:0.52603	eval-merror:0.515837
[30]	train-merror:0.523314	eval-merror:0.515837
[31]	train-merror:0.517881	eval-merror:0.502262
[32]	train-merror:0.517429	eval-merror:0.497738
[33]	train-merror:0.510638	eval-merror:0.493213
[34]	train-merror:0.505206	eval-merror:0.470588
[35]	train-merror:0.502037	eval-merror:0.470588
[36]	train-merror:0.499774	eval-merror:0.475113
[37]	train-merror:0.496605	eval-merror:0.466063
[38]	train-merror:0.489362	eval-merror:0.461538
[39]	train-merror:0.484382	eval-merror:0.452489
[40]	train-merror:0.480308	eval-merror:0.438914
[41]	train-merror:0.477592	eval-merror:0.438914
[42]	train-merror:0.474876	eval-merror:0.443439
[43]	train-merror:0.472159	eval-merror:0.443439
[44]	train-merror:0.466727	eval-merror:0.434389
[45]	train-merror:0.464011	eval-merror:0.429864
[46]	train-merror:0.459484	eval-merror:0.425339
[47]	train-merror:0.45722	eval-merror:0.425339
