/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for RxJava_...
Dataset size: (5253, 12)
Class number: 2
Training set size: (4202, 8)
Validating set size: (1051, 8)
Positive examples : 2001
Negative examples : 3252
Preprossing finished, time cost : 0:00:00.067141
Data splited and saved in ../input/RxJava/var/RxJava_.var_train.csv and ../input/RxJava/var/RxJava_.var_valid.csv
Training set size: (5253, 9)
Validataion set size: (1051, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.233581	eval-error:0.2255
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[1]	train-error:0.21264	eval-error:0.19981
[2]	train-error:0.205216	eval-error:0.188392
[3]	train-error:0.204645	eval-error:0.187441
[4]	train-error:0.198934	eval-error:0.196955
[5]	train-error:0.199505	eval-error:0.196004
[6]	train-error:0.183895	eval-error:0.181732
[7]	train-error:0.185037	eval-error:0.179829
[8]	train-error:0.176661	eval-error:0.176974
[9]	train-error:0.174948	eval-error:0.176023
[10]	train-error:0.175138	eval-error:0.177926
[11]	train-error:0.172283	eval-error:0.170314
[12]	train-error:0.172092	eval-error:0.168411
[13]	train-error:0.171902	eval-error:0.169363
[14]	train-error:0.170569	eval-error:0.168411
[15]	train-error:0.167904	eval-error:0.160799
[16]	train-error:0.169998	eval-error:0.164605
[17]	train-error:0.168285	eval-error:0.160799
[18]	train-error:0.166	eval-error:0.160799
[19]	train-error:0.16581	eval-error:0.166508
[20]	train-error:0.167904	eval-error:0.16746
[21]	train-error:0.165239	eval-error:0.166508
[22]	train-error:0.163526	eval-error:0.162702
[23]	train-error:0.162574	eval-error:0.165557
[24]	train-error:0.160099	eval-error:0.164605
[25]	train-error:0.161051	eval-error:0.162702
[26]	train-error:0.16086	eval-error:0.163654
[27]	train-error:0.16067	eval-error:0.162702
[28]	train-error:0.160099	eval-error:0.161751
[29]	train-error:0.161241	eval-error:0.160799
[30]	train-error:0.161622	eval-error:0.162702
[31]	train-error:0.158195	eval-error:0.159848
[32]	train-error:0.159147	eval-error:0.160799
[33]	train-error:0.158386	eval-error:0.158896
[34]	train-error:0.158957	eval-error:0.159848
