/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for chart_26...
Dataset size: (55252, 12)
Class number: 2
Training set size: (44201, 8)
Validating set size: (11051, 8)
Positive examples : 10241
Negative examples : 45011
Preprossing finished, time cost : 0:00:01.476552
Data splited and saved in ../input/chart/var/chart_26.var_train.csv and ../input/chart/var/chart_26.var_valid.csv
Training set size: (55252, 9)
Validataion set size: (11051, 9)
Training the model...
[0]	train-error:0.114819	eval-error:0.116189
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[1]	train-error:0.106186	eval-error:0.107864
[2]	train-error:0.110548	eval-error:0.112931
[3]	train-error:0.106259	eval-error:0.108497
[4]	train-error:0.10501	eval-error:0.107321
[5]	train-error:0.104793	eval-error:0.106506
[6]	train-error:0.105082	eval-error:0.107049
[7]	train-error:0.104467	eval-error:0.107049
[8]	train-error:0.103562	eval-error:0.10542
[9]	train-error:0.102548	eval-error:0.104787
[10]	train-error:0.102946	eval-error:0.105239
[11]	train-error:0.101318	eval-error:0.103701
[12]	train-error:0.101788	eval-error:0.103792
[13]	train-error:0.100485	eval-error:0.102163
[14]	train-error:0.100684	eval-error:0.102525
[15]	train-error:0.100376	eval-error:0.102796
[16]	train-error:0.09958	eval-error:0.101439
[17]	train-error:0.098657	eval-error:0.100896
[18]	train-error:0.098494	eval-error:0.100805
[19]	train-error:0.098386	eval-error:0.101077
[20]	train-error:0.098042	eval-error:0.100896
[21]	train-error:0.097933	eval-error:0.100986
[22]	train-error:0.098186	eval-error:0.100986
[23]	train-error:0.09768	eval-error:0.100081
[24]	train-error:0.09768	eval-error:0.099358
[25]	train-error:0.097101	eval-error:0.098815
[26]	train-error:0.09701	eval-error:0.099448
[27]	train-error:0.096793	eval-error:0.099267
[28]	train-error:0.096684	eval-error:0.098996
[29]	train-error:0.096666	eval-error:0.098905
[30]	train-error:0.096069	eval-error:0.098272
[31]	train-error:0.096395	eval-error:0.099086
[32]	train-error:0.095888	eval-error:0.098724
[33]	train-error:0.095797	eval-error:0.098453
[34]	train-error:0.095562	eval-error:0.097819
