No 1 is right.,Right result is: $ == null.,Probability is: 0.93086963892.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0463549941778.
No 1 is right.,Right result is: $.,Probability is: 0.0226489380002.
No 1 is right.,Right result is: obj == $.,Probability is: 2.30648947763e-06.
No 1 is right.,Right result is: $ == this.,Probability is: 2.01608895622e-06.
No 1 is right.,Right result is: $.hasNext().,Probability is: 6.8240069595e-07.
No 1 is right.,Right result is: $ == PlotOrientation.HORIZONTAL.,Probability is: 3.34126582402e-07.
No 4 is right.,Right result is: $ == PlotOrientation.VERTICAL.,Probability is: 3.03338936192e-07.
No 5 is right.,Right result is: i < $.,Probability is: 1.5523340835e-07.
No 1 is right.,Right result is: $ >= 0.,Probability is: 1.34103814275e-07.
No 1 is right.,Right result is: $ == null.,Probability is: 0.962607562542.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0306789595634.
No 1 is right.,Right result is: $.,Probability is: 0.00667621195316.
No 1 is right.,Right result is: obj == $.,Probability is: 6.79882361965e-07.
No 1 is right.,Right result is: $ == this.,Probability is: 5.94281175381e-07.
No 1 is right.,Right result is: $.hasNext().,Probability is: 2.0115076893e-07.
No 1 is right.,Right result is: $ == PlotOrientation.HORIZONTAL.,Probability is: 9.84903607559e-08.
No 4 is right.,Right result is: $ == PlotOrientation.VERTICAL.,Probability is: 8.94150105069e-08.
No 5 is right.,Right result is: i < $.,Probability is: 4.57580036084e-08.
No 1 is right.,Right result is: $ >= 0.,Probability is: 3.95296915201e-08.
No 2 is right.,Right result is: $ == null.,Probability is: 0.985744535923.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0105369668454.
No 1 is right.,Right result is: $.,Probability is: 0.00369867519476.
No 1 is right.,Right result is: obj == $.,Probability is: 3.62901801054e-07.
No 1 is right.,Right result is: $ == this.,Probability is: 3.17210322009e-07.
No 1 is right.,Right result is: $.hasNext().,Probability is: 1.07368549607e-07.
No 2 is right.,Right result is: $ == PlotOrientation.HORIZONTAL.,Probability is: 5.25713481636e-08.
No 1 is right.,Right result is: $ == PlotOrientation.VERTICAL.,Probability is: 4.772718043e-08.
No 1 is right.,Right result is: i < $.,Probability is: 2.44243167913e-08.
No 1 is right.,Right result is: $ >= 0.,Probability is: 2.10998223338e-08.
No 7 is right.,Right result is: $ == null.,Probability is: 0.915808022022.
No 8 is right.,Right result is: $ != null.,Probability is: 0.0576343499124.
No 2 is right.,Right result is: $.,Probability is: 0.026410266757.
No 2 is right.,Right result is: obj == $.,Probability is: 2.68953044724e-06.
No 7 is right.,Right result is: $ == this.,Probability is: 2.35090260503e-06.
No 8 is right.,Right result is: $.hasNext().,Probability is: 7.95727601144e-07.
No 2 is right.,Right result is: $ == PlotOrientation.HORIZONTAL.,Probability is: 3.89615308904e-07.
No 2 is right.,Right result is: $ == PlotOrientation.VERTICAL.,Probability is: 3.53714710855e-07.
No 7 is right.,Right result is: i < $.,Probability is: 1.81013149358e-07.
