No 1 is right.,Right result is: $.find().,Probability is: 0.686630368233.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0269357096404.
No 1 is right.,Right result is: $ == null.,Probability is: 0.0263529792428.
No 1 is right.,Right result is: i.compareAndSet(current, $).,Probability is: 0.00301475659944.
No 1 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.0021809914615.
No 1 is right.,Right result is: str.charAt(off+$-2) == pc.,Probability is: 0.00214350479655.
No 2 is right.,Right result is: $.length() < 64.,Probability is: 0.00210207165219.
No 1 is right.,Right result is: $.isDebugEnabled().,Probability is: 0.00205352716148.
No 2 is right.,Right result is: $ != 0.,Probability is: 0.00196630973369.
No 1 is right.,Right result is: code.$.length < 64.,Probability is: 0.00192048912868.
No 1 is right.,Right result is: $.find().,Probability is: 0.686630368233.
No 2 is right.,Right result is: $ != null.,Probability is: 0.0269357096404.
No 1 is right.,Right result is: $ == null.,Probability is: 0.0263529792428.
No 2 is right.,Right result is: i.compareAndSet(current, $).,Probability is: 0.00301475659944.
No 2 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.0021809914615.
No 1 is right.,Right result is: str.charAt(off+$-2) == pc.,Probability is: 0.00214350479655.
No 1 is right.,Right result is: $.length() < 64.,Probability is: 0.00210207165219.
No 1 is right.,Right result is: $.isDebugEnabled().,Probability is: 0.00205352716148.
No 1 is right.,Right result is: $ != 0.,Probability is: 0.00196630973369.
No 1 is right.,Right result is: code.$.length < 64.,Probability is: 0.00192048912868.
No 1 is right.,Right result is: $ == null.,Probability is: 0.538138329983.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0387068800628.
No 1 is right.,Right result is: i.compareAndSet(current, $).,Probability is: 0.0290019214153.
No 1 is right.,Right result is: $ instanceof Number.,Probability is: 0.00847362726927.
No 1 is right.,Right result is: $ instanceof JavaBeanDescriptor.,Probability is: 0.00820728763938.
No 1 is right.,Right result is: $ instanceof String.,Probability is: 0.00628291768953.
No 1 is right.,Right result is: $.getClass().isArray().,Probability is: 0.00573646929115.
No 1 is right.,Right result is: $.length == 0.,Probability is: 0.00523957330734.
No 1 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.00441333511844.
No 1 is right.,Right result is: $.length > 0.,Probability is: 0.00357386749238.
No 1 is right.,Right result is: $ == null.,Probability is: 0.538911879063.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0387625209987.
No 1 is right.,Right result is: i.compareAndSet(current, $).,Probability is: 0.0264977253973.
No 1 is right.,Right result is: $ instanceof JavaBeanDescriptor.,Probability is: 0.00821908563375.
No 1 is right.,Right result is: $ instanceof Number.,Probability is: 0.00738455727696.
No 1 is right.,Right result is: $.getClass().isArray().,Probability is: 0.00637266226113.
No 1 is right.,Right result is: $ instanceof String.,Probability is: 0.0062919491902.
No 1 is right.,Right result is: $.length == 0.,Probability is: 0.00524710537866.
No 1 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.00441967928782.
No 1 is right.,Right result is: $.length > 0.,Probability is: 0.00357900490053.
No 1 is right.,Right result is: $ == null.,Probability is: 0.538138329983.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0387068800628.
No 7 is right.,Right result is: i.compareAndSet(current, $).,Probability is: 0.0290019214153.
No 5 is right.,Right result is: $ instanceof Number.,Probability is: 0.00847362726927.
No 1 is right.,Right result is: $ instanceof JavaBeanDescriptor.,Probability is: 0.00820728763938.
No 4 is right.,Right result is: $ instanceof String.,Probability is: 0.00628291768953.
No 1 is right.,Right result is: $.getClass().isArray().,Probability is: 0.00573646929115.
No 1 is right.,Right result is: $.length == 0.,Probability is: 0.00523957330734.
No 1 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.00441333511844.
No 1 is right.,Right result is: $.length > 0.,Probability is: 0.00357386749238.
No 2 is right.,Right result is: $ == null.,Probability is: 0.538911879063.
No 2 is right.,Right result is: $ != null.,Probability is: 0.0387625209987.
No 1 is right.,Right result is: i.compareAndSet(current, $).,Probability is: 0.0264977253973.
No 7 is right.,Right result is: $ instanceof JavaBeanDescriptor.,Probability is: 0.00821908563375.
No 4 is right.,Right result is: $ instanceof Number.,Probability is: 0.00738455727696.
No 6 is right.,Right result is: $.getClass().isArray().,Probability is: 0.00637266226113.
No 8 is right.,Right result is: $ instanceof String.,Probability is: 0.0062919491902.
No 2 is right.,Right result is: $.length == 0.,Probability is: 0.00524710537866.
No 3 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.00441967928782.
No 5 is right.,Right result is: $.length > 0.,Probability is: 0.00357900490053.
No 3 is right.,Right result is: $.after().length > 0.,Probability is: 0.0714009180665.
No 1 is right.,Right result is: $.before().length > 0.,Probability is: 0.0709981992841.
No 1 is right.,Right result is: $.i.compareAndSet(current, next).,Probability is: 0.0636551231146.
No 2 is right.,Right result is: i<pts.$.length.,Probability is: 0.0197622478008.
No 1 is right.,Right result is: i < pts.$.length.,Probability is: 0.0168343707919.
No 1 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.0144234057516.
No 1 is right.,Right result is: cs.$.length == 0.,Probability is: 0.0123556545004.
No 2 is right.,Right result is: ets.$.length > 0.,Probability is: 0.0109364762902.
No 1 is right.,Right result is: $.isEnum().,Probability is: 0.00893871020526.
No 10 is right.,Right result is: i.compareAndSet(current, $).,Probability is: 0.00888837128878.
No 1 is right.,Right result is: $.after().length > 0.,Probability is: 0.0714009180665.
No 10 is right.,Right result is: $.before().length > 0.,Probability is: 0.0709981992841.
No 1 is right.,Right result is: $.i.compareAndSet(current, next).,Probability is: 0.0636551231146.
No 1 is right.,Right result is: i<pts.$.length.,Probability is: 0.0197622478008.
No 6 is right.,Right result is: i < pts.$.length.,Probability is: 0.0168343707919.
No 1 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.0144234057516.
No 4 is right.,Right result is: cs.$.length == 0.,Probability is: 0.0123556545004.
No 2 is right.,Right result is: ets.$.length > 0.,Probability is: 0.0109364762902.
No 1 is right.,Right result is: $.isEnum().,Probability is: 0.00893871020526.
No 5 is right.,Right result is: i.compareAndSet(current, $).,Probability is: 0.00888837128878.
No 1 is right.,Right result is: $.after().length > 0.,Probability is: 0.0714009180665.
No 1 is right.,Right result is: $.before().length > 0.,Probability is: 0.0709981992841.
No 4 is right.,Right result is: $.i.compareAndSet(current, next).,Probability is: 0.0636551231146.
No 1 is right.,Right result is: i<pts.$.length.,Probability is: 0.0197622478008.
No 9 is right.,Right result is: i < pts.$.length.,Probability is: 0.0168343707919.
No 2 is right.,Right result is: i.compareAndSet($, next).,Probability is: 0.0144234057516.
No 1 is right.,Right result is: cs.$.length == 0.,Probability is: 0.0123556545004.
