/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for dubbo_...
Dataset size: (8237, 12)
Class number: 2
Training set size: (6589, 8)
Validating set size: (1648, 8)
Positive examples : 1794
Negative examples : 6443
Preprossing finished, time cost : 0:00:00.046412
Data splited and saved in ../input/dubbo/var/dubbo_.var_train.csv and ../input/dubbo/var/dubbo_.var_valid.csv
Training set size: (8237, 9)
Validataion set size: (1648, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.134029	eval-error:0.14017
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[1]	train-error:0.132694	eval-error:0.13835
[2]	train-error:0.129173	eval-error:0.138956
[3]	train-error:0.129173	eval-error:0.137743
[4]	train-error:0.128081	eval-error:0.138956
[5]	train-error:0.124317	eval-error:0.134102
[6]	train-error:0.12541	eval-error:0.135922
[7]	train-error:0.123831	eval-error:0.128641
[8]	train-error:0.123346	eval-error:0.128641
[9]	train-error:0.120068	eval-error:0.126214
[10]	train-error:0.119461	eval-error:0.127427
[11]	train-error:0.11849	eval-error:0.127427
[12]	train-error:0.116547	eval-error:0.125
[13]	train-error:0.116062	eval-error:0.125607
[14]	train-error:0.114483	eval-error:0.12682
[15]	train-error:0.113512	eval-error:0.126214
[16]	train-error:0.112784	eval-error:0.122573
[17]	train-error:0.110356	eval-error:0.119539
[18]	train-error:0.110234	eval-error:0.115291
[19]	train-error:0.108049	eval-error:0.114684
[20]	train-error:0.107442	eval-error:0.11165
[21]	train-error:0.106956	eval-error:0.114684
[22]	train-error:0.105014	eval-error:0.114078
[23]	train-error:0.102707	eval-error:0.10801
[24]	train-error:0.102707	eval-error:0.108617
[25]	train-error:0.101372	eval-error:0.106189
[26]	train-error:0.101372	eval-error:0.106189
[27]	train-error:0.101372	eval-error:0.106796
[28]	train-error:0.101615	eval-error:0.108617
[29]	train-error:0.100279	eval-error:0.106796
[30]	train-error:0.099308	eval-error:0.106189
[31]	train-error:0.099308	eval-error:0.107403
[32]	train-error:0.098944	eval-error:0.107403
[33]	train-error:0.098701	eval-error:0.107403
[34]	train-error:0.099187	eval-error:0.10801
