No 1 is right.,Right result is: $ != null.,Probability is: 0.426100879908.
No 1 is right.,Right result is: $ == null.,Probability is: 0.0521334074438.
No 1 is right.,Right result is: (k = $.key) == key.,Probability is: 0.0214494951069.
No 1 is right.,Right result is: $.hash == hash.,Probability is: 0.0159750338644.
No 1 is right.,Right result is: $.isPrimitive().,Probability is: 0.0131486151367.
No 2 is right.,Right result is: $.equals(k).,Probability is: 0.00687040947378.
No 1 is right.,Right result is: parser.$.lexer.token() == JSONToken.NULL.,Probability is: 0.00681012123823.
No 4 is right.,Right result is: $.lexer.token() == JSONToken.NULL.,Probability is: 0.0065022520721.
No 6 is right.,Right result is: (k = e.key) == $.,Probability is: 0.00642561307177.
No 3 is right.,Right result is: $.key == null.,Probability is: 0.00490502687171.
No 5 is right.,Right result is: $ != null.,Probability is: 0.441490858793.
No 10 is right.,Right result is: $.isPrimitive().,Probability is: 0.101737871766.
No 9 is right.,Right result is: $ == null.,Probability is: 0.0222191661596.
No 8 is right.,Right result is: (k = e.key) == $.,Probability is: 0.0144631965086.
No 2 is right.,Right result is: Modifier.isPublic($.getModifiers()).,Probability is: 0.0119846155867.
No 7 is right.,Right result is: $.equals(k).,Probability is: 0.011639890261.
No 1 is right.,Right result is: Collection.class.isAssignableFrom($).,Probability is: 0.00850697234273.
No 1 is right.,Right result is: $.isEnum().,Probability is: 0.00824175402522.
No 1 is right.,Right result is: $ == char.class.,Probability is: 0.00716119119897.
No 7 is right.,Right result is: (k = $.key) == key.,Probability is: 0.00703912647441.
No 3 is right.,Right result is: $ == null.,Probability is: 0.420082718134.
No 1 is right.,Right result is: $ != null.,Probability is: 0.0874913185835.
No 1 is right.,Right result is: $.writeDirect.,Probability is: 0.0150625668466.
No 1 is right.,Right result is: $.nonContext.,Probability is: 0.0149591304362.
No 1 is right.,Right result is: $.hash == hash.,Probability is: 0.0144937429577.
No 1 is right.,Right result is: (k = $.key) == key.,Probability is: 0.0140463169664.
No 1 is right.,Right result is: $.isPrimitive().,Probability is: 0.00948072224855.
No 3 is right.,Right result is: $.equals(k).,Probability is: 0.00623334851116.
No 5 is right.,Right result is: parser.$.lexer.token() == JSONToken.NULL.,Probability is: 0.00617865007371.
No 1 is right.,Right result is: $.lexer.token() == JSONToken.NULL.,Probability is: 0.00589933106676.
No 8 is right.,Right result is: $ != null.,Probability is: 0.81115925312.
No 7 is right.,Right result is: $ == null.,Probability is: 0.0149504942819.
No 6 is right.,Right result is: $.isPrimitive().,Probability is: 0.00543096940964.
No 4 is right.,Right result is: $.nonContext.,Probability is: 0.00195890967734.
No 2 is right.,Right result is: Modifier.isPublic($.getModifiers()).,Probability is: 0.00183721375652.
No 1 is right.,Right result is: $ < max.,Probability is: 0.00150778202806.
No 1 is right.,Right result is: $.writeDirect.,Probability is: 0.00134330708534.
No 8 is right.,Right result is: (k = $.key) == key.,Probability is: 0.00130734103732.
No 3 is right.,Right result is: $.lexer.token() != JSONToken.LBRACKET.,Probability is: 0.00122877117246.
No 5 is right.,Right result is: $.lexer.token() != JSONToken.RBRACKET.,Probability is: 0.0011738834437.
No 1 is right.,Right result is: $.isPrimitive().,Probability is: 0.467779278755.
