/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for guava_...
Dataset size: (7808, 12)
Class number: 2
Training set size: (6246, 8)
Validating set size: (1562, 8)
Positive examples : 2890
Negative examples : 4918
Preprossing finished, time cost : 0:00:00.271879
Data splited and saved in ../input/guava/var/guava_.var_train.csv and ../input/guava/var/guava_.var_valid.csv
Training set size: (7808, 9)
Validataion set size: (1562, 9)
Training the model...
[0]	train-error:0.189037	eval-error:0.165813
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[1]	train-error:0.178663	eval-error:0.161972
[2]	train-error:0.176358	eval-error:0.160691
[3]	train-error:0.175717	eval-error:0.158771
[4]	train-error:0.173668	eval-error:0.161332
[5]	train-error:0.174821	eval-error:0.159411
[6]	train-error:0.175717	eval-error:0.161972
[7]	train-error:0.175077	eval-error:0.161332
[8]	train-error:0.174308	eval-error:0.161332
[9]	train-error:0.172515	eval-error:0.15749
[10]	train-error:0.17085	eval-error:0.15749
[11]	train-error:0.172131	eval-error:0.160051
[12]	train-error:0.16752	eval-error:0.15557
[13]	train-error:0.16688	eval-error:0.15685
[14]	train-error:0.167136	eval-error:0.15749
[15]	train-error:0.165343	eval-error:0.153649
[16]	train-error:0.164959	eval-error:0.153649
[17]	train-error:0.163166	eval-error:0.151729
[18]	train-error:0.163678	eval-error:0.154289
[19]	train-error:0.162782	eval-error:0.150448
[20]	train-error:0.162269	eval-error:0.149168
[21]	train-error:0.16022	eval-error:0.147247
[22]	train-error:0.160348	eval-error:0.149168
[23]	train-error:0.159964	eval-error:0.148528
[24]	train-error:0.16022	eval-error:0.148528
[25]	train-error:0.16022	eval-error:0.150448
[26]	train-error:0.159324	eval-error:0.148528
[27]	train-error:0.159068	eval-error:0.148528
[28]	train-error:0.156762	eval-error:0.146607
[29]	train-error:0.155482	eval-error:0.149808
[30]	train-error:0.155738	eval-error:0.146607
[31]	train-error:0.154329	eval-error:0.147887
[32]	train-error:0.15292	eval-error:0.144686
[33]	train-error:0.150743	eval-error:0.141485
[34]	train-error:0.149718	eval-error:0.140205
