No 1 is right.,Right result is: $ == null.,Probability is: 0.568766355515.
No 1 is right.,Right result is: $ != null.,Probability is: 0.307737231255.
No 1 is right.,Right result is: $.size++ >= $.threshold.,Probability is: 0.00122363539413.
No 1 is right.,Right result is: $.ordered.,Probability is: 0.00086529715918.
No 1 is right.,Right result is: $.size == 0.,Probability is: 0.000742534466553.
No 2 is right.,Right result is: $.drawing.,Probability is: 0.000264955218881.
No 3 is right.,Right result is: $-- > 0.,Probability is: 0.000264902657364.
No 1 is right.,Right result is: $.hasZeroValue.,Probability is: 0.000190581456991.
No 1 is right.,Right result is: $ > 0.,Probability is: 0.000178077374585.
No 3 is right.,Right result is: $ < 0.,Probability is: 0.000160290961503.
No 1 is right.,Right result is: i < $.,Probability is: 0.407771646976.
No 1 is right.,Right result is: $ < n.,Probability is: 0.211120054126.
No 1 is right.,Right result is: $.,Probability is: 0.0349285192788.
No 1 is right.,Right result is: $ > 0.,Probability is: 0.0164352338761.
No 1 is right.,Right result is: $ == 0.,Probability is: 0.0133544309065.
No 1 is right.,Right result is: $ < 0.,Probability is: 0.00937241222709.
No 1 is right.,Right result is: $ >= size.,Probability is: 0.00687217805535.
No 3 is right.,Right result is: $ != 0.,Probability is: 0.00676202587783.
No 1 is right.,Right result is: $ >= 0.,Probability is: 0.00605670269579.
No 1 is right.,Right result is: $-- > 0.,Probability is: 0.00295661319979.
No 1 is right.,Right result is: $ < n.,Probability is: 0.795664846897.
No 1 is right.,Right result is: i < $.,Probability is: 0.111756429076.
No 1 is right.,Right result is: $ >= 0.,Probability is: 0.0189803373069.
No 2 is right.,Right result is: $.,Probability is: 0.00735790748149.
No 3 is right.,Right result is: $-- > 0.,Probability is: 0.00217161583714.
No 3 is right.,Right result is: $ == 0.,Probability is: 0.00143805379048.
No 3 is right.,Right result is: $ < 0.,Probability is: 0.00140395376366.
No 3 is right.,Right result is: $ != 0.,Probability is: 0.000991524895653.
No 3 is right.,Right result is: $ >= size.,Probability is: 0.000848990806844.
No 5 is right.,Right result is: $ > 0.,Probability is: 0.000626939465292.
No 3 is right.,Right result is: i < $.,Probability is: 0.985864281654.
No 1 is right.,Right result is: $ < n.,Probability is: 0.00550181698054.
No 1 is right.,Right result is: $.,Probability is: 0.000852094963193.
No 1 is right.,Right result is: $ < 0.,Probability is: 0.000235914441873.
No 2 is right.,Right result is: $ == 0.,Probability is: 0.00020376816974.
No 2 is right.,Right result is: $ >= 0.,Probability is: 0.000123875550344.
No 2 is right.,Right result is: $ > 0.,Probability is: 0.000123538731714.
No 1 is right.,Right result is: $ != 0.,Probability is: 0.00010621821275.
No 1 is right.,Right result is: $ >= size.,Probability is: 9.83188292594e-05.
No 2 is right.,Right result is: $-- > 0.,Probability is: 7.65192380641e-05.
No 2 is right.,Right result is: $ < n.,Probability is: 0.779981911182.
No 3 is right.,Right result is: i < $.,Probability is: 0.120292812586.
No 1 is right.,Right result is: $ >= 0.,Probability is: 0.0204301271588.
No 1 is right.,Right result is: $.,Probability is: 0.00791993271559.
No 1 is right.,Right result is: $-- > 0.,Probability is: 0.00233749207109.
No 1 is right.,Right result is: $ == 0.,Probability is: 0.00154789781664.
No 2 is right.,Right result is: $ < 0.,Probability is: 0.00151119299699.
No 3 is right.,Right result is: $ != 0.,Probability is: 0.00106726132799.
No 1 is right.,Right result is: $ >= size.,Probability is: 0.000913839961868.
No 1 is right.,Right result is: $ > 0.,Probability is: 0.000750365201384.
No 1 is right.,Right result is: i < $.,Probability is: 0.985993504524.
No 1 is right.,Right result is: $ < n.,Probability is: 0.00541576230898.
No 1 is right.,Right result is: $.,Probability is: 0.000838767213281.
No 1 is right.,Right result is: $ == 0.,Probability is: 0.000254160957411.
No 1 is right.,Right result is: $ < 0.,Probability is: 0.000232224454521.
No 2 is right.,Right result is: $ > 0.,Probability is: 0.000159934963449.
No 2 is right.,Right result is: $ >= 0.,Probability is: 0.000121937991935.
No 2 is right.,Right result is: $ != 0.,Probability is: 0.00010455683514.
No 3 is right.,Right result is: $ >= size.,Probability is: 9.67810046859e-05.
No 3 is right.,Right result is: $-- > 0.,Probability is: 7.53223939682e-05.
No 4 is right.,Right result is: $ == null.,Probability is: 0.577153027058.
No 3 is right.,Right result is: $ != null.,Probability is: 0.253835588694.
No 3 is right.,Right result is: $.size++ >= $.threshold.,Probability is: 0.00344049558043.
No 1 is right.,Right result is: $.ordered.,Probability is: 0.00116942543536.
No 1 is right.,Right result is: $.size == 0.,Probability is: 0.000984339509159.
No 3 is right.,Right result is: $.drawing.,Probability is: 0.00035807970562.
No 3 is right.,Right result is: $-- > 0.,Probability is: 0.000358008692274.
No 1 is right.,Right result is: $ != 0.,Probability is: 0.000288771407213.
No 1 is right.,Right result is: $ > 0.,Probability is: 0.000286751601379.
No 1 is right.,Right result is: $.hasZeroValue.,Probability is: 0.000257565610809.
No 1 is right.,Right result is: $ == null.,Probability is: 0.580926954746.
No 1 is right.,Right result is: $ != null.,Probability is: 0.198731586337.
No 1 is right.,Right result is: $.size++ >= $.threshold.,Probability is: 0.00448644021526.
No 1 is right.,Right result is: $.ordered.,Probability is: 0.00152494234499.
No 1 is right.,Right result is: $.size == 0.,Probability is: 0.00123247399461.
No 3 is right.,Right result is: $.drawing.,Probability is: 0.000466939498438.
No 3 is right.,Right result is: $-- > 0.,Probability is: 0.000466846890049.
No 1 is right.,Right result is: $ != 0.,Probability is: 0.000376560725272.
No 1 is right.,Right result is: $ > 0.,Probability is: 0.000373926915927.
No 1 is right.,Right result is: $.hasZeroValue.,Probability is: 0.000335868127877.
No 1 is right.,Right result is: $ == null.,Probability is: 0.580926954746.
No 1 is right.,Right result is: $ != null.,Probability is: 0.198731586337.
No 1 is right.,Right result is: $.size++ >= $.threshold.,Probability is: 0.00448644021526.
No 3 is right.,Right result is: $.ordered.,Probability is: 0.00152494234499.
No 4 is right.,Right result is: $.size == 0.,Probability is: 0.00123247399461.
No 3 is right.,Right result is: $.drawing.,Probability is: 0.000466939498438.
No 4 is right.,Right result is: $-- > 0.,Probability is: 0.000466846890049.
No 1 is right.,Right result is: $ != 0.,Probability is: 0.000376560725272.
No 1 is right.,Right result is: $ > 0.,Probability is: 0.000373926915927.
No 1 is right.,Right result is: $.hasZeroValue.,Probability is: 0.000335868127877.
No 1 is right.,Right result is: $ == null.,Probability is: 0.575173974037.
No 1 is right.,Right result is: $ != null.,Probability is: 0.196763530374.
No 1 is right.,Right result is: $.size == 0.,Probability is: 0.0118335569277.
No 3 is right.,Right result is: $.size++ >= $.threshold.,Probability is: 0.00236481614411.
No 3 is right.,Right result is: $-- > 0.,Probability is: 0.00158323452342.
No 3 is right.,Right result is: $.ordered.,Probability is: 0.00150984071661.
No 1 is right.,Right result is: $ >= size.,Probability is: 0.000610648363363.
No 1 is right.,Right result is: $.drawing.,Probability is: 0.000462315365439.
No 1 is right.,Right result is: $ >= 0.,Probability is: 0.000399020325858.
No 1 is right.,Right result is: $ != 0.,Probability is: 0.000372831622371.
No 3 is right.,Right result is: $ < n.,Probability is: 0.709623038769.
No 3 is right.,Right result is: i < $.,Probability is: 0.159279733896.
No 5 is right.,Right result is: $ >= 0.,Probability is: 0.0224667005241.
No 1 is right.,Right result is: $.,Probability is: 0.0104867834598.
No 1 is right.,Right result is: $ != 0.,Probability is: 0.00376286078244.
No 2 is right.,Right result is: $ < 0.,Probability is: 0.00322960224003.
No 5 is right.,Right result is: $-- > 0.,Probability is: 0.00309507339261.
No 5 is right.,Right result is: $ == 0.,Probability is: 0.00184160086792.
No 1 is right.,Right result is: $ >= size.,Probability is: 0.00121001549996.
No 1 is right.,Right result is: $ > 0.,Probability is: 0.00112828670535.
No 3 is right.,Right result is: $ == null.,Probability is: 0.544363677502.
No 3 is right.,Right result is: $ != null.,Probability is: 0.277683466673.
No 1 is right.,Right result is: $.size == 0.,Probability is: 0.0054518035613.
No 3 is right.,Right result is: $.size++ >= $.threshold.,Probability is: 0.00188658048864.
No 3 is right.,Right result is: $-- > 0.,Probability is: 0.00126305769663.
No 1 is right.,Right result is: $.ordered.,Probability is: 0.00120450626127.
No 1 is right.,Right result is: $ >= size.,Probability is: 0.00048715720186.
No 3 is right.,Right result is: $.drawing.,Probability is: 0.000368821521988.
No 3 is right.,Right result is: $ >= 0.,Probability is: 0.000318326608976.
No 3 is right.,Right result is: $ != 0.,Probability is: 0.000297434075037.
No 3 is right.,Right result is: $ == null.,Probability is: 0.580926954746.
No 3 is right.,Right result is: $ != null.,Probability is: 0.198731586337.
No 3 is right.,Right result is: $.size++ >= $.threshold.,Probability is: 0.00448644021526.
No 3 is right.,Right result is: $.ordered.,Probability is: 0.00152494234499.
No 3 is right.,Right result is: $.size == 0.,Probability is: 0.00123247399461.
No 4 is right.,Right result is: $.drawing.,Probability is: 0.000466939498438.
No 1 is right.,Right result is: $-- > 0.,Probability is: 0.000466846890049.
No 3 is right.,Right result is: $ != 0.,Probability is: 0.000376560725272.
No 3 is right.,Right result is: $ > 0.,Probability is: 0.000373926915927.
No 1 is right.,Right result is: $.hasZeroValue.,Probability is: 0.000335868127877.
No 1 is right.,Right result is: $ == null.,Probability is: 0.572423160076.
