Action.java,setActor,actor,Actor,0,DEF,$ == null=0.568766355515,$ != null=0.307737231255,$.size++ >= $.threshold=0.00122363539413,$.ordered=0.00086529715918,$.size == 0=0.000742534466553,$.drawing=0.000264955218881,$-- > 0=0.000264902657364,$.hasZeroValue=0.000190581456991,$ > 0=0.000178077374585,$ < 0=0.000160290961503,
Action.java,toString,dotIndex,int,0,DEF,i < $=0.407771646976,$ < n=0.211120054126,$=0.0349285192788,$ > 0=0.0164352338761,$ == 0=0.0133544309065,$ < 0=0.00937241222709,$ >= size=0.00687217805535,$ != 0=0.00676202587783,$ >= 0=0.00605670269579,$-- > 0=0.00295661319979,
Actions.java,sequence,i,int,0,NIL-FOR,$ < n=0.795664846897,i < $=0.111756429076,$ >= 0=0.0189803373069,$=0.00735790748149,$-- > 0=0.00217161583714,$ == 0=0.00143805379048,$ < 0=0.00140395376366,$ != 0=0.000991524895653,$ >= size=0.000848990806844,$ > 0=0.000626939465292,
Actions.java,sequence,n,int,0,NIL-FOR,i < $=0.985864281654,$ < n=0.00550181698054,$=0.000852094963193,$ < 0=0.000235914441873,$ == 0=0.00020376816974,$ >= 0=0.000123875550344,$ > 0=0.000123538731714,$ != 0=0.00010621821275,$ >= size=9.83188292594e-05,$-- > 0=7.65192380641e-05,
Actions.java,parallel,i,int,0,NIL-FOR,$ < n=0.779981911182,i < $=0.120292812586,$ >= 0=0.0204301271588,$=0.00791993271559,$-- > 0=0.00233749207109,$ == 0=0.00154789781664,$ < 0=0.00151119299699,$ != 0=0.00106726132799,$ >= size=0.000913839961868,$ > 0=0.000750365201384,
Actions.java,parallel,n,int,0,NIL-FOR,i < $=0.985993504524,$ < n=0.00541576230898,$=0.000838767213281,$ == 0=0.000254160957411,$ < 0=0.000232224454521,$ > 0=0.000159934963449,$ >= 0=0.000121937991935,$ != 0=0.00010455683514,$ >= size=9.67810046859e-05,$-- > 0=7.53223939682e-05,
Actor.java,act,actions,Array<Action>,0,DEF,$ == null=0.577153027058,$ != null=0.253835588694,$.size++ >= $.threshold=0.00344049558043,$.ordered=0.00116942543536,$.size == 0=0.000984339509159,$.drawing=0.00035807970562,$-- > 0=0.000358008692274,$ != 0=0.000288771407213,$ > 0=0.000286751601379,$.hasZeroValue=0.000257565610809,
Actor.java,act,THIS,Actor,0,DEF,$ == null=0.580926954746,$ != null=0.198731586337,$.size++ >= $.threshold=0.00448644021526,$.ordered=0.00152494234499,$.size == 0=0.00123247399461,$.drawing=0.000466939498438,$-- > 0=0.000466846890049,$ != 0=0.000376560725272,$ > 0=0.000373926915927,$.hasZeroValue=0.000335868127877,
Actor.java,act,THIS,Actor,0,DEF,$ == null=0.580926954746,$ != null=0.198731586337,$.size++ >= $.threshold=0.00448644021526,$.ordered=0.00152494234499,$.size == 0=0.00123247399461,$.drawing=0.000466939498438,$-- > 0=0.000466846890049,$ != 0=0.000376560725272,$ > 0=0.000373926915927,$.hasZeroValue=0.000335868127877,
Actor.java,act,THIS,Actor,0,NIL-FOR,$ == null=0.575173974037,$ != null=0.196763530374,$.size == 0=0.0118335569277,$.size++ >= $.threshold=0.00236481614411,$-- > 0=0.00158323452342,$.ordered=0.00150984071661,$ >= size=0.000610648363363,$.drawing=0.000462315365439,$ >= 0=0.000399020325858,$ != 0=0.000372831622371,
