No 1 is right.,Right result is: $ > 1.0.,Probability is: 0.344198524952.
No 2 is right.,Right result is: $ < 0.0.,Probability is: 0.241794854403.
No 2 is right.,Right result is: $ == 0.,Probability is: 0.0262189749628.
No 1 is right.,Right result is: Double.isNaN($).,Probability is: 0.00977644138038.
No 1 is right.,Right result is: $ == 1.,Probability is: 0.00843073520809.
No 1 is right.,Right result is: $ < pEnd.,Probability is: 0.00811161659658.
No 2 is right.,Right result is: $ <= 0.,Probability is: 0.00621983921155.
No 1 is right.,Right result is: Double.isInfinite($).,Probability is: 0.00463371584192.
No 1 is right.,Right result is: v.getDimension() != $.,Probability is: 0.00427191518247.
No 1 is right.,Right result is: $ >= p.,Probability is: 0.00381401972845.
No 1 is right.,Right result is: $ > 1.0.,Probability is: 0.344198524952.
No 1 is right.,Right result is: $ < 0.0.,Probability is: 0.241794854403.
No 1 is right.,Right result is: $ == 0.,Probability is: 0.0262189749628.
No 1 is right.,Right result is: Double.isNaN($).,Probability is: 0.00977644138038.
No 1 is right.,Right result is: $ == 1.,Probability is: 0.00843073520809.
No 2 is right.,Right result is: $ < pEnd.,Probability is: 0.00811161659658.
No 2 is right.,Right result is: $ <= 0.,Probability is: 0.00621983921155.
No 1 is right.,Right result is: Double.isInfinite($).,Probability is: 0.00463371584192.
No 1 is right.,Right result is: v.getDimension() != $.,Probability is: 0.00427191518247.
No 1 is right.,Right result is: $ >= p.,Probability is: 0.00381401972845.
No 1 is right.,Right result is: $ == 1.,Probability is: 0.101863741875.
No 1 is right.,Right result is: $ == 0.,Probability is: 0.101804889739.
No 1 is right.,Right result is: Double.isNaN($).,Probability is: 0.0229031182826.
No 1 is right.,Right result is: f.value($) == 0.0.,Probability is: 0.0112772537395.
No 1 is right.,Right result is: $ >= p.,Probability is: 0.00976124126464.
No 1 is right.,Right result is: l < $.,Probability is: 0.00963178277016.
No 1 is right.,Right result is: $ < 0.0.,Probability is: 0.00923641119152.
No 1 is right.,Right result is: $.isNaN().,Probability is: 0.0082353502512.
No 1 is right.,Right result is: $ < dataI.length.,Probability is: 0.00693022087216.
No 1 is right.,Right result is: delta <= $.,Probability is: 0.00673698447645.
No 1 is right.,Right result is: $ == 0.,Probability is: 0.10709323734.
No 1 is right.,Right result is: $ == 1.,Probability is: 0.025767929852.
No 1 is right.,Right result is: Double.isNaN($).,Probability is: 0.0241476912051.
No 1 is right.,Right result is: Double.isInfinite($).,Probability is: 0.02333310619.
No 1 is right.,Right result is: $ > x1.,Probability is: 0.0135122910142.
No 1 is right.,Right result is: $.isNaN().,Probability is: 0.0132937701419.
No 1 is right.,Right result is: $ != nCols.,Probability is: 0.00992427021265.
No 1 is right.,Right result is: nRows != $.,Probability is: 0.00927419215441.
No 1 is right.,Right result is: x0 > $.,Probability is: 0.00920331664383.
No 1 is right.,Right result is: $.getDimension() != nRows.,Probability is: 0.00907198432833.
No 1 is right.,Right result is: x0 > $.,Probability is: 0.0845737680793.
No 1 is right.,Right result is: $ > x1.,Probability is: 0.0646537169814.
No 1 is right.,Right result is: $ <= 0.,Probability is: 0.0317437723279.
No 1 is right.,Right result is: Double.isInfinite($).,Probability is: 0.0298668779433.
No 1 is right.,Right result is: $.length == 0.,Probability is: 0.0229439195246.
No 1 is right.,Right result is: $ <= 0.0.,Probability is: 0.0177486762404.
No 1 is right.,Right result is: Double.isNaN($).,Probability is: 0.0168344248086.
No 1 is right.,Right result is: $.getDimension() != nCols.,Probability is: 0.0128948027268.
No 1 is right.,Right result is: $ < 0.,Probability is: 0.0112076764926.
No 2 is right.,Right result is: $.getDimension() != nRows.,Probability is: 0.0110778268427.
No 1 is right.,Right result is: x0 > $.,Probability is: 0.0845735818148.
No 3 is right.,Right result is: $ > x1.,Probability is: 0.0646535754204.
No 6 is right.,Right result is: $ <= 0.,Probability is: 0.0317437015474.
