$ == null	4451
$ == 0	2281
$ < 0	2058
$ != null	1156
$ > 0	1104
$ <= 0	955
$ == 0.0	481
$ == 1	467
$ != 0	420
$.length == 0	415
$ > 1	392
$ >= 0	361
$ <= 0.0	315
$ < 0.0	285
$ < 1	281
$ == -1	213
$ < 2	191
$ != 0.0	175
$[index] == FREE	156
states[$] == FREE	156
$ > 0.5	156
$ > 2	155
$.length < 2	136
$ > 1.0	135
$ >= upper	134
$.length != nRows	131
$ > 0.0	127
$ < .5	120
$ == INFINITE	112
$.length != nCols	110
$[i].length != yLen	106
f.value($) == 0.0	105
states[$] == FULL	104
$[index] == FULL	104
$.length != y.length	102
$ < n	101
$ > ZERO	99
Math.abs($) <= functionValueAccuracy	97
$ < 0.0001	96
$ > 0.9999	96
$ <= 1.0	94
$.getIndex() == 0	92
$.getRowDimension() != nRows	89
$ == Integer.MIN_VALUE	89
$.getColumnDimension() != nCols	89
$ instanceof ArrayRealVector	88
$ != x	87
$[0] == null	85
$.nans == INFINITE	84
$ instanceof OpenMapRealVector	83
$ == 2	83
$[i] < 0	81
$ == Double.POSITIVE_INFINITY	80
$[r].length != nCols	79
$ instanceof Number	78
keys[$] == key	78
$ != count	78
$[index] == key	78
$.mant[mant.length-1] == 0	77
$ > overflow	75
$.getEntry(i) == ZERO	72
$==Integer.MIN_VALUE	72
FastMath.abs($) <= functionValueAccuracy	71
$.getRowDimension() != m	70
($ & 0x1) != 0	69
subMatrix[$].length != nCols	68
$[i] == 0	68
$.getColumnDimension() != 1	68
$.size() == 0	68
$ > b	67
$.length > 0	67
$.compareTo(BigInteger.ZERO) < 0	65
$.getZ() > 0.9999999999	64
$.getY() < -0.9999999999	64
$.getZ() < -0.9999999999	64
$.getX() > 0.9999999999	64
$.getY() > 0.9999999999	64
comparator.compare(reflected, $) < 0	64
$.getX() < -0.9999999999	64
$[i][j].length != zLen	63
xbdi.getEntry($) == ZERO	63
d[$].length != nCols	62
$[k] != 0	62
$.getDimension() != m	61
$ >= maxIterations	61
$ == k	61
$ >= 1	60
$.getCut() == null	59
$ > Integer.MAX_VALUE	59
$ == Long.MIN_VALUE	58
$ < maxDenominator	58
$.nans == FINITE	56
$ != y0	54
$ < Integer.MIN_VALUE	53
$.getDimension() != nCols	52
$.getDimension() != nRows	52
$ instanceof AbstractListChromosome<?>	52
$ <= 2.0	52
$ == solvedCols	52
$ instanceof SparseFieldVector<?>	52
$.getRowDimension() != 1	52
$ > available	52
$ <= 0.5	51
$.numerator == 0	51
$ != FINITE	49
$ == FINITE	49
($ & 0x1) == 0	49
$ instanceof Integer	48
$ == Double.NEGATIVE_INFINITY	48
$ != INFINITE_WINDOW	48
$ <= 2.2204e-16	48
$ < x	48
$ > -0.19	48
$ > x1	48
$ <= rLimit	46
$.length != rows	46
$ >= 1.0	46
